frame,view_id,eligible,base_rows,deep_pixels,winner,winner_reason,pursuit_target_reached,pursuit_protected_safe,pursuit_added_rows,pursuit_highpass_reduction,pursuit_laplacian_reduction,pursuit_foreground_psnr_gain_db,pursuit_seconds,error_only_target_reached,error_only_protected_safe,error_only_added_rows,error_only_highpass_reduction,error_only_laplacian_reduction,error_only_foreground_psnr_gain_db,error_only_seconds
frame_00008,C0004,True,5280,122128,pursuit,only pursuit reached the shared detail target,True,True,384,0.25545286257400457,0.26621700362828327,0.04408067922395986,5.3562173042446375,False,True,5632,0.0793260479988247,0.11031176972797863,3.566916079431021,7.204202109016478
frame_00008,C0005,True,5280,171135,pursuit,only pursuit reached the shared detail target,True,True,640,0.2519177941219495,0.24991132911003944,0.04521468288276864,6.63932114187628,False,True,6144,0.0411715455376408,0.06292603489636994,4.859645962537826,8.468582565896213
frame_00008,C0006,True,5312,167811,pursuit,only pursuit reached the shared detail target,True,True,640,0.26863539070181464,0.285797989867152,0.04884060732436879,7.105119938030839,False,True,6144,0.045991081838492986,0.09065956535612096,3.0408895555277446,9.22889672126621
frame_00008,C0008,True,5312,166467,pursuit,only pursuit reached the shared detail target,True,True,512,0.2507292872845829,0.27195536794404196,0.04697501541311766,6.407676693983376,False,True,6144,0.08255954228389073,0.11330954543879546,4.636129597005979,9.034103270620108
frame_00008,C0009,True,5344,128114,pursuit,only pursuit reached the shared detail target,True,True,256,0.31098020186167286,0.3168433611323569,0.05727446269772685,5.540014666505158,False,True,6144,0.18857227645677588,0.21073344263773164,3.8185062211870218,8.185309436172247
frame_00008,C0012,True,5280,163883,pursuit,only pursuit reached the shared detail target,True,True,512,0.26924742434852733,0.2717928998245942,0.03893574720238746,6.43261403683573,False,True,5632,0.07626914402124485,0.09836022895508034,3.30474653517485,9.513416826725006
frame_00008,C0014,True,5344,162995,pursuit,only pursuit reached the shared detail target,True,True,896,0.26076576781410576,0.28621823557021275,0.03783529510574368,7.481088342145085,False,True,5120,0.07339168394975815,0.10123421187270476,5.5639853167445565,9.096439534798265
frame_00008,C0018,True,5344,139738,pursuit,only pursuit reached the shared detail target,True,True,1536,0.2543504101980051,0.24345225596408981,0.031981713392969624,9.147411795333028,False,True,5120,0.04035469954889492,0.028701289599296298,4.73656261335109,8.801709201186895
frame_00008,C0019,True,5344,190696,pursuit,both reached target; pursuit used fewer rows,True,True,384,0.27733947298176675,0.27842068391772457,0.1174435542559209,7.3239124258980155,True,True,9728,0.2729729105319556,0.29153499695016694,5.476830302833122,13.668544344604015
frame_00008,C0020,True,5376,148662,pursuit,only pursuit reached the shared detail target,True,True,384,0.253287663234922,0.23912096943622474,0.03603953695160911,5.706725433468819,False,True,6144,0.12791416097412245,0.15342680013120624,3.9749938341893802,10.287673342972994
frame_00008,C0021,True,5312,159825,pursuit,only pursuit reached the shared detail target,True,True,512,0.25258200294525635,0.2895028641413724,0.031333021788999105,14.086831296794116,False,True,5872,0.20190837817697005,0.2716909194228091,2.513367403321851,21.74575160536915
frame_00008,C0022,True,5344,184245,pursuit,both reached target; pursuit used fewer rows,True,True,384,0.3504855111073093,0.30491435002726,0.07252894106952823,6.836902631446719,True,True,5632,0.3382826110992557,0.3330003787508833,2.7879786342609805,10.007633888162673
frame_00008,C0025,True,5376,174631,pursuit,only pursuit reached the shared detail target,True,True,384,0.2645626789129769,0.2617621031746348,0.06564590558782868,6.928686366416514,False,True,6144,0.12781426396057538,0.11994771459803388,3.8079590645289585,10.16471503302455
frame_00008,C0026,True,5280,212395,pursuit,only pursuit reached the shared detail target,True,True,640,0.2599635048831582,0.2712885692744679,0.0498262191114911,7.959487935528159,False,True,7168,0.04757359010291329,0.07082927009849271,3.9552014826029946,10.263236628845334
frame_00008,C0028,True,5216,128038,pursuit,only pursuit reached the shared detail target,True,True,640,0.2778140346460314,0.295129288647728,0.058830259020908215,5.989406733773649,False,True,5632,0.022004774443861175,0.0621674356925791,2.401590587363401,7.936720632016659
frame_00008,C0029,True,5184,160906,pursuit,only pursuit reached the shared detail target,True,True,384,0.26871795173768487,0.26095167719078194,0.043710423516984065,5.907495183870196,False,True,6144,0.08369362008438919,0.09223898940370068,2.698711191767586,8.946699772030115
frame_00008,C0030,True,5376,165864,pursuit,only pursuit reached the shared detail target,True,True,256,0.29480090777800705,0.25045996169909845,0.08260900089879186,6.349153438583016,False,True,6144,0.23250103626910512,0.1991361834794666,3.463315401007005,9.159684988670051
frame_00008,C0031,True,5312,107873,pursuit,both reached target; pursuit used fewer rows,True,True,512,0.2636226466295216,0.2885712232489117,0.02955185789655701,11.667136578820646,True,True,3683,0.27993680952835065,0.3400736745061783,3.809525656251637,13.733078304678202
frame_00008,C0034,True,5312,124354,pursuit,only pursuit reached the shared detail target,True,True,256,0.271906325916758,0.2722173888769994,0.043252154068579074,5.0023541785776615,False,True,4096,0.08248118999270448,0.09861805742944607,2.1922859569918565,7.3898362489417195
frame_00008,C0037,True,5280,189231,pursuit,only pursuit reached the shared detail target,True,True,640,0.26562641050174185,0.2599383246084561,0.042597660080495814,7.0375583451241255,False,True,6656,0.14765095158745445,0.16184078723544404,3.587437856714317,10.233340552076697
frame_00008,C0039,True,5344,71447,pursuit,only pursuit reached the shared detail target,True,True,256,0.2881556431685798,0.31512282770341404,0.027601429259789256,7.255809475667775,False,True,2560,0.1168247807963203,0.18430056334296918,4.490900313241401,9.303135564550757
frame_00008,C1000,True,5280,147657,pursuit,only pursuit reached the shared detail target,True,True,256,0.2763832350590457,0.2270581509200944,0.06018097579540793,5.205351618118584,False,True,5632,0.152557933208481,0.19431201613440374,3.1016896206683775,8.13137503247708
frame_00008,C1001,True,5376,206164,pursuit,only pursuit reached the shared detail target,True,True,384,0.2708444236088984,0.3081288199308605,0.03219457007569915,12.680680154822767,False,True,4232,0.22352636910554857,0.26798788023404607,3.108018949050198,18.020179446786642
frame_00008,C1002,True,5376,47883,pursuit,only pursuit reached the shared detail target,True,True,256,0.3712225321231917,0.3902707280470663,0.015474386952732289,3.0452009439468384,False,True,2377,0.11262050863036777,0.24223597100304894,3.516869782244477,4.181363470852375
frame_00008,C1004,True,5376,195415,pursuit,both reached target; pursuit used fewer rows,True,True,256,0.2670524411083094,0.22145573309635014,0.05467055636932372,7.017483914270997,True,True,5216,0.252749405593541,0.24137920940510127,3.557065202294705,13.065878631547093
frame_00009,C0001,True,5344,184163,pursuit,only pursuit reached the shared detail target,True,True,256,0.30934219767914806,0.3416978547779552,0.043798025041390076,6.250628928653896,False,True,4096,0.1251356027432161,0.1480913653748548,3.0430784605079992,9.189621580764651
frame_00009,C0004,True,5280,167492,pursuit,only pursuit reached the shared detail target,True,True,384,0.2561122381892946,0.25870215046014966,0.045964471525934414,5.9770456198602915,False,True,6144,0.19457491887369893,0.20587525055598177,4.191481333175634,8.982277167961001
frame_00009,C0005,True,5184,182318,pursuit,only pursuit reached the shared detail target,True,True,512,0.27083855071838925,0.26694514557533255,0.06078916579766869,6.844289693981409,False,True,7680,0.17188442140173021,0.16472297454712193,3.1694725910062793,10.717640215530992
frame_00009,C0006,True,5216,221295,pursuit,only pursuit reached the shared detail target,True,True,768,0.2653108652396454,0.25772033295459995,0.049237026750070356,7.870098154060543,False,True,7680,0.024634704415642084,0.03052086098353546,3.7785301291570796,10.16137034073472
frame_00009,C0008,True,5184,169883,pursuit,only pursuit reached the shared detail target,True,True,384,0.2836688568160477,0.294824970110957,0.05601749848998594,5.780771745368838,False,True,6144,0.12121428564185455,0.13122995302710527,3.5683324921488655,8.605943196453154
frame_00009,C0009,True,5312,180941,pursuit,both reached target; pursuit used fewer rows,True,True,256,0.3024910931734546,0.25412471273466564,0.0822314880159638,6.182238113135099,True,True,7168,0.27144351464435146,0.2714973361943144,3.603813974129139,10.015265948139131
frame_00009,C0012,True,5344,158821,pursuit,only pursuit reached the shared detail target,True,True,384,0.2587236734986219,0.2522133623121898,0.07101620626312055,5.924410626292229,False,True,6656,0.16158188368198412,0.15390777339391193,4.052935077209369,9.752820175141096
frame_00009,C0014,True,5280,165166,pursuit,only pursuit reached the shared detail target,True,True,384,0.2562643105251974,0.2581818126698602,0.05151157112584315,6.270388243719935,False,True,6144,0.14759746297907428,0.1544863112360162,4.534856223613964,9.903653493151069
frame_00009,C0018,True,5248,149076,pursuit,only pursuit reached the shared detail target,True,True,512,0.2686242771718964,0.2505712617765159,0.06325997948533058,6.198395256884396,False,True,5632,0.04797926140344022,0.005477611886705036,4.0496848547685715,9.804905059747398
frame_00009,C0019,True,5344,166486,pursuit,only pursuit reached the shared detail target,True,True,512,0.26023699105913767,0.2779102701816678,0.05778983537274485,6.467757628299296,False,True,5632,0.08702369141404309,0.10822280786877114,4.912091152803374,8.859944770112634
frame_00009,C0020,True,5376,190857,pursuit,only pursuit reached the shared detail target,True,True,256,0.26651875541712255,0.20847325579753373,0.061252501939122794,6.328837702982128,False,True,6656,0.16352798260524792,0.12919221308871132,3.917356325943686,9.482656468637288
