image,budget,seed,strategy,background,background_count,detail_count,background_actual_fraction,base_psnr,psnr,d_psnr,base_ms_ssim,ms_ssim,d_ms_ssim,base_auc_psnr,auc_psnr,d_auc_psnr,base_edge_mae,edge_mae,d_edge_mae,base_fit_seconds,fit_seconds,d_fit_seconds,base_total_seconds,total_seconds,d_total_seconds,base_large_support_fraction,large_support_fraction,d_large_support_fraction,base_large_support_detail_fraction,large_support_detail_fraction,d_large_support_detail_fraction
kodim01,2000,0,quadtree_wse,frac0.05_grid8,64,1936,0.032,22.804500,23.869100,1.064600,0.857640,0.879190,0.021550,23.500273,23.524754,0.024481,0.065091,0.061980,-0.003111,5.083510,7.320976,2.237465,5.804555,8.040664,2.236109,0.004500,0.091000,0.086500,0.004500,0.060950,0.056450
kodim01,2000,0,quadtree_wse,frac0.10_grid16,200,1800,0.1,22.804500,23.851500,1.047000,0.857640,0.877650,0.020010,23.500273,23.526135,0.025862,0.065091,0.062467,-0.002624,5.083510,6.998340,1.914829,5.804555,7.669650,1.865095,0.004500,0.060500,0.056000,0.004500,0.067222,0.062722
kodim07,2000,0,aniso_onedge,frac0.05_grid8,64,1936,0.032,25.998900,29.206100,3.207200,0.943660,0.963650,0.019990,27.697847,28.531391,0.833544,0.039306,0.037228,-0.002078,5.055158,7.432371,2.377213,5.380348,7.754940,2.374592,0.007500,0.083000,0.075500,0.007500,0.052686,0.045186
kodim07,2000,0,aniso_onedge,frac0.10_grid16,200,1800,0.1,25.998900,28.964700,2.965800,0.943660,0.960780,0.017120,27.697847,28.369550,0.671703,0.039306,0.038418,-0.000888,5.055158,7.353927,2.298769,5.380348,7.646523,2.266175,0.007500,0.060000,0.052500,0.007500,0.066667,0.059167
kodim07,2000,0,quadtree_wse,frac0.05_grid8,64,1936,0.032,25.707100,29.211700,3.504600,0.940870,0.963030,0.022160,27.723453,28.544622,0.821169,0.038764,0.037432,-0.001332,5.057641,7.288685,2.231044,5.774815,8.016430,2.241616,0.006000,0.087500,0.081500,0.006000,0.057335,0.051335
kodim07,2000,0,quadtree_wse,frac0.10_grid16,200,1800,0.1,25.707100,28.972600,3.265500,0.940870,0.960160,0.019290,27.723453,28.327923,0.604470,0.038764,0.038298,-0.000466,5.057641,7.188289,2.130648,5.774815,7.865784,2.090969,0.006000,0.041500,0.035500,0.006000,0.046111,0.040111
kodim13,2000,0,aniso_onedge,frac0.05_grid8,64,1936,0.032,20.626500,20.632800,0.006300,0.812430,0.821770,0.009340,20.538907,20.434851,-0.104056,0.094094,0.094918,0.000824,5.097021,8.631140,3.534120,5.400488,8.943773,3.543284,0.012000,0.147000,0.135000,0.012000,0.118802,0.106802
kodim13,2000,0,aniso_onedge,frac0.10_grid16,200,1800,0.1,20.626500,20.553700,-0.072800,0.812430,0.816530,0.004100,20.538907,20.369632,-0.169275,0.094094,0.095890,0.001796,5.097021,8.266745,3.169724,5.400488,8.556886,3.156398,0.012000,0.099000,0.087000,0.012000,0.110000,0.098000
kodim13,2000,0,quadtree_wse,frac0.05_grid8,64,1936,0.032,20.490700,20.611000,0.120300,0.805490,0.821200,0.015710,20.418066,20.415333,-0.002734,0.094855,0.095165,0.000310,5.314942,8.651859,3.336917,5.895443,9.236876,3.341433,0.006000,0.149000,0.143000,0.006000,0.120868,0.114868
kodim13,2000,0,quadtree_wse,frac0.10_grid16,200,1800,0.1,20.490700,20.524500,0.033800,0.805490,0.815960,0.010470,20.418066,20.344166,-0.073900,0.094855,0.096362,0.001507,5.314942,8.493794,3.178852,5.895443,9.042958,3.147514,0.006000,0.104000,0.098000,0.006000,0.115556,0.109556
