epoch,loss
1,20.943674087524414
2,20.88962173461914
3,20.81407356262207
4,20.693906784057617
5,20.502683639526367
6,20.18971061706543
7,19.6768798828125
8,18.861162185668945
9,17.613117218017578
10,15.803678512573242
11,13.420201301574707
12,10.839702606201172
13,9.086013793945312
14,8.952103614807129
15,9.196541786193848
16,8.714460372924805
17,7.448782920837402
18,5.8195624351501465
19,4.503195285797119
20,3.9412407875061035
21,3.941188097000122
22,3.9879393577575684
23,3.7868428230285645
24,3.3729021549224854
25,2.984370470046997
26,2.8592991828918457
27,2.9943225383758545
28,3.147965669631958
29,3.1278538703918457
30,2.937894821166992
31,2.7152485847473145
32,2.6012024879455566
33,2.6248998641967773
34,2.694110155105591
35,2.699228286743164
36,2.609600305557251
37,2.482649803161621
38,2.404045820236206
39,2.4073569774627686
40,2.4433047771453857
41,2.436614990234375
42,2.3676583766937256
43,2.2864418029785156
44,2.2516074180603027
45,2.2667553424835205
46,2.2855613231658936
47,2.2696597576141357
48,2.2271885871887207
49,2.1967015266418457
50,2.20074725151062
51,2.220396041870117
52,2.2215969562530518
53,2.198362112045288
54,2.175621271133423
55,2.173917770385742
56,2.1852028369903564
57,2.187842607498169
58,2.174994707107544
59,2.1601693630218506
60,2.1576902866363525
61,2.164536952972412
62,2.1665163040161133
63,2.1582982540130615
64,2.1488711833953857
65,2.1473937034606934
66,2.1512341499328613
67,2.1516318321228027
68,2.1461355686187744
69,2.14091157913208
70,2.141443967819214
71,2.143692970275879
72,2.142186164855957
73,2.138347864151001
74,2.1365134716033936
75,2.1374704837799072
76,2.138274669647217
77,2.1369588375091553
78,2.1349759101867676
79,2.1345622539520264
80,2.1354494094848633
81,2.135610818862915
82,2.134455919265747
83,2.1334238052368164
84,2.1335442066192627
85,2.1340115070343018
86,2.1336863040924072
87,2.132791757583618
88,2.132352828979492
89,2.1325597763061523
90,2.1325972080230713
91,2.1320548057556152
92,2.131470203399658
93,2.131354808807373
94,2.131425619125366
95,2.131202220916748
96,2.1307928562164307
97,2.1306376457214355
98,2.130746603012085
99,2.1306662559509277
100,2.1303389072418213
101,2.1301369667053223
102,2.1301498413085938
103,2.1300759315490723
104,2.1298282146453857
105,2.1296370029449463
106,2.129605293273926
107,2.1295526027679443
108,2.1293692588806152
109,2.1291935443878174
110,2.1291306018829346
111,2.129063367843628
112,2.128908634185791
113,2.1287479400634766
114,2.128659725189209
115,2.128582000732422
116,2.1284377574920654
117,2.1282877922058105
118,2.1281912326812744
119,2.128094434738159
120,2.1279568672180176
121,2.127819776535034
122,2.1277151107788086
123,2.1276023387908936
124,2.1274538040161133
125,2.127316951751709
126,2.1271986961364746
127,2.1270620822906494
128,2.1269102096557617
129,2.1267759799957275
130,2.1266443729400635
131,2.126495599746704
132,2.1263487339019775
133,2.126213788986206
134,2.126066207885742
135,2.125906467437744
136,2.125758409500122
137,2.125612258911133
138,2.125453233718872
139,2.125298261642456
140,2.1251461505889893
141,2.12498140335083
142,2.12481427192688
143,2.1246516704559326
144,2.1244845390319824
145,2.12431263923645
146,2.124142646789551
147,2.123967170715332
148,2.1237854957580566
149,2.1236040592193604
