epoch,loss
1,20.921611785888672
2,20.869760513305664
3,20.796470642089844
4,20.674236297607422
5,20.4523868560791
6,20.048851013183594
7,19.344511032104492
8,18.173715591430664
9,16.345399856567383
10,13.805892944335938
11,11.033246994018555
12,9.479747772216797
13,9.774971008300781
14,9.778016090393066
15,8.741817474365234
16,7.0109686851501465
17,5.363778591156006
18,4.524668216705322
19,4.441703796386719
20,4.464386463165283
21,4.1764607429504395
22,3.6390905380249023
23,3.1975626945495605
24,3.1320126056671143
25,3.300602912902832
26,3.344119071960449
27,3.1382484436035156
28,2.835891008377075
29,2.663341760635376
30,2.688826322555542
31,2.7732059955596924
32,2.757458209991455
33,2.6225767135620117
34,2.4782605171203613
35,2.4351553916931152
36,2.480018377304077
37,2.498039484024048
38,2.423523426055908
39,2.3151822090148926
40,2.2684412002563477
41,2.2923595905303955
42,2.3132779598236084
43,2.28029203414917
44,2.2225990295410156
45,2.201357841491699
46,2.2247626781463623
47,2.2401316165924072
48,2.2143545150756836
49,2.177766799926758
50,2.1709096431732178
51,2.1858270168304443
52,2.186366319656372
53,2.1634092330932617
54,2.143085479736328
55,2.144771099090576
56,2.153562068939209
57,2.147120714187622
58,2.1305952072143555
59,2.1243300437927246
60,2.1302735805511475
61,2.1324281692504883
62,2.1241061687469482
63,2.116276502609253
64,2.1178438663482666
65,2.1219613552093506
66,2.119053602218628
67,2.1124989986419678
68,2.1110002994537354
69,2.1137855052948
70,2.1135504245758057
71,2.1093082427978516
72,2.106900930404663
73,2.108379364013672
74,2.1091761589050293
75,2.106740951538086
76,2.1045265197753906
77,2.1051039695739746
78,2.1060047149658203
79,2.104757070541382
80,2.103062391281128
81,2.1031785011291504
82,2.1039037704467773
83,2.103226900100708
84,2.1019833087921143
85,2.10188627243042
86,2.1023547649383545
87,2.1019484996795654
88,2.101077079772949
89,2.100958824157715
90,2.101284980773926
91,2.1010355949401855
92,2.1004505157470703
93,2.100372552871704
94,2.1005911827087402
95,2.1004085540771484
96,2.1000192165374756
97,2.0999858379364014
98,2.100126028060913
99,2.099968194961548
100,2.0996923446655273
101,2.0996503829956055
102,2.099637031555176
103,2.099421262741089
104,2.09936785697937
105,2.0993337631225586
106,2.0991320610046387
107,2.0990729331970215
108,2.0989975929260254
109,2.0988211631774902
110,2.0987229347229004
111,2.0986385345458984
112,2.098459243774414
113,2.0983126163482666
114,2.098187208175659
115,2.097996950149536
116,2.097810745239258
117,2.0976505279541016
118,2.097423791885376
119,2.0971837043762207
120,2.0969550609588623
121,2.0966732501983643
122,2.0963780879974365
123,2.0960850715637207
124,2.095743179321289
125,2.0953757762908936
126,2.0949974060058594
127,2.0945651531219482
128,2.094000816345215
129,2.0942585468292236
130,2.0937323570251465
131,2.0931410789489746
132,2.0925180912017822
133,2.0918421745300293
134,2.091113805770874
135,2.0908284187316895
136,2.0895445346832275
137,2.0886828899383545
138,2.087738513946533
139,2.0866973400115967
140,2.085569381713867
141,2.0843541622161865
142,2.083019495010376
143,2.081561326980591
144,2.079974889755249
145,2.0782265663146973
146,2.0762851238250732
147,2.074082612991333
148,2.071824312210083
149,2.0690455436706543
150,2.0667777061462402
151,2.063058853149414
152,2.060340642929077
153,2.0551490783691406
154,2.0514681339263916
155,2.0442636013031006
156,2.0378525257110596
157,2.030557632446289
158,2.0226454734802246
159,2.0122501850128174
160,2.001211404800415
