k,target_psnr,target_psnr_delta_vs_full,target_ms_ssim,psnr_to_full,mean_abs_to_full,max_abs_to_full,retained_responsibility_mean,retained_responsibility_min,retained_responsibility_p05,retained_responsibility_p50,retained_responsibility_p95,retained_responsibility_max,retained_contributions,ideal_positive_work_reduction_fraction,ideal_rectangle_work_reduction_fraction
1,14.619068145751953,-20.006641387939453,0.760053277015686,14.683319091796875,0.10940655320882797,2.5348942279815674,0.3700452148914337,0.08178528398275375,0.18043938279151917,0.3216797113418579,0.7466818690299988,1.0,307200,0.967367396587471,0.9750814779701041
2,21.106204986572266,-13.51950454711914,0.8974962830543518,21.34356689453125,0.04889719933271408,1.276350975036621,0.5860013961791992,0.16255351901054382,0.3342098593711853,0.5532436370849609,0.9459412097930908,1.0,614400,0.934734793174942,0.9501629559402082
4,28.334741592407227,-6.29096794128418,0.9734300374984741,29.528656005859375,0.017220770940184593,0.6579204201698303,0.8075626492500305,0.31636130809783936,0.5676998496055603,0.8175019025802612,0.9987143874168396,1.0000001192092896,1228746,0.8694753225497026,0.900330292089367
8,33.43626403808594,-1.1894454956054688,0.99219810962677,39.674461364746094,0.0040671853348612785,0.26986879110336304,0.9515545964241028,0.5313080549240112,0.8264949917793274,0.9753029346466064,1.0,1.000000238418579,2453178,0.7394089037293585,0.801010514204896
16,34.5760498046875,-0.04965972900390625,0.994009792804718,54.00739669799805,0.0004317745624575764,0.1056848093867302,0.9960640668869019,0.8001352548599243,0.9770867228507996,0.9999931454658508,1.0000001192092896,1.000000238418579,4745741,0.4958792840117877,0.6150493110134108
