comparison,renderer,pyramid,n,mean_delta_psnr,psnr_wins,mean_delta_ms_ssim,mean_delta_auc_psnr,mean_delta_edge_mae,mean_delta_fit_seconds
additive_vs_normalized,cuda_additive,pyramid,4,-0.6075249999999999,0,-0.02107749999999997,-4.628670706000543,0.006904249999999999,0.01274263858795166
additive_vs_normalized,cuda_additive,single,4,-0.23112500000000047,1,-0.010764999999999969,-3.257180364508378,0.004542000000000001,-0.12856364250183105
pyramid_vs_single,cuda,pyramid,4,0.0020999999999986585,1,0.0016500000000000126,-0.4816912750253701,0.0025792500000000017,-0.11621308326721191
pyramid_vs_single,cuda_additive,pyramid,4,-0.37430000000000074,0,-0.00866249999999999,-1.853181616517535,0.0049415,0.0250931978225708
