image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,iters_to_target,n_gaussians,init_seconds,fit_seconds
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,20000,0,0.5,0.02,0.15,6.0,1.0,30.751,0.909,0.98311,,,20000,8.771328210830688,35.1501829624176
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,20000,0,0.5,0.02,0.15,6.0,1.0,30.7803,0.91051,0.98379,,,20000,0.5294508934020996,31.38189148902893
