budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
all,gaussianimage_plus_residual,GaussianImage++ residual,26.0,8,4,0.5,279.75,0.47137439250946045
all,gaussianimage_plus_residual,GaussianImage++ residual,28.0,8,2,0.25,193,0.31291699409484863
all,gaussianimage_plus_residual,GaussianImage++ residual,30.0,8,2,0.25,287,0.4706258773803711
all,gaussianimage_plus_residual,GaussianImage++ residual,32.0,8,2,0.25,444.5,0.7040948867797852
all,image_gs_residual,Image-GS residual,22.0,8,8,1.0,143,0.24089202284812927
all,image_gs_residual,Image-GS residual,24.0,8,7,0.875,243.71428571428572,0.40776470729282926
all,image_gs_residual,Image-GS residual,26.0,8,4,0.5,242,0.4041762351989746
all,image_gs_residual,Image-GS residual,28.0,8,2,0.25,147.5,0.24010825157165527
all,image_gs_residual,Image-GS residual,30.0,8,2,0.25,272.5,0.45508813858032227
all,image_gs_residual,Image-GS residual,32.0,8,2,0.25,388,0.6570698022842407
all,instant_gi_quadtree_fixed,Instant-GI quadtree,22.0,0,0,,,
all,instant_gi_quadtree_fixed,Instant-GI quadtree,24.0,0,0,,,
all,instant_gi_quadtree_fixed,Instant-GI quadtree,26.0,0,0,,,
all,instant_gi_quadtree_fixed,Instant-GI quadtree,28.0,0,0,,,
all,instant_gi_quadtree_fixed,Instant-GI quadtree,30.0,0,0,,,
all,instant_gi_quadtree_fixed,Instant-GI quadtree,32.0,0,0,,,
all,structsplat_onedge_residual,SS on-edge + residual,22.0,8,8,1.0,106.75,0.20064067840576172
all,structsplat_onedge_residual,SS on-edge + residual,24.0,8,8,1.0,252.875,0.4279155135154724
all,structsplat_onedge_residual,SS on-edge + residual,26.0,8,4,0.5,210.5,0.37397515773773193
all,structsplat_onedge_residual,SS on-edge + residual,28.0,8,2,0.25,120.5,0.20616424083709717
all,structsplat_onedge_residual,SS on-edge + residual,30.0,8,2,0.25,249.5,0.4257538318634033
all,structsplat_onedge_residual,SS on-edge + residual,32.0,8,2,0.25,392.5,0.6390559673309326
all,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,22.0,8,8,1.0,114.375,0.2140834927558899
all,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,24.0,8,7,0.875,233.71428571428572,0.4293593338557652
all,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,26.0,8,4,0.5,221.75,0.4232403635978699
all,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,28.0,8,2,0.25,134.5,0.2416527271270752
all,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,30.0,8,2,0.25,281,0.4857451915740967
all,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,32.0,8,2,0.25,425.5,0.7106789350509644
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,22.0,8,8,1.0,102.875,0.193832129240036
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,24.0,8,8,1.0,242.625,0.4107269048690796
