device,renderer,budget,before_builtin_sec_per_iter,after_builtin_sec_per_iter,after_fused_sec_per_iter,builtin_delta_pct,fused_vs_before_pct,fused_vs_after_pct,psnr_before,psnr_after,psnr_after_fused,targets_match
cpu,normalized,512,0.013226819038391114,0.014897346496582031,,12.629850407283705,,,18.591365814208984,18.591365814208984,,true
cpu,normalized,20000,0.029213368892669678,0.026744699478149413,,-8.450478353216262,,,42.32826614379883,42.32826614379883,,true
cuda,cuda,512,0.0017097711563110352,0.0015464186668395995,0.0013233542442321778,-9.5540557500035,-22.60050478992651,-14.424581608504273,18.591367721557617,18.59138298034668,18.591293334960938,true
cuda,cuda,20000,0.003017687797546387,0.0023704648017883303,0.0021721482276916503,-21.44764598525728,-28.019451533131612,-8.366147177003668,42.327632904052734,42.326683044433594,42.3296012878418,true
