image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,loss,optimizer,lr_schedule,refine,pyramid,config_label,is_baseline,status,psnr,ssim,ms_ssim,lpips,auc_psnr,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,init_seconds,fit_seconds,total_seconds
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,False,ok,20.4572,0.54891,0.86229,,19.2719786045915,,{'28.0': None},,256,0.03319740295410156,2.526681661605835,2.6456716060638428
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms|pyramid=single,False,ok,20.5173,0.55001,0.8632,,19.361141301817813,,{'28.0': None},,256,0.04075956344604492,8.170366048812866,8.29081392288208
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_residual_color|pyramid=single,False,ok,20.3639,0.54186,0.85807,,18.830629170951198,,{'28.0': None},,256,0.05960369110107422,5.84965705871582,5.941409111022949
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms_residual_color|pyramid=single,False,ok,20.4314,0.54373,0.85885,,18.96755047167762,,{'28.0': None},,256,0.04005694389343262,7.236705541610718,7.305029630661011
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add|pyramid=single,False,ok,20.5024,0.5515,0.86387,,19.298116085893017,,{'28.0': None},,256,0.05289459228515625,1.8103950023651123,1.8769958019256592
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms|pyramid=single,False,ok,20.5148,0.55202,0.86405,,19.39303495116153,,{'28.0': None},,256,0.04224967956542969,1.2590537071228027,1.315575361251831
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms_residual_color|pyramid=single,False,ok,20.4243,0.54615,0.86007,,19.04287052154541,,{'28.0': None},,256,0.0400543212890625,1.0329639911651611,1.085146188735962
COCO_train2014_000000000025_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,pyramid,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=pyramid,False,ok,19.8293,0.47546,0.81736,,18.290614273588535,,{'28.0': None},,256,0.09088587760925293,1.297417163848877,1.3883030414581299
COCO_train2014_000000000030_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,25.8384,0.8248,0.95525,,23.674660844317938,,{'28.0': None},,256,0.045648813247680664,1.1145799160003662,1.1722397804260254
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,False,ok,25.4404,0.81767,0.95163,,23.014198545682227,,{'28.0': None},,256,0.037767887115478516,1.2134478092193604,1.2641003131866455
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms|pyramid=single,False,ok,25.5093,0.819,0.95228,,23.099669246350306,,{'28.0': None},,256,0.03693580627441406,1.1784474849700928,1.2289791107177734
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_residual_color|pyramid=single,False,ok,25.354,0.81525,0.95,,22.535475633912167,,{'28.0': None},,256,0.040918588638305664,1.3224265575408936,1.379317283630371
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms_residual_color|pyramid=single,False,ok,25.3982,0.8149,0.95067,,22.781973515526722,,{'28.0': None},,256,0.04351043701171875,1.188579797744751,1.245849370956421
