budget,image,seed,left,right,delta_psnr,delta_ms_ssim,left_psnr,right_psnr,left_ms_ssim,right_ms_ssim
2000,kodim01,0,aniso_flanking,aniso_onedge,-1.0832000000000015,-0.018959999999999977,22.441,23.5242,0.85179,0.87075
2000,kodim01,1,aniso_flanking,aniso_onedge,-0.8762000000000008,-0.011740000000000084,22.514,23.3902,0.85813,0.86987
2000,kodim02,0,aniso_flanking,aniso_onedge,-0.23109999999999786,-0.0023000000000000798,31.1353,31.3664,0.93414,0.93644
2000,kodim02,1,aniso_flanking,aniso_onedge,0.03879999999999839,0.0011200000000000099,31.1622,31.1234,0.93488,0.93376
2000,kodim01,0,floyd_steinberg,aniso_onedge,-1.087600000000002,-0.012290000000000023,22.4366,23.5242,0.85846,0.87075
2000,kodim02,0,floyd_steinberg,aniso_onedge,-0.40700000000000003,-0.005560000000000009,30.9594,31.3664,0.93088,0.93644
2000,kodim02,1,floyd_steinberg,aniso_onedge,-0.1097999999999999,-0.002690000000000081,31.0136,31.1234,0.93107,0.93376
2000,kodim01,1,floyd_steinberg,aniso_onedge,0.017099999999999227,0.00015999999999993797,23.4073,23.3902,0.87003,0.86987
2000,kodim01,0,iso_blue_noise,aniso_onedge,-1.6861999999999995,-0.027100000000000013,21.838,23.5242,0.84365,0.87075
2000,kodim02,0,iso_blue_noise,aniso_onedge,-0.9854999999999983,-0.007810000000000095,30.3809,31.3664,0.92863,0.93644
2000,kodim01,1,iso_blue_noise,aniso_onedge,-0.5788000000000011,-0.006410000000000027,22.8114,23.3902,0.86346,0.86987
2000,kodim02,1,iso_blue_noise,aniso_onedge,-0.2776999999999994,-0.003369999999999984,30.8457,31.1234,0.93039,0.93376
2000,kodim01,1,quadtree_hybrid,aniso_onedge,-0.718,-0.011079999999999979,22.6722,23.3902,0.85879,0.86987
2000,kodim01,0,quadtree_hybrid,aniso_onedge,-0.3871000000000002,-0.0036000000000000476,23.1371,23.5242,0.86715,0.87075
2000,kodim02,1,quadtree_hybrid,aniso_onedge,-0.31289999999999907,0.00031999999999998696,30.8105,31.1234,0.93408,0.93376
2000,kodim02,0,quadtree_hybrid,aniso_onedge,-0.1875,-0.0016500000000000403,31.1789,31.3664,0.93479,0.93644
2000,kodim02,0,quadtree_wse,aniso_onedge,-0.3157999999999994,-0.0015300000000000313,31.0506,31.3664,0.93491,0.93644
2000,kodim01,1,quadtree_wse,aniso_onedge,-0.24490000000000123,-0.0021900000000000253,23.1453,23.3902,0.86768,0.86987
2000,kodim01,0,quadtree_wse,aniso_onedge,-0.06500000000000128,0.00010999999999994348,23.4592,23.5242,0.87086,0.87075
2000,kodim02,1,quadtree_wse,aniso_onedge,0.17820000000000036,0.003049999999999997,31.3016,31.1234,0.93681,0.93376
