budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,26.0,12,8,0.6666666666666666,291.625,1.082523673772812
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,28.0,12,6,0.5,447.6666666666667,1.6808117628097534
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,30.0,12,4,0.3333333333333333,319.5,1.376124620437622
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,32.0,12,3,0.25,468,1.8664562702178955
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,35.0,12,2,0.16666666666666666,853,3.1424758434295654
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,22.0,12,11,0.9166666666666666,118.54545454545455,0.49304353107105603
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,24.0,12,9,0.75,147.22222222222223,0.5771489408281114
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,26.0,12,5,0.4166666666666667,93.8,0.4151768207550049
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,28.0,12,5,0.4166666666666667,295.8,1.0017094612121582
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,30.0,12,4,0.3333333333333333,408,1.3378940224647522
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,32.0,12,3,0.25,569.3333333333334,1.7886472543080647
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,35.0,12,1,0.08333333333333333,385,1.381058931350708
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,22.0,12,11,0.9166666666666666,95.27272727272727,0.48323678970336914
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,24.0,12,9,0.75,120.88888888888889,0.5812627739376492
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,26.0,12,8,0.6666666666666666,296.75,1.0620078444480896
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,28.0,12,5,0.4166666666666667,289.8,1.0473143100738525
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,30.0,12,4,0.3333333333333333,324.5,1.3040843605995178
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,32.0,12,3,0.25,465,1.8723804155985515
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,35.0,12,1,0.08333333333333333,379,1.5419211387634277
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,22.0,12,11,0.9166666666666666,99.27272727272727,0.5068220008503307
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,24.0,12,9,0.75,128.66666666666666,0.6259861522250705
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,26.0,12,8,0.6666666666666666,283.625,1.0266944468021393
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,28.0,12,6,0.5,447.8333333333333,1.615515152613322
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,30.0,12,4,0.3333333333333333,317,1.3856145143508911
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,32.0,12,3,0.25,467,1.8412336508433025
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,35.0,12,2,0.16666666666666666,846.5,3.1372355222702026
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,22.0,12,11,0.9166666666666666,144.0909090909091,0.564274397763339
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,24.0,12,9,0.75,147.77777777777777,0.5784144401550293
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,26.0,12,5,0.4166666666666667,91.6,0.41735172271728516
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,28.0,12,5,0.4166666666666667,289.2,0.9485392570495605
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,30.0,12,4,0.3333333333333333,407,1.3371949791908264
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,32.0,12,3,0.25,563.3333333333334,1.7891697883605957
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,35.0,12,1,0.08333333333333333,363,1.161015272140503
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,22.0,12,11,0.9166666666666666,102.18181818181819,0.5033653649416837
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,24.0,12,9,0.75,123.66666666666667,0.5760851171281602
