adjoint_relative_error,artifacts,backend,baseline_allocated_bytes,baseline_reserved_bytes,cache_build_seconds,cache_bytes,cache_nnz,cell_id,cold_render_max_abs,execution_profile,family,forward_calls,iterations_run,lpips,maintained_parity_max_abs,ms_ssim,n_gaussians,peak_allocated_bytes,peak_reserved_bytes,psnr,raw_sse,repeat,seed,selected_iteration,selected_violation,status,timing_eligible,total_seconds,transpose_calls,worker_peak_rss_bytes
5.044043064117432e-06,"{""config.json"":""cells/smooth_s0_r0_off/config.json"",""curves.png"":""cells/smooth_s0_r0_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r0_off/error.png"",""field.npz"":""cells/smooth_s0_r0_off/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r0_off/history.json"",""input_field.npz"":""cells/smooth_s0_r0_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r0_off/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r0_off/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r0_off/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r0_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r0_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r0_off/target.npy"",""target.png"":""cells/smooth_s0_r0_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r0_off,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08873075991868973,2.980232238769531e-07,0.9241207242012024,144,14045696,33554432,26.231416590752783,117.05757824631606,0,0,44,14.278764718147066,ok,false,0.2699343439999211,51,1344503808
3.1366944313049316e-06,"{""config.json"":""cells/smooth_s0_r0_scatter/config.json"",""curves.png"":""cells/smooth_s0_r0_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r0_scatter/error.png"",""field.npz"":""cells/smooth_s0_r0_scatter/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r0_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r0_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r0_scatter/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r0_scatter/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r0_scatter/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r0_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r0_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r0_scatter/target.npy"",""target.png"":""cells/smooth_s0_r0_scatter/target.png""}",scatter,0,33554432,0.0013311299990164116,2625420,131271,smooth_s0_r0_scatter,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08873261511325836,2.384185791015625e-07,0.9241205453872681,144,12248064,33554432,26.23141659741276,117.05757806680629,0,0,46,14.278764718147066,ok,false,0.12383816200235742,51,1330319360
8.828938007354736e-06,"{""config.json"":""cells/smooth_s0_r0_csr/config.json"",""curves.png"":""cells/smooth_s0_r0_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r0_csr/error.png"",""field.npz"":""cells/smooth_s0_r0_csr/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r0_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r0_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r0_csr/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r0_csr/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r0_csr/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r0_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r0_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r0_csr/target.npy"",""target.png"":""cells/smooth_s0_r0_csr/target.png""}",csr,0,33554432,0.0027788500010501593,3282744,131271,smooth_s0_r0_csr,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08872944116592407,2.384185791015625e-07,0.9241204261779785,144,18533888,33554432,26.231416564704322,117.05757894841332,0,0,41,14.278764718147066,ok,false,0.12193755399857764,51,1304948736
2.9243528842926025e-06,"{""config.json"":""cells/smooth_s0_r1_off/config.json"",""curves.png"":""cells/smooth_s0_r1_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r1_off/error.png"",""field.npz"":""cells/smooth_s0_r1_off/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r1_off/history.json"",""input_field.npz"":""cells/smooth_s0_r1_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r1_off/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r1_off/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r1_off/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r1_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r1_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r1_off/target.npy"",""target.png"":""cells/smooth_s0_r1_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r1_off,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08873356133699417,2.384185791015625e-07,0.9241205453872681,144,14045696,33554432,26.23141659173236,117.05757821991301,1,0,46,14.278764718147066,ok,false,0.2899866360021406,51,1305645056
6.310641765594482e-06,"{""config.json"":""cells/smooth_s0_r1_csr/config.json"",""curves.png"":""cells/smooth_s0_r1_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r1_csr/error.png"",""field.npz"":""cells/smooth_s0_r1_csr/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r1_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r1_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r1_csr/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r1_csr/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r1_csr/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r1_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r1_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r1_csr/target.npy"",""target.png"":""cells/smooth_s0_r1_csr/target.png""}",csr,0,33554432,0.0027871860002051108,3282744,131271,smooth_s0_r1_csr,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08872859179973602,2.384185791015625e-07,0.9241204857826233,144,18533888,33554432,26.231416592186005,117.05757820768562,1,0,41,14.278764718147066,ok,false,0.1433653090025473,51,1310998528
2.8908252716064453e-06,"{""config.json"":""cells/smooth_s0_r1_scatter/config.json"",""curves.png"":""cells/smooth_s0_r1_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r1_scatter/error.png"",""field.npz"":""cells/smooth_s0_r1_scatter/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r1_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r1_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r1_scatter/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r1_scatter/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r1_scatter/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r1_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r1_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r1_scatter/target.npy"",""target.png"":""cells/smooth_s0_r1_scatter/target.png""}",scatter,0,33554432,0.001346868997643469,2625420,131271,smooth_s0_r1_scatter,1.7881393432617188e-07,shared_correctness,smooth,99,48,0.0887337476015091,2.980232238769531e-07,0.9241207242012024,144,12248064,33554432,26.231416604242877,117.05757788271069,1,0,45,14.278764718147066,ok,false,0.12319885900069494,51,1301180416
1.2218952178955078e-06,"{""config.json"":""cells/smooth_s0_r2_scatter/config.json"",""curves.png"":""cells/smooth_s0_r2_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r2_scatter/error.png"",""field.npz"":""cells/smooth_s0_r2_scatter/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r2_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r2_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r2_scatter/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r2_scatter/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r2_scatter/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r2_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r2_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r2_scatter/target.npy"",""target.png"":""cells/smooth_s0_r2_scatter/target.png""}",scatter,0,33554432,0.0013264150002214592,2625420,131271,smooth_s0_r2_scatter,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08873376250267029,2.384185791015625e-07,0.9241206049919128,144,12248064,33554432,26.2314165852659,117.05757839420663,2,0,44,14.278764718147066,ok,false,0.12298208300126134,51,1305190400
4.567205905914307e-06,"{""config.json"":""cells/smooth_s0_r2_off/config.json"",""curves.png"":""cells/smooth_s0_r2_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r2_off/error.png"",""field.npz"":""cells/smooth_s0_r2_off/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r2_off/history.json"",""input_field.npz"":""cells/smooth_s0_r2_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r2_off/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r2_off/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r2_off/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r2_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r2_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r2_off/target.npy"",""target.png"":""cells/smooth_s0_r2_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r2_off,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08872995525598526,2.384185791015625e-07,0.9241207242012024,144,14045696,33554432,26.231416581037333,117.0575785081814,2,0,48,14.278764718147066,ok,false,0.2681605110010423,51,1329799168
8.545815944671631e-06,"{""config.json"":""cells/smooth_s0_r2_csr/config.json"",""curves.png"":""cells/smooth_s0_r2_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r2_csr/error.png"",""field.npz"":""cells/smooth_s0_r2_csr/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r2_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r2_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r2_csr/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r2_csr/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r2_csr/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r2_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r2_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r2_csr/target.npy"",""target.png"":""cells/smooth_s0_r2_csr/target.png""}",csr,0,33554432,0.002683663999050623,3282744,131271,smooth_s0_r2_csr,1.7881393432617188e-07,shared_correctness,smooth,99,48,0.08872448652982712,2.980232238769531e-07,0.9241205453872681,144,18533888,33554432,26.231416628357632,117.05757723273355,2,0,43,14.278764718147066,ok,false,0.12073237499862444,51,1302577152
5.6438148021698e-06,"{""config.json"":""cells/smooth_s0_r3_scatter/config.json"",""curves.png"":""cells/smooth_s0_r3_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r3_scatter/error.png"",""field.npz"":""cells/smooth_s0_r3_scatter/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r3_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r3_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r3_scatter/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r3_scatter/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r3_scatter/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r3_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r3_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r3_scatter/target.npy"",""target.png"":""cells/smooth_s0_r3_scatter/target.png""}",scatter,0,33554432,0.0013957379997009411,2625420,131271,smooth_s0_r3_scatter,1.7881393432617188e-07,shared_correctness,smooth,99,48,0.08872858434915543,2.384185791015625e-07,0.9241206049919128,144,12248064,33554432,26.231416579023445,117.05757856246272,3,0,43,14.278764718147066,ok,false,0.12454702600007295,51,1307758592
