artifacts,cell_id,cold_forward_evaluations,cold_render_max_abs,family,fixture_render_evaluations,forward_evaluations,gradient_evaluations,initial_diagnostic_forward_evaluations,initial_psnr,iterations_run,jacobian_constructions,linear_solves,lpips,method,ms_ssim,n_gaussians,peak_allocated_bytes,psnr,psnr_ceiling_applied,psnr_uncapped,raw_mse,rejected_updates,retained_gram_bytes,retained_jacobian_bytes,seed,selected_iteration,smoke,status,stratum,total_seconds,warmup_forward_evaluations,warmup_gradient_evaluations,warmup_jacobian_constructions,warmup_linear_solves,worker_forward_evaluations,worker_peak_rss_bytes
"{""config.json"":""cells/overlap_s1_block_shared/config.json"",""curves.png"":""cells/overlap_s1_block_shared/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s1_block_shared/error.png"",""field.npz"":""cells/overlap_s1_block_shared/field.npz"",""history.json"":""cells/overlap_s1_block_shared/history.json"",""initial_reconstruction.npy"":""cells/overlap_s1_block_shared/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s1_block_shared/input_field.npz"",""progress.jsonl"":""cells/overlap_s1_block_shared/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s1_block_shared/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s1_block_shared/reconstruction.png"",""target.npy"":""cells/overlap_s1_block_shared/target.npy"",""target.png"":""cells/overlap_s1_block_shared/target.png""}",overlap_s1_block_shared,1,5.960464477539063e-08,overlap,4,311,160,1,19.75027121966309,160,160,160,0.00010391193791292608,block_shared,0.9999053478240967,16,33258496,58.78909566773171,false,58.78909566773171,1.3215707964883093e-06,0,65536,6291456,1,160,false,ok,exposed,0.7131398630008334,21,14,8,8,338,2052136960
"{""config.json"":""cells/overlap_s1_full_row/config.json"",""curves.png"":""cells/overlap_s1_full_row/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s1_full_row/error.png"",""field.npz"":""cells/overlap_s1_full_row/field.npz"",""history.json"":""cells/overlap_s1_full_row/history.json"",""initial_reconstruction.npy"":""cells/overlap_s1_full_row/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s1_full_row/input_field.npz"",""progress.jsonl"":""cells/overlap_s1_full_row/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s1_full_row/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s1_full_row/reconstruction.png"",""target.npy"":""cells/overlap_s1_full_row/target.npy"",""target.png"":""cells/overlap_s1_full_row/target.png""}",overlap_s1_full_row,1,5.960464477539063e-08,overlap,4,161,160,1,19.75027121966309,160,160,160,1.551905093322148e-08,full_row,1.0,16,29434368,115.51725343014418,false,115.51725343014418,2.807208414468708e-12,0,65536,6291456,1,160,false,ok,exposed,0.6477676169997721,21,14,8,8,188,2044915712
"{""config.json"":""cells/overlap_s1_full_shared/config.json"",""curves.png"":""cells/overlap_s1_full_shared/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s1_full_shared/error.png"",""field.npz"":""cells/overlap_s1_full_shared/field.npz"",""history.json"":""cells/overlap_s1_full_shared/history.json"",""initial_reconstruction.npy"":""cells/overlap_s1_full_shared/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s1_full_shared/input_field.npz"",""progress.jsonl"":""cells/overlap_s1_full_shared/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s1_full_shared/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s1_full_shared/reconstruction.png"",""target.npy"":""cells/overlap_s1_full_shared/target.npy"",""target.png"":""cells/overlap_s1_full_shared/target.png""}",overlap_s1_full_shared,1,5.960464477539063e-08,overlap,4,161,160,1,19.75027121966309,160,160,160,1.5737576575247658e-08,full_shared,1.0,16,29424128,117.19983566820615,false,117.19983566820615,1.905532819662723e-12,0,65536,6291456,1,160,false,ok,exposed,0.6123082310004975,21,14,8,8,188,2049302528
"{""config.json"":""cells/overlap_s1_adam_0p3/config.json"",""curves.png"":""cells/overlap_s1_adam_0p3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s1_adam_0p3/error.png"",""field.npz"":""cells/overlap_s1_adam_0p3/field.npz"",""history.json"":""cells/overlap_s1_adam_0p3/history.json"",""initial_reconstruction.npy"":""cells/overlap_s1_adam_0p3/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s1_adam_0p3/input_field.npz"",""progress.jsonl"":""cells/overlap_s1_adam_0p3/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s1_adam_0p3/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s1_adam_0p3/reconstruction.png"",""target.npy"":""cells/overlap_s1_adam_0p3/target.npy"",""target.png"":""cells/overlap_s1_adam_0p3/target.png""}",overlap_s1_adam_0p3,1,5.960464477539063e-08,overlap,4,161,160,1,19.75027121966309,160,0,0,0.002541506662964821,adam_0p3,0.9975122213363647,16,8994304,46.190903207341655,false,46.190903207341655,2.4038628138408552e-05,0,0,0,1,160,false,ok,exposed,0.3744450880003569,21,14,8,8,188,2051309568
"{""config.json"":""cells/overlap_s2_adam_3/config.json"",""curves.png"":""cells/overlap_s2_adam_3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s2_adam_3/error.png"",""field.npz"":""cells/overlap_s2_adam_3/field.npz"",""history.json"":""cells/overlap_s2_adam_3/history.json"",""initial_reconstruction.npy"":""cells/overlap_s2_adam_3/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s2_adam_3/input_field.npz"",""progress.jsonl"":""cells/overlap_s2_adam_3/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s2_adam_3/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s2_adam_3/reconstruction.png"",""target.npy"":""cells/overlap_s2_adam_3/target.npy"",""target.png"":""cells/overlap_s2_adam_3/target.png""}",overlap_s2_adam_3,1,5.960464477539063e-08,overlap,4,161,160,1,20.205582247067618,160,0,0,3.4646269341465086e-05,adam_3,0.9999404549598694,16,8994304,63.28236955663811,false,63.28236955663811,4.696377993373435e-07,0,0,0,2,160,false,ok,exposed,0.2932312169978104,21,14,8,8,188,2060251136
"{""config.json"":""cells/overlap_s2_block_row/config.json"",""curves.png"":""cells/overlap_s2_block_row/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s2_block_row/error.png"",""field.npz"":""cells/overlap_s2_block_row/field.npz"",""history.json"":""cells/overlap_s2_block_row/history.json"",""initial_reconstruction.npy"":""cells/overlap_s2_block_row/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s2_block_row/input_field.npz"",""progress.jsonl"":""cells/overlap_s2_block_row/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s2_block_row/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s2_block_row/reconstruction.png"",""target.npy"":""cells/overlap_s2_block_row/target.npy"",""target.png"":""cells/overlap_s2_block_row/target.png""}",overlap_s2_block_row,1,5.960464477539063e-08,overlap,4,313,160,1,20.205582247067618,160,160,160,0.00020448994473554194,block_row,0.9996663928031921,16,33942016,54.6795681545734,false,54.6795681545734,3.404420402413613e-06,0,65536,6291456,2,160,false,ok,exposed,0.7173569900005532,21,14,8,8,340,2047762432
"{""config.json"":""cells/overlap_s2_block_shared/config.json"",""curves.png"":""cells/overlap_s2_block_shared/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s2_block_shared/error.png"",""field.npz"":""cells/overlap_s2_block_shared/field.npz"",""history.json"":""cells/overlap_s2_block_shared/history.json"",""initial_reconstruction.npy"":""cells/overlap_s2_block_shared/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s2_block_shared/input_field.npz"",""progress.jsonl"":""cells/overlap_s2_block_shared/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s2_block_shared/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s2_block_shared/reconstruction.png"",""target.npy"":""cells/overlap_s2_block_shared/target.npy"",""target.png"":""cells/overlap_s2_block_shared/target.png""}",overlap_s2_block_shared,1,5.960464477539063e-08,overlap,4,312,160,1,20.205582247067618,160,160,160,0.00027779763331636786,block_shared,0.9995236992835999,16,33939456,53.59319722789357,false,53.59319722789357,4.372001247621329e-06,0,65536,6291456,2,160,false,ok,exposed,0.7281039629997395,21,14,8,8,339,2047594496
"{""config.json"":""cells/overlap_s2_full_row/config.json"",""curves.png"":""cells/overlap_s2_full_row/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s2_full_row/error.png"",""field.npz"":""cells/overlap_s2_full_row/field.npz"",""history.json"":""cells/overlap_s2_full_row/history.json"",""initial_reconstruction.npy"":""cells/overlap_s2_full_row/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s2_full_row/input_field.npz"",""progress.jsonl"":""cells/overlap_s2_full_row/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s2_full_row/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s2_full_row/reconstruction.png"",""target.npy"":""cells/overlap_s2_full_row/target.npy"",""target.png"":""cells/overlap_s2_full_row/target.png""}",overlap_s2_full_row,1,5.960464477539063e-08,overlap,4,161,160,1,20.205582247067618,160,160,160,1.2676274252498843e-08,full_row,1.0,16,29887488,120.0,true,123.48556360931192,4.4817088446946944e-13,0,65536,6291456,2,160,false,ok,exposed,0.6299968880011875,21,14,8,8,188,2060472320
"{""config.json"":""cells/overlap_s2_full_shared/config.json"",""curves.png"":""cells/overlap_s2_full_shared/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s2_full_shared/error.png"",""field.npz"":""cells/overlap_s2_full_shared/field.npz"",""history.json"":""cells/overlap_s2_full_shared/history.json"",""initial_reconstruction.npy"":""cells/overlap_s2_full_shared/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s2_full_shared/input_field.npz"",""progress.jsonl"":""cells/overlap_s2_full_shared/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s2_full_shared/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s2_full_shared/reconstruction.png"",""target.npy"":""cells/overlap_s2_full_shared/target.npy"",""target.png"":""cells/overlap_s2_full_shared/target.png""}",overlap_s2_full_shared,1,5.960464477539063e-08,overlap,4,161,160,1,20.205582247067618,160,160,160,7.303268212410785e-09,full_shared,1.0,16,29732352,120.0,true,123.37075331811542,4.601767453633662e-13,0,65536,6291456,2,160,false,ok,exposed,0.6242570760005037,21,14,8,8,188,2066542592
"{""config.json"":""cells/overlap_s2_adam_0p3/config.json"",""curves.png"":""cells/overlap_s2_adam_0p3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/overlap_s2_adam_0p3/error.png"",""field.npz"":""cells/overlap_s2_adam_0p3/field.npz"",""history.json"":""cells/overlap_s2_adam_0p3/history.json"",""initial_reconstruction.npy"":""cells/overlap_s2_adam_0p3/initial_reconstruction.npy"",""input_field.npz"":""cells/overlap_s2_adam_0p3/input_field.npz"",""progress.jsonl"":""cells/overlap_s2_adam_0p3/progress.jsonl"",""reconstruction.npy"":""cells/overlap_s2_adam_0p3/reconstruction.npy"",""reconstruction.png"":""cells/overlap_s2_adam_0p3/reconstruction.png"",""target.npy"":""cells/overlap_s2_adam_0p3/target.npy"",""target.png"":""cells/overlap_s2_adam_0p3/target.png""}",overlap_s2_adam_0p3,1,5.960464477539063e-08,overlap,4,161,160,1,20.205582247067618,160,0,0,0.0020870366133749485,adam_0p3,0.9955886006355286,16,8994304,44.12052478018782,false,44.12052478018782,3.872108534309964e-05,0,0,0,2,160,false,ok,exposed,0.36894545599716366,21,14,8,8,188,2079670272
