budget,strategy,n,mean_psnr,std_psnr,mean_ms_ssim,mean_ssim,mean_init_s,mean_fit_s,mean_total_s,target_reached,mean_iters_to_target
2000,aniso_onedge,8,26.98615,3.395727754105149,0.90834125,0.75705,0.42844080924987793,24.588751882314682,25.01719269156456,0,
2000,aniso_flanking,8,26.74365,3.506667898090721,0.9053725,0.75463,0.4247303009033203,23.78445142507553,24.20918172597885,0,
2000,quadtree_wse,8,26.5580125,3.422874832081032,0.9041399999999999,0.7542375,0.9748515188694,23.019739747047424,23.994591265916824,0,
2000,quadtree_hybrid,8,26.5335,3.474948683793762,0.90448125,0.7538475,0.39184004068374634,23.62285977602005,24.014699816703796,0,
2000,quadtree_aggregate,8,26.4738,3.3380019708652062,0.90169875,0.75120125,0.11899444460868835,23.755716115236282,23.87471055984497,0,
2000,iso_blue_noise,8,26.2164125,3.282453954146768,0.8994725,0.746245,0.31462275981903076,23.394238114356995,23.708860874176025,0,
2000,density_random,8,26.131887499999998,3.3128711940843325,0.8961399999999999,0.74292375,0.0387575626373291,23.164445996284485,23.203203558921814,0,
2000,random_relocate,8,24.8823875,3.1681660619503127,0.89194375,0.730795,0.0013076066970825195,24.52827614545822,24.529583752155304,0,
2000,grid,8,24.8297125,2.962072327964621,0.8968462500000001,0.73610875,0.0016816258430480957,22.701578587293625,22.703260213136673,0,
2000,random,8,24.3466875,2.9252029675039215,0.8878775,0.72862375,0.0028922855854034424,24.44283178448677,24.445724070072174,0,
2000,floyd_steinberg,8,24.3337125,4.013453413345388,0.88064875,0.73155625,0.5131080150604248,22.387754410505295,22.90086242556572,0,
5000,quadtree_wse,8,30.2148,3.9441061984941537,0.95159,0.83645875,2.095303177833557,25.228919088840485,27.32422226667404,1,328
5000,quadtree_hybrid,8,30.209725,4.077703164696395,0.952055,0.83835375,1.0715692639350891,26.511241286993027,27.582810550928116,1,325
5000,aniso_onedge,8,30.1033625,3.9817864602265836,0.95101875,0.83565375,1.2842881977558136,27.839169204235077,29.12345740199089,1,342
5000,quadtree_aggregate,8,30.054325000000002,3.973791078979241,0.95066625,0.83679125,0.19900542497634888,26.498635292053223,26.69764071702957,1,538
5000,aniso_flanking,8,30.047024999999998,4.047941836523223,0.9499175,0.8347575,1.463186800479889,27.238723695278168,28.701910495758057,1,383
5000,iso_blue_noise,8,29.98915,3.937986974965762,0.949495,0.83039375,0.8813689053058624,26.081754446029663,26.963123351335526,1,490
5000,density_random,8,29.5744625,3.8247588181928225,0.94616875,0.82736625,0.0442526638507843,25.651589155197144,25.695841819047928,0,
5000,floyd_steinberg,8,28.901875,3.969296870275011,0.94578625,0.8302325,0.514348030090332,24.447222739458084,24.961570769548416,1,419
5000,grid,8,28.2564,3.2539668613862682,0.951075,0.8306125,0.0020618438720703125,24.374202400445938,24.37626424431801,0,
5000,random_relocate,8,28.029125,3.4110956893460194,0.94692375,0.82595625,0.002370208501815796,26.630275517702103,26.63264572620392,0,
5000,random,8,27.5772,3.070601391421557,0.94624375,0.8254325,0.00280877947807312,26.128861755132675,26.13167053461075,0,
