image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,iters_to_target,n_gaussians,init_seconds,fit_seconds
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,density_random,iso_blue_noise,density_random,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,25.3711,0.75777,0.92436,,,5000,0.04592466354370117,24.584418296813965
kodim01,results/datasets/abl004/kodak24/kodim01.png,512,768,768,random_relocate,random,wse,relocate,750,64,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,25.3095,0.7665,0.93128,,,5000,0.0022199153900146484,24.714279890060425
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,random,random,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.8416,0.79249,0.92271,,,2000,0.0016696453094482422,24.52108883857727
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,grid,grid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,28.3837,0.79726,0.92778,,,2000,0.0011646747589111328,21.03928017616272
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,29.9287,0.80547,0.93171,,,2000,0.2805905342102051,22.98100209236145
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.3244,0.81107,0.936,,,2000,0.4002363681793213,24.67697238922119
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,30.2195,0.80854,0.93376,,,2000,0.4251244068145752,23.784447193145752
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,quadtree_aggregate,quadtree_aggregate,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,29.8529,0.80335,0.92889,,,2000,0.15392804145812988,23.115288734436035
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.1937,0.80819,0.93373,,,2000,0.42414283752441406,24.005264282226562
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.0335,0.80773,0.93331,,,2000,0.9570040702819824,22.17588448524475
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,29.6814,0.8019,0.93311,,,2000,0.536210298538208,21.847026348114014
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,density_random,iso_blue_noise,density_random,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,29.8487,0.8036,0.92971,,,2000,0.04326319694519043,22.751389980316162
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,random_relocate,random,wse,relocate,750,64,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,28.7775,0.79432,0.92582,,,2000,0.0016856193542480469,24.412357568740845
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,random,random,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.267,0.86161,0.96093,,,5000,0.003058195114135742,27.160072088241577
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,grid,grid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,31.4245,0.86419,0.96353,,,5000,0.0018837451934814453,24.64160466194153
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,32.6258,0.86476,0.96482,,,5000,0.9212155342102051,27.188562631607056
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,32.5964,0.8679,0.96502,,,5000,1.3192319869995117,27.90593671798706
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,32.488,0.86727,0.96387,,,5000,1.3660178184509277,27.831713676452637
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,quadtree_aggregate,quadtree_aggregate,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,32.5199,0.86888,0.96498,,,5000,0.1891777515411377,26.391613006591797
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,32.6406,0.87097,0.96642,,,5000,1.1637799739837646,26.60009479522705
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,32.5198,0.86701,0.96404,,,5000,2.2510316371917725,25.78173303604126
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,32.5654,0.86564,0.96452,,,5000,0.5276873111724854,24.052340269088745
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,density_random,iso_blue_noise,density_random,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,32.3988,0.8616,0.96246,,,5000,0.04441690444946289,26.023712873458862
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,random_relocate,random,wse,relocate,750,64,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,31.5193,0.86217,0.96215,,,5000,0.003271341323852539,27.273943424224854
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,random,random,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,22.4138,0.83241,0.90248,,,2000,0.0012621879577636719,23.19819974899292
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,grid,grid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,24.3171,0.85289,0.93093,,,2000,0.0014622211456298828,21.85044026374817
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,25.5587,0.86994,0.93882,,,2000,0.3409709930419922,22.614683628082275
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,25.8728,0.87359,0.94226,,,2000,0.4487180709838867,22.341765880584717
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,24.9979,0.87057,0.93673,,,2000,0.4269084930419922,21.04349422454834
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,quadtree_aggregate,quadtree_aggregate,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,25.6441,0.87252,0.93619,,,2000,0.1079561710357666,21.361236333847046
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,25.4461,0.87539,0.9428,,,2000,0.37244582176208496,21.97683024406433
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,24.3018,0.87003,0.93099,,,2000,1.0668268203735352,21.36831283569336
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,17.2444,0.78244,0.82912,,,2000,0.5170745849609375,19.768547534942627
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,density_random,iso_blue_noise,density_random,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,24.6943,0.86502,0.93077,,,2000,0.03745293617248535,22.454447984695435
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,random_relocate,random,wse,relocate,750,64,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,23.0456,0.84054,0.91377,,,2000,0.0009102821350097656,23.35042715072632
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,random,random,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,27.6907,0.91817,0.9705,,,5000,0.0033156871795654297,25.04170274734497
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,grid,grid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,29.0873,0.92749,0.97736,,,5000,0.001722574234008789,22.382068872451782
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,32.3074,0.94032,0.98428,,,5000,0.8705360889434814,24.118393659591675
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,32.7986,0.94283,0.9852,,,5000,1.334198236465454,24.381653308868408
