artifacts,cell_id,cold_render_max_abs,family,forward_evaluations,gradient_evaluations,initial_psnr,iterations_run,lpips,method,ms_ssim,n_gaussians,peak_allocated_bytes,psnr,raw_mse,rejected_updates,seed,selected_iteration,smoke,status,total_seconds,worker_peak_rss_bytes
"{""config.json"":""cells/anisotropic_s0_block/config.json"",""curves.png"":""cells/anisotropic_s0_block/curves.png"",""decision"":""decision.json"",""error.png"":""cells/anisotropic_s0_block/error.png"",""field.npz"":""cells/anisotropic_s0_block/field.npz"",""history.json"":""cells/anisotropic_s0_block/history.json"",""input_field.npz"":""cells/anisotropic_s0_block/input_field.npz"",""progress.jsonl"":""cells/anisotropic_s0_block/progress.jsonl"",""reconstruction.npy"":""cells/anisotropic_s0_block/reconstruction.npy"",""reconstruction.png"":""cells/anisotropic_s0_block/reconstruction.png"",""target.npy"":""cells/anisotropic_s0_block/target.npy"",""target.png"":""cells/anisotropic_s0_block/target.png""}",anisotropic_s0_block,0.0,anisotropic,161,160,26.780976698561325,160,2.579704672101002e-09,block,1.0,16,12796928,120.0,1.7927731943660877e-14,0,0,160,false,ok,1.6158900980008184,1995722752
"{""config.json"":""cells/anisotropic_s1_adam_1/config.json"",""curves.png"":""cells/anisotropic_s1_adam_1/curves.png"",""decision"":""decision.json"",""error.png"":""cells/anisotropic_s1_adam_1/error.png"",""field.npz"":""cells/anisotropic_s1_adam_1/field.npz"",""history.json"":""cells/anisotropic_s1_adam_1/history.json"",""input_field.npz"":""cells/anisotropic_s1_adam_1/input_field.npz"",""progress.jsonl"":""cells/anisotropic_s1_adam_1/progress.jsonl"",""reconstruction.npy"":""cells/anisotropic_s1_adam_1/reconstruction.npy"",""reconstruction.png"":""cells/anisotropic_s1_adam_1/reconstruction.png"",""target.npy"":""cells/anisotropic_s1_adam_1/target.npy"",""target.png"":""cells/anisotropic_s1_adam_1/target.png""}",anisotropic_s1_adam_1,0.0,anisotropic,161,160,27.52040508281283,160,4.310032153398424e-08,adam_1,1.0,16,8945152,103.673784038674,4.291623316242743e-11,0,1,160,false,ok,0.6285887260019081,1992613888
"{""config.json"":""cells/anisotropic_s1_adam_3/config.json"",""curves.png"":""cells/anisotropic_s1_adam_3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/anisotropic_s1_adam_3/error.png"",""field.npz"":""cells/anisotropic_s1_adam_3/field.npz"",""history.json"":""cells/anisotropic_s1_adam_3/history.json"",""input_field.npz"":""cells/anisotropic_s1_adam_3/input_field.npz"",""progress.jsonl"":""cells/anisotropic_s1_adam_3/progress.jsonl"",""reconstruction.npy"":""cells/anisotropic_s1_adam_3/reconstruction.npy"",""reconstruction.png"":""cells/anisotropic_s1_adam_3/reconstruction.png"",""target.npy"":""cells/anisotropic_s1_adam_3/target.npy"",""target.png"":""cells/anisotropic_s1_adam_3/target.png""}",anisotropic_s1_adam_3,0.0,anisotropic,161,160,27.52040508281283,160,6.735268698321306e-08,adam_3,1.0,16,8945152,103.80407008745112,4.1647888805358116e-11,0,1,160,false,ok,0.6681694219987548,1994547200
"{""config.json"":""cells/anisotropic_s1_diagonal/config.json"",""curves.png"":""cells/anisotropic_s1_diagonal/curves.png"",""decision"":""decision.json"",""error.png"":""cells/anisotropic_s1_diagonal/error.png"",""field.npz"":""cells/anisotropic_s1_diagonal/field.npz"",""history.json"":""cells/anisotropic_s1_diagonal/history.json"",""input_field.npz"":""cells/anisotropic_s1_diagonal/input_field.npz"",""progress.jsonl"":""cells/anisotropic_s1_diagonal/progress.jsonl"",""reconstruction.npy"":""cells/anisotropic_s1_diagonal/reconstruction.npy"",""reconstruction.png"":""cells/anisotropic_s1_diagonal/reconstruction.png"",""target.npy"":""cells/anisotropic_s1_diagonal/target.npy"",""target.png"":""cells/anisotropic_s1_diagonal/target.png""}",anisotropic_s1_diagonal,0.0,anisotropic,306,160,27.52040508281283,160,4.093855476838826e-09,diagonal,1.0,16,12817408,120.0,1.8840188462922035e-15,0,1,160,false,ok,1.6950579219992505,1996861440
"{""config.json"":""cells/anisotropic_s1_block/config.json"",""curves.png"":""cells/anisotropic_s1_block/curves.png"",""decision"":""decision.json"",""error.png"":""cells/anisotropic_s1_block/error.png"",""field.npz"":""cells/anisotropic_s1_block/field.npz"",""history.json"":""cells/anisotropic_s1_block/history.json"",""input_field.npz"":""cells/anisotropic_s1_block/input_field.npz"",""progress.jsonl"":""cells/anisotropic_s1_block/progress.jsonl"",""reconstruction.npy"":""cells/anisotropic_s1_block/reconstruction.npy"",""reconstruction.png"":""cells/anisotropic_s1_block/reconstruction.png"",""target.npy"":""cells/anisotropic_s1_block/target.npy"",""target.png"":""cells/anisotropic_s1_block/target.png""}",anisotropic_s1_block,1.862645149230957e-09,anisotropic,516,160,27.52040508281283,160,3.4720111230512885e-09,block,1.0,16,12809216,120.0,8.146009144668136e-17,58,1,160,false,ok,1.916720974000782,2007744512
"{""config.json"":""cells/anisotropic_s1_adam_0p3/config.json"",""curves.png"":""cells/anisotropic_s1_adam_0p3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/anisotropic_s1_adam_0p3/error.png"",""field.npz"":""cells/anisotropic_s1_adam_0p3/field.npz"",""history.json"":""cells/anisotropic_s1_adam_0p3/history.json"",""input_field.npz"":""cells/anisotropic_s1_adam_0p3/input_field.npz"",""progress.jsonl"":""cells/anisotropic_s1_adam_0p3/progress.jsonl"",""reconstruction.npy"":""cells/anisotropic_s1_adam_0p3/reconstruction.npy"",""reconstruction.png"":""cells/anisotropic_s1_adam_0p3/reconstruction.png"",""target.npy"":""cells/anisotropic_s1_adam_0p3/target.npy"",""target.png"":""cells/anisotropic_s1_adam_0p3/target.png""}",anisotropic_s1_adam_0p3,0.0,anisotropic,161,160,27.52040508281283,160,1.7523705082567176e-06,adam_0p3,0.9999922513961792,16,8945152,73.23092621216286,4.752338628487504e-08,0,1,160,false,ok,0.6369754020015534,1999253504
"{""config.json"":""cells/anisotropic_s2_adam_3/config.json"",""curves.png"":""cells/anisotropic_s2_adam_3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/anisotropic_s2_adam_3/error.png"",""field.npz"":""cells/anisotropic_s2_adam_3/field.npz"",""history.json"":""cells/anisotropic_s2_adam_3/history.json"",""input_field.npz"":""cells/anisotropic_s2_adam_3/input_field.npz"",""progress.jsonl"":""cells/anisotropic_s2_adam_3/progress.jsonl"",""reconstruction.npy"":""cells/anisotropic_s2_adam_3/reconstruction.npy"",""reconstruction.png"":""cells/anisotropic_s2_adam_3/reconstruction.png"",""target.npy"":""cells/anisotropic_s2_adam_3/target.npy"",""target.png"":""cells/anisotropic_s2_adam_3/target.png""}",anisotropic_s2_adam_3,0.0,anisotropic,161,160,27.683765521064807,160,4.965420430380618e-08,adam_3,1.0,16,8945152,101.9086736941569,6.443660204748627e-11,0,2,160,false,ok,0.6315217230003327,2017796096
"{""config.json"":""cells/anisotropic_s2_diagonal/config.json"",""curves.png"":""cells/anisotropic_s2_diagonal/curves.png"",""decision"":""decision.json"",""error.png"":""cells/anisotropic_s2_diagonal/error.png"",""field.npz"":""cells/anisotropic_s2_diagonal/field.npz"",""history.json"":""cells/anisotropic_s2_diagonal/history.json"",""input_field.npz"":""cells/anisotropic_s2_diagonal/input_field.npz"",""progress.jsonl"":""cells/anisotropic_s2_diagonal/progress.jsonl"",""reconstruction.npy"":""cells/anisotropic_s2_diagonal/reconstruction.npy"",""reconstruction.png"":""cells/anisotropic_s2_diagonal/reconstruction.png"",""target.npy"":""cells/anisotropic_s2_diagonal/target.npy"",""target.png"":""cells/anisotropic_s2_diagonal/target.png""}",anisotropic_s2_diagonal,0.0,anisotropic,195,160,27.683765521064807,160,1.991111275856383e-09,diagonal,1.0,16,13078016,120.0,4.6762837013071e-15,0,2,160,false,ok,1.588481494000007,1997070336
"{""config.json"":""cells/anisotropic_s2_block/config.json"",""curves.png"":""cells/anisotropic_s2_block/curves.png"",""decision"":""decision.json"",""error.png"":""cells/anisotropic_s2_block/error.png"",""field.npz"":""cells/anisotropic_s2_block/field.npz"",""history.json"":""cells/anisotropic_s2_block/history.json"",""input_field.npz"":""cells/anisotropic_s2_block/input_field.npz"",""progress.jsonl"":""cells/anisotropic_s2_block/progress.jsonl"",""reconstruction.npy"":""cells/anisotropic_s2_block/reconstruction.npy"",""reconstruction.png"":""cells/anisotropic_s2_block/reconstruction.png"",""target.npy"":""cells/anisotropic_s2_block/target.npy"",""target.png"":""cells/anisotropic_s2_block/target.png""}",anisotropic_s2_block,0.0,anisotropic,210,160,27.683765521064807,160,0.0,block,1.0,16,13078016,120.0,2.6115411540326724e-16,0,2,160,false,ok,1.6266507159998582,1994190848
"{""config.json"":""cells/anisotropic_s2_adam_0p3/config.json"",""curves.png"":""cells/anisotropic_s2_adam_0p3/curves.png"",""decision"":""decision.json"",""error.png"":""cells/anisotropic_s2_adam_0p3/error.png"",""field.npz"":""cells/anisotropic_s2_adam_0p3/field.npz"",""history.json"":""cells/anisotropic_s2_adam_0p3/history.json"",""input_field.npz"":""cells/anisotropic_s2_adam_0p3/input_field.npz"",""progress.jsonl"":""cells/anisotropic_s2_adam_0p3/progress.jsonl"",""reconstruction.npy"":""cells/anisotropic_s2_adam_0p3/reconstruction.npy"",""reconstruction.png"":""cells/anisotropic_s2_adam_0p3/reconstruction.png"",""target.npy"":""cells/anisotropic_s2_adam_0p3/target.npy"",""target.png"":""cells/anisotropic_s2_adam_0p3/target.png""}",anisotropic_s2_adam_0p3,0.0,anisotropic,161,160,27.683765521064807,160,1.229984172823606e-05,adam_0p3,0.9999831318855286,16,8945152,68.66198905317171,1.3608212884447684e-07,0,2,160,false,ok,0.6369298509998771,1997848576
