seed,prefix_count,order,normalized_min_spacing,inverse_normalized_coverage_hole
0,16,candidate_index,0.2393592186998268,0.7300092118889354
0,16,progressive,0.8420279398858289,1.0057774563062776
0,32,candidate_index,0.2756261465949987,0.5161944640553134
0,32,progressive,0.7821047298795291,0.8977606614585771
0,64,candidate_index,0.36727690416258385,0.3840169265441228
0,64,progressive,0.7567134923500344,1.003971278883543
0,128,candidate_index,0.5126200843792568,0.7555623929263722
0,128,progressive,0.7177531810864762,1.0618695138759298
1,16,candidate_index,0.22192719713774953,0.7496303703790724
1,16,progressive,0.9095130613065943,0.8492124913162081
1,32,candidate_index,0.29845947697572545,0.5300687182784254
1,32,progressive,0.7674119158689504,0.7774360965497871
1,64,candidate_index,0.36695608548400027,0.5289770651487959
1,64,progressive,0.7812498799262018,0.9818055545386982
1,128,candidate_index,0.5189542728868141,0.6186414744466011
1,128,progressive,0.7136756126543459,0.9859739975089544
2,16,candidate_index,0.18749878657574257,0.8033724108222892
2,16,progressive,0.8381414057494306,0.9941207859960252
2,32,candidate_index,0.2651633269039136,0.6263171344104471
2,32,progressive,0.8412103120867075,1.0230602988899988
2,64,candidate_index,0.37499757315148513,0.5346622891437238
2,64,progressive,0.7601938182764814,1.0183799420685944
2,128,candidate_index,0.508989161366756,0.7324737761816451
2,128,progressive,0.7282863306956089,0.9333108601957764
3,16,candidate_index,0.19568859166634994,0.578421617640527
3,16,progressive,0.8830267961459153,0.8746569340685229
3,32,candidate_index,0.27674546033624275,0.409005848218509
3,32,progressive,0.7722479225384202,0.9559041140616806
3,64,candidate_index,0.3791372978394543,0.5328005913621211
3,64,progressive,0.7463398930767499,1.0304497887393862
3,128,candidate_index,0.5146105649097573,0.8363999215292829
3,128,progressive,0.710260161662035,1.0209685784787175
4,16,candidate_index,0.2850303234991677,0.5804057059551758
4,16,progressive,0.8725850862147014,0.9604835119060866
4,32,candidate_index,0.25766433599886307,0.4270906814805508
4,32,progressive,0.8013459540350478,1.0141820694474422
4,64,candidate_index,0.36439239850945027,0.7524608492717566
4,64,progressive,0.773196281456439,0.998480432446432
4,128,candidate_index,0.5120737343810526,0.6058461325058718
4,128,progressive,0.7424795283672752,0.9856362619705071
5,16,candidate_index,0.1942221516094284,0.6683640990740822
5,16,progressive,0.858739044281116,0.9688226093134448
5,32,candidate_index,0.2746716009193371,0.7663126202758045
5,32,progressive,0.7743602568324596,1.1095820536699847
5,64,candidate_index,0.35824443352317686,0.6890898933586439
5,64,progressive,0.7518964750672911,1.0277243408628145
5,128,candidate_index,0.5058017684150221,0.5475021930151364
5,128,progressive,0.7346516265541243,1.0910397988588136
6,16,candidate_index,0.23712535257713965,0.5855025391270856
6,16,progressive,0.9255933882876236,0.8937560370534683
6,32,candidate_index,0.24972137908598518,0.5092389224980619
6,32,progressive,0.7687242810125671,1.0556394257711095
6,64,candidate_index,0.3513365807648534,0.6714796547021475
6,64,progressive,0.7353325736821889,0.9454402875395366
6,128,candidate_index,0.49483725207024365,0.705285341646423
6,128,progressive,0.7162443397239108,1.0039091752091405
7,16,candidate_index,0.20949992306549356,0.5774867223580302
7,16,progressive,0.9202039514370671,0.9427565397835521
7,32,candidate_index,0.296277632515341,0.5024907744566381
7,32,progressive,0.7994563015239621,0.9741200173543609
7,64,candidate_index,0.3626737315510813,0.6597397902364225
7,64,progressive,0.7466322698823205,1.0088706758783783
7,128,candidate_index,0.5128981098759983,0.7290917741191704
7,128,progressive,0.7400606614921406,1.0162827078386718
