frame,view_id,disposition,target_reached,stage_protected_safe,original_base_protected_safe,outside_exact_zero,error_prefix_exact,error_only_added_rows,pursuit_only_added_rows,sequential_pursuit_added_rows,combined_tail_added_rows,adjusted_highpass_target,adjusted_laplacian_target,combined_highpass_reduction,combined_laplacian_reduction,incremental_highpass_reduction,incremental_laplacian_reduction,error_only_foreground_psnr_gain_db,combined_foreground_psnr_gain_db,combined_minus_error_foreground_psnr_db,foreground_gain_retention_fraction,seconds_new_stage,termination_reason
frame_00008,C0004,pursuit_executed,True,True,True,True,True,5632,384,384,6016,0.18537936435607716,0.10080860600414965,0.28180041123717947,0.30074729886080775,0.21991972597710285,0.2140474861341075,3.566915693282347,3.648500063234774,0.08158436995242724,1.0228725254443432,5.276600716635585,targets_reached
frame_00008,C0005,pursuit_executed,True,True,True,True,True,6144,640,640,6784,0.2177954288803985,0.14627870393184084,0.2607453245105086,0.27401061438871277,0.2290021514807763,0.22525925098025668,4.859645962537826,4.957234609383928,0.09758864684610202,1.020081431363189,6.571965182200074,targets_reached
frame_00008,C0006,pursuit_executed,True,True,True,True,True,6144,640,512,6656,0.21384388172259405,0.120241474455823,0.2549456588784579,0.28570240439827177,0.2190279617042109,0.21448825061709098,3.0408895555277446,3.1183841757640174,0.07749462023627274,1.0254841942863075,6.638441090472043,targets_reached
frame_00008,C0008,pursuit_executed,True,True,True,True,True,6144,512,512,6656,0.1825081237997308,0.09776856637540421,0.2643800076312912,0.2941388224766226,0.1981821763574354,0.20393732232892248,4.636129597005979,4.729413369582549,0.09328377257656939,1.0201210450710463,6.342903379350901,targets_reached
frame_00008,C0009,pursuit_executed,True,True,True,True,True,6144,256,128,6272,0.07570325952752821,0.0,0.29280596040199103,0.3098855629665138,0.12845713909066692,0.12562564497873685,3.8185062211870218,3.8655442176686137,0.047037996481591904,1.01231842866213,5.043130201287568,targets_reached
frame_00008,C0012,pursuit_executed,True,True,True,True,True,5632,512,384,6016,0.18807526662712082,0.11272769270939365,0.2637740004878846,0.27285781042995605,0.20298653552525892,0.1935335896648045,3.30474653517485,3.3510824710189624,0.04633593584411244,1.0140210256220636,5.931705174036324,targets_reached
frame_00008,C0014,pursuit_executed,True,True,True,True,True,5120,896,768,5888,0.19059651526013932,0.10989038507947413,0.2571250851273509,0.28268256101572076,0.19828594023500057,0.20188606326240677,5.5639853167445565,5.641743954024534,0.07775863727997745,1.0139753491163908,6.81602325104177,targets_reached
frame_00008,C0018,pursuit_executed,True,True,True,True,True,5120,1536,1408,6528,0.218461291431846,0.17636048371775903,0.2535679076468791,0.24055619677888518,0.22217923534468909,0.21811509158926956,4.73656261335109,4.803333469624899,0.06677085627380919,1.014096901429235,8.297150942496955,targets_reached
frame_00008,C0019,already_satisfied,True,False,True,True,True,9728,384,0,9728,0.0,0.0,0.2729729105319556,0.29153493515636586,0.0,0.0,5.476830302833122,5.476830302833122,0.0,1.0,0.0,already_satisfied_cumulative_target
frame_00008,C0020,pursuit_executed,True,True,True,True,True,6144,384,256,6400,0.1399929153330225,0.05501378956481473,0.2935089426464006,0.2843428116175989,0.1898835805627207,0.15464228197476915,3.9749938341893802,4.031245492459014,0.056251658269633964,1.0141513825218562,5.46395964268595,targets_reached
frame_00008,C0021,pursuit_executed,True,True,True,True,False,5872,512,128,6000,0.06025827174225595,0.0,0.32017775214817235,0.3695666984667816,0.1481902211942121,0.13438769562835196,2.513367403321851,2.5382287571729343,0.024861353851083123,1.009891651263649,12.995525184087455,targets_reached
frame_00008,C0022,already_satisfied,True,False,True,True,True,5632,384,0,5632,0.0,0.0,0.33828249734846916,0.3330003787508833,-1.719023687840604e-07,-8.593262323941531e-08,2.7879786342609805,2.7879786342609805,0.0,1.0,0.0,already_satisfied_cumulative_target
frame_00008,C0025,pursuit_executed,True,True,True,True,True,6144,384,256,6400,0.1400914174476956,0.09096310154504295,0.2820644045316968,0.2796521342114203,0.17685469298267564,0.18147151284362728,3.8079590645289585,3.8801060365119753,0.07214697198301678,1.0189463622797483,6.49125677254051,targets_reached
frame_00008,C0026,pursuit_executed,True,True,True,True,True,7168,640,640,7808,0.21253764337362802,0.13901721798231792,0.2644452243981926,0.2824577708992857,0.22770440396909142,0.22776061921712265,3.9552014826029946,4.0592421441546165,0.10404066155162184,1.026304769051399,7.6786048123613,targets_reached
frame_00008,C0028,pursuit_executed,True,True,True,True,True,5632,640,512,6144,0.23312509059181652,0.14696926674668065,0.2599947112385177,0.2947269868358694,0.2433446816259488,0.24797555554602957,2.401590587363401,2.4857984717454755,0.08420788438207438,1.035063380421774,5.707622439600527,targets_reached
frame_00008,C0029,pursuit_executed,True,True,True,True,True,6144,384,256,6400,0.1814965946729814,0.1187108405198487,0.2553338197318872,0.25895791924144806,0.18731759415824822,0.1836595593860918,2.698711191767586,2.7509037529636196,0.05219256119603344,1.0193398098156063,5.789211460389197,targets_reached
frame_00008,C0030,pursuit_executed,True,True,True,True,True,6144,256,128,6272,0.02279990368510687,0.0010785213508549552,0.3282280331330193,0.27954982018583885,0.12472582570125501,0.10040855135874471,3.463315401007005,3.526430506273716,0.06311510526671071,1.0182238976122011,6.180703047662973,targets_reached
frame_00008,C0031,already_satisfied,True,False,True,True,True,3683,512,0,3683,0.0,0.0,0.27993675596483414,0.34007360905728856,0.0,0.0,3.809525656251637,3.809525656251637,0.0,1.0,0.0,already_satisfied_cumulative_target
frame_00008,C0034,pursuit_executed,True,True,True,True,True,4096,256,256,4352,0.18257818194719833,0.11247390011101588,0.2763681877806492,0.2937998971815653,0.2113167579397529,0.2165362212554438,2.1922859569918565,2.2434093317258252,0.051123374733968774,1.0233196652886094,5.394599741324782,targets_reached
