adjoint_relative_error,artifacts,backend,baseline_allocated_bytes,baseline_reserved_bytes,cache_build_seconds,cache_bytes,cache_nnz,cell_id,cold_render_max_abs,family,forward_calls,iterations_run,lpips,maintained_parity_max_abs,ms_ssim,n_gaussians,peak_allocated_bytes,peak_reserved_bytes,psnr,raw_sse,repeat,seed,selected_iteration,selected_violation,status,total_seconds,transpose_calls,worker_peak_rss_bytes
7.014721632003784e-06,"{""config.json"":""cells/smooth_s0_r3_csr/config.json"",""curves.png"":""cells/smooth_s0_r3_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r3_csr/error.png"",""field.npz"":""cells/smooth_s0_r3_csr/field.npz"",""history.json"":""cells/smooth_s0_r3_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r3_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r3_csr/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r3_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r3_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r3_csr/target.npy"",""target.png"":""cells/smooth_s0_r3_csr/target.png""}",csr,0,33554432,0.0036345980006444734,3282744,131271,smooth_s0_r3_csr,1.7881393432617188e-07,smooth,99,48,0.08872514218091965,2.384185791015625e-07,0.9241206049919128,144,18533888,33554432,26.23141660500579,117.05757786214755,3,0,42,14.278764718147066,ok,0.2370146899993415,51,1317498880
1.4528632164001465e-07,"{""config.json"":""cells/smooth_s0_r3_off/config.json"",""curves.png"":""cells/smooth_s0_r3_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r3_off/error.png"",""field.npz"":""cells/smooth_s0_r3_off/field.npz"",""history.json"":""cells/smooth_s0_r3_off/history.json"",""input_field.npz"":""cells/smooth_s0_r3_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r3_off/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r3_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r3_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r3_off/target.npy"",""target.png"":""cells/smooth_s0_r3_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r3_off,1.7881393432617188e-07,smooth,99,48,0.08872810751199722,2.980232238769531e-07,0.9241205453872681,144,14045696,33554432,26.231416608612626,117.0575777649307,3,0,43,14.278764718147066,ok,0.8154907239986642,51,1320378368
6.895512342453003e-06,"{""config.json"":""cells/smooth_s0_r4_csr/config.json"",""curves.png"":""cells/smooth_s0_r4_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r4_csr/error.png"",""field.npz"":""cells/smooth_s0_r4_csr/field.npz"",""history.json"":""cells/smooth_s0_r4_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r4_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r4_csr/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r4_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r4_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r4_csr/target.npy"",""target.png"":""cells/smooth_s0_r4_csr/target.png""}",csr,0,33554432,0.006820210001023952,3282744,131271,smooth_s0_r4_csr,1.1920928955078125e-07,smooth,99,48,0.08873029053211212,2.384185791015625e-07,0.9241204857826233,144,18533888,33554432,26.231416596383518,117.05757809454795,4,0,43,14.278764718147066,ok,0.2984425499998906,51,1328574464
3.546476364135742e-06,"{""config.json"":""cells/smooth_s0_r4_off/config.json"",""curves.png"":""cells/smooth_s0_r4_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r4_off/error.png"",""field.npz"":""cells/smooth_s0_r4_off/field.npz"",""history.json"":""cells/smooth_s0_r4_off/history.json"",""input_field.npz"":""cells/smooth_s0_r4_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r4_off/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r4_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r4_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r4_off/target.npy"",""target.png"":""cells/smooth_s0_r4_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r4_off,1.1920928955078125e-07,smooth,99,48,0.08872655779123306,2.384185791015625e-07,0.9241206645965576,144,14045696,33554432,26.23141662637718,117.05757728611364,4,0,48,14.278764718147066,ok,0.4384304989980592,51,1302241280
2.603977918624878e-06,"{""config.json"":""cells/smooth_s0_r4_scatter/config.json"",""curves.png"":""cells/smooth_s0_r4_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r4_scatter/error.png"",""field.npz"":""cells/smooth_s0_r4_scatter/field.npz"",""history.json"":""cells/smooth_s0_r4_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r4_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r4_scatter/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r4_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r4_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r4_scatter/target.npy"",""target.png"":""cells/smooth_s0_r4_scatter/target.png""}",scatter,0,33554432,0.0019671740010380745,2625420,131271,smooth_s0_r4_scatter,1.7881393432617188e-07,smooth,99,48,0.08873344957828522,2.384185791015625e-07,0.9241207838058472,144,12248064,33554432,26.231416618388586,117.05757750143422,4,0,46,14.278764718147066,ok,0.2333514700003434,51,1307062272
7.309019565582275e-06,"{""config.json"":""cells/smooth_s0_r5_csr/config.json"",""curves.png"":""cells/smooth_s0_r5_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r5_csr/error.png"",""field.npz"":""cells/smooth_s0_r5_csr/field.npz"",""history.json"":""cells/smooth_s0_r5_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r5_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r5_csr/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r5_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r5_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r5_csr/target.npy"",""target.png"":""cells/smooth_s0_r5_csr/target.png""}",csr,0,33554432,0.0036618520025513135,3282744,131271,smooth_s0_r5_csr,1.1920928955078125e-07,smooth,99,48,0.08872920274734497,2.384185791015625e-07,0.9241204857826233,144,18533888,33554432,26.23141660699828,117.05757780844293,5,0,41,14.278764718147066,ok,0.244541948002734,51,1333653504
2.652406692504883e-06,"{""config.json"":""cells/smooth_s0_r5_scatter/config.json"",""curves.png"":""cells/smooth_s0_r5_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r5_scatter/error.png"",""field.npz"":""cells/smooth_s0_r5_scatter/field.npz"",""history.json"":""cells/smooth_s0_r5_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r5_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r5_scatter/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r5_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r5_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r5_scatter/target.npy"",""target.png"":""cells/smooth_s0_r5_scatter/target.png""}",scatter,0,33554432,0.0017888640031742398,2625420,131271,smooth_s0_r5_scatter,1.7881393432617188e-07,smooth,99,48,0.08873522281646729,2.384185791015625e-07,0.9241206049919128,144,12248064,33554432,26.231416607630777,117.057577791395,5,0,47,14.278764718147066,ok,0.22162296500027878,51,1333473280
3.721565008163452e-06,"{""config.json"":""cells/smooth_s0_r5_off/config.json"",""curves.png"":""cells/smooth_s0_r5_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r5_off/error.png"",""field.npz"":""cells/smooth_s0_r5_off/field.npz"",""history.json"":""cells/smooth_s0_r5_off/history.json"",""input_field.npz"":""cells/smooth_s0_r5_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r5_off/mask.npy"",""reconstruction.npy"":""cells/smooth_s0_r5_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r5_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r5_off/target.npy"",""target.png"":""cells/smooth_s0_r5_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r5_off,1.7881393432617188e-07,smooth,99,48,0.08872651308774948,2.384185791015625e-07,0.9241205453872681,144,14045696,33554432,26.231416590886482,117.05757824271241,5,0,44,14.278764718147066,ok,0.3246188599987363,51,1326841856
6.064772605895996e-06,"{""config.json"":""cells/smooth_s1_r0_off/config.json"",""curves.png"":""cells/smooth_s1_r0_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s1_r0_off/error.png"",""field.npz"":""cells/smooth_s1_r0_off/field.npz"",""history.json"":""cells/smooth_s1_r0_off/history.json"",""input_field.npz"":""cells/smooth_s1_r0_off/input_field.npz"",""mask.npy"":""cells/smooth_s1_r0_off/mask.npy"",""reconstruction.npy"":""cells/smooth_s1_r0_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s1_r0_off/reconstruction.png"",""target.npy"":""cells/smooth_s1_r0_off/target.npy"",""target.png"":""cells/smooth_s1_r0_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s1_r0_off,1.1920928955078125e-07,smooth,99,48,0.07627816498279572,2.384185791015625e-07,0.9419741630554199,144,14036992,33554432,27.110375742403235,95.61006639327854,0,1,40,15.843574057267265,ok,0.35316488399985246,51,1305829376
3.0100345611572266e-06,"{""config.json"":""cells/smooth_s1_r0_scatter/config.json"",""curves.png"":""cells/smooth_s1_r0_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s1_r0_scatter/error.png"",""field.npz"":""cells/smooth_s1_r0_scatter/field.npz"",""history.json"":""cells/smooth_s1_r0_scatter/history.json"",""input_field.npz"":""cells/smooth_s1_r0_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s1_r0_scatter/mask.npy"",""reconstruction.npy"":""cells/smooth_s1_r0_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s1_r0_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s1_r0_scatter/target.npy"",""target.png"":""cells/smooth_s1_r0_scatter/target.png""}",scatter,0,33554432,0.0014311479972093366,2618000,130900,smooth_s1_r0_scatter,1.7881393432617188e-07,smooth,99,48,0.07628467679023743,2.384185791015625e-07,0.9419742226600647,144,12239360,33554432,27.11037570525711,95.61006721105161,0,1,46,15.843574057267265,ok,0.16254496200053836,51,1316798464
