ordinal,stage,event,global_iter,n_gaussians,loss,elapsed_seconds,foreground_psnr_raw_db,foreground_psnr_clamped_db,foreground_mae_clamped,boundary_psnr_raw_db,boundary_mae_clamped,matted_crop_psnr_raw_db,outside_mask_max_abs,outside_mask_mean_abs,outside_mask_exact_zero,render_out_of_range_fraction,finite,reconstruction,absolute_error_x4,native
18,detail_growth,coverage_birth,11219,9792,,225.584081960842,26.525940618849262,26.526004232413314,0.01721884123980999,10.864338592044444,0.16823884844779968,31.608443593547186,0.0,0.0,True,7.2792713581293356e-06,True,images/intermediates/018_iter_011219_detail_growth_coverage_birth_reconstruction.jpg,images/intermediates/018_iter_011219_detail_growth_coverage_birth_absolute_error_x4.jpg,
19,boundary_closure,detail_birth,11847,10048,,235.02649561781436,26.646314182540532,26.646430037156467,0.017087597399950027,10.98581910964769,0.1646733283996582,31.728816770272296,0.0,0.0,True,8.152784175763372e-06,True,images/intermediates/019_iter_011847_boundary_closure_detail_birth_reconstruction.jpg,images/intermediates/019_iter_011847_boundary_closure_detail_birth_absolute_error_x4.jpg,
20,boundary_closure,detail_birth,12475,10304,,244.4087651958689,26.73429566367622,26.734469666213432,0.016980977728962898,11.054909858952133,0.16264708340168,31.81679873473253,0.0,0.0,True,9.259233593184035e-06,True,images/intermediates/020_iter_012475_boundary_closure_detail_birth_reconstruction.jpg,images/intermediates/020_iter_012475_boundary_closure_detail_birth_absolute_error_x4.jpg,
21,boundary_closure,boundary_birth,13103,10432,,253.7767361300066,26.801618503610243,26.80179522454534,0.016927925869822502,11.147293949616934,0.15998120605945587,31.884121296403357,0.0,0.0,True,9.259233593184035e-06,True,images/intermediates/021_iter_013103_boundary_closure_boundary_birth_reconstruction.jpg,images/intermediates/021_iter_013103_boundary_closure_boundary_birth_absolute_error_x4.jpg,
22,boundary_closure,detail_birth,13731,10688,,263.1961050229147,26.871356154466866,26.871528847897327,0.01684572547674179,11.207726165079832,0.15832708775997162,31.953858655115642,0.0,0.0,True,9.666872756497469e-06,True,images/intermediates/022_iter_013731_boundary_closure_detail_birth_reconstruction.jpg,images/intermediates/022_iter_013731_boundary_closure_detail_birth_absolute_error_x4.jpg,
23,boundary_closure,boundary_birth,14131,10816,,268.3762242300436,26.925361220344,26.925536572860622,0.01680505834519863,11.282127040982843,0.15627436339855194,32.00786410577984,0.0,0.0,True,9.666872756497469e-06,True,images/intermediates/023_iter_014131_boundary_closure_boundary_birth_reconstruction.jpg,images/intermediates/023_iter_014131_boundary_closure_boundary_birth_absolute_error_x4.jpg,
24,redistribution,coverage_birth,14839,11000,,278.30605067126453,26.986004064786616,26.986181883068994,0.016723820939660072,11.359255525175264,0.15355734527111053,32.06850670997583,0.0,0.0,True,9.666872756497469e-06,True,images/intermediates/024_iter_014839_redistribution_coverage_birth_reconstruction.jpg,images/intermediates/024_iter_014839_redistribution_coverage_birth_absolute_error_x4.jpg,
25,redistribution,merge_rebirth,15947,11000,,292.7740294104442,26.98950367441723,26.989683658382084,0.016717849299311638,11.359483411678347,0.1535475254058838,32.07200685897377,0.0,0.0,True,9.666872756497469e-06,True,images/intermediates/025_iter_015947_redistribution_merge_rebirth_reconstruction.jpg,images/intermediates/025_iter_015947_redistribution_merge_rebirth_absolute_error_x4.jpg,
26,redistribution,prune_rebirth,17055,11000,,307.24732644855976,26.989798427332914,26.98993039009535,0.016720863059163094,11.362238022782227,0.1535111516714096,32.07230097388815,0.0,0.0,True,9.49216973822331e-06,True,images/intermediates/026_iter_017055_redistribution_prune_rebirth_reconstruction.jpg,images/intermediates/026_iter_017055_redistribution_prune_rebirth_absolute_error_x4.jpg,
27,pre_polish_color_solve,fixed_geometry_least_squares,18403,11000,,324.9233290357515,27.031590775949297,27.03182305312574,0.016570301726460457,11.377907385698904,0.1526021808385849,32.114094430829724,0.0,0.0,True,1.2927986063004937e-05,True,images/intermediates/027_iter_018403_pre_polish_color_solve_fixed_geometry_least_squares_reconstruction.jpg,images/intermediates/027_iter_018403_pre_polish_color_solve_fixed_geometry_least_squares_absolute_error_x4.jpg,
28,safe_polish,global_fit,18778,11000,,329.95342415291816,27.068492889089804,27.070112368236565,0.016377922147512436,11.397460988351412,0.1518789380788803,32.1509959439231,0.0,0.0,True,1.3801498425891623e-05,True,images/intermediates/028_iter_018778_safe_polish_global_fit_reconstruction.jpg,images/intermediates/028_iter_018778_safe_polish_global_fit_absolute_error_x4.jpg,
29,final_full_field,terminal,19246,11000,,336.9081617426127,27.068492889089804,27.070112368236565,0.016377922147512436,11.397460988351412,0.1518789380788803,32.1509959439231,0.0,0.0,True,1.3801498425891623e-05,True,images/intermediates/029_iter_019246_final_full_field_terminal_reconstruction.jpg,images/intermediates/029_iter_019246_final_full_field_terminal_absolute_error_x4.jpg,"{'reconstruction': 'images/native/029_iter_019246_final_full_field_terminal_reconstruction.png', 'absolute_error_x4': 'images/native/029_iter_019246_final_full_field_terminal_absolute_error_x4.png'}"
