target,target_sha256,seed,arm,view,selector,alpha,canonical_count,gauge_count,canonical_field_sha256,gauge_field_sha256,pre_psnr,render_max_abs,action_groups,action_hash,unique_action_groups,repeated_action_count,projected_topk_order_agreement,projected_topk_multiset_jaccard,projected_topk_unique_jaccard,projected_topk_exact,score_seconds,scores_finite,denominator_max_abs,quotient_alpha1_max_abs,quotient_alpha1_max_rel,quotient_alpha0.7_max_abs,quotient_alpha0.7_max_rel,quotient_alpha0.7_action_match,alpha0.7_child_law_max_abs,quotient_alpha1_action_match,alpha1_child_law_max_abs,immediate_psnr,immediate_ms_ssim,post20_psnr,post20_ms_ssim,post20_auc,post100_psnr,post100_ms_ssim,post100_auc,action_seconds,fit20_seconds,fit100_seconds,total100_seconds,final_count,post20_count,post100_count,renders_finite,intervention_seconds
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,support_canonical,canonical,support_row,,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,0,23,10,25,31,8,15]",7009aaf27e5323c2d419dbd0b8c80f0ae60893d08035b08db3e20fe46cb0d6fa,8,0,1.0,1.0,1.0,True,0.0016887059973669238,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.7972412109375,0.9967284798622131,44.11415100097656,0.999505341053009,38.65600977445904,53.30216979980469,0.9999107718467712,49.26766439880988,0.0026890959998127073,0.11826634407043457,0.5869626998901367,0.5913405018873163,40,40,40,True,0.004377801997179631
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,support_gauge_row,gauge,support_row,,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,2,0,0,23,10,10,25]",3df21abc39f8719bc0463f19305012cc6d9e181564ffc8bf5ff9cd8eb38db30d,5,3,0.125,0.45454545454545453,0.625,False,0.002260870001919102,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.31953430175781,0.996774435043335,42.53496170043945,0.999197244644165,38.534920140316615,49.17912292480469,0.9997302889823914,48.84426172815188,0.0026222550004604273,0.11707615852355957,0.5963795185089111,0.6012626435112907,40,40,40,True,0.004883125002379529
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,responsibility_alpha0.7_canonical,canonical,responsibility_row,0.7,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,0,10,23,31,8,25,15]",355bd3432b043adce945d7d302c1167e958f1bdecabb80f959b69a1173e2ab3b,8,0,1.0,1.0,1.0,True,0.002903706998040434,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.7972412109375,0.9967284798622131,44.12445831298828,0.9995061159133911,38.656041396291634,52.419212341308594,0.9998883008956909,49.06129216666174,0.002737069000431802,0.12154603004455566,0.6303665637969971,0.6360073397954693,40,40,40,True,0.005640775998472236
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,responsibility_alpha0.7_gauge_row,gauge,responsibility_row,0.7,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,2,0,0,10,10,23,31]",623c2319594b0936ca68522433455e81540d6105c75ef2c2c1bc48ee9a008cff,5,3,0.125,0.45454545454545453,0.625,False,0.004531526996288449,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.28516387939453,0.9966694116592407,41.96674728393555,0.9992143511772156,38.4105917278089,51.552490234375,0.9998433589935303,48.88849150532424,0.002842884998244699,0.1255955696105957,0.6397366523742676,0.6471110643688007,40,40,40,True,0.007374411994533148
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,responsibility_alpha1_canonical,canonical,responsibility_row,1.0,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,0,10,23,25,31,6,8]",d7ed7baa09fe2148072e41b1a9e60b84057bde6a53007c0b9b279cd8d75f87c5,8,0,1.0,1.0,1.0,True,0.0030130800005281344,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.603187561035156,0.996690034866333,41.92768478393555,0.999224841594696,38.56289050453588,54.2808723449707,0.9999080300331116,48.917194385721224,0.0027792560067609884,0.13128948211669922,0.70662522315979,0.7124175591670792,40,40,40,True,0.005792336007289123
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,responsibility_alpha1_gauge_row,gauge,responsibility_row,1.0,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,2,0,0,10,10,23,25]",9efcb1e1d150852ef2de0ff3c9865d8fe95898e7f8179d84ce13f8379080092a,5,3,0.125,0.45454545454545453,0.625,False,0.004360007995273918,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.31953430175781,0.996774435043335,42.53510284423828,0.9991959929466248,38.53490628694233,54.091285705566406,0.9999532699584961,48.322785733926175,0.0027533250031410716,0.12590265274047852,0.6373000144958496,0.6444133474942646,40,40,40,True,0.0071133329984149896
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,quotient_alpha1_canonical,canonical,quotient_responsibility,1.0,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,0,10,23,25,31,6,8]",d7ed7baa09fe2148072e41b1a9e60b84057bde6a53007c0b9b279cd8d75f87c5,8,0,1.0,1.0,1.0,True,0.0032054850016720593,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.603187561035156,0.996690034866333,41.92768478393555,0.999224841594696,38.56289050453588,54.2808723449707,0.9999080300331116,48.917194385721224,0.0027792560067609884,0.13128948211669922,0.70662522315979,0.7126099641682231,40,40,40,True,0.005984741008433048
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,quotient_alpha1_gauge,gauge,quotient_responsibility,1.0,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,0,10,23,25,31,6,8]",d7ed7baa09fe2148072e41b1a9e60b84057bde6a53007c0b9b279cd8d75f87c5,8,0,1.0,1.0,1.0,True,0.005307473998982459,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.603187561035156,0.996690034866333,41.92768478393555,0.999224841594696,38.56289050453588,54.2808723449707,0.9999080300331116,48.917194385721224,0.0027792560067609884,0.13128948211669922,0.70662522315979,0.7147119531655335,40,40,40,True,0.008086730005743448
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,1,support_canonical,canonical,support_row,,32,48,479d193c345320d9718f1ac8f3f8eb6324c1b486aa186f01485f4277b27990bc,8ec969a9d985de6df16834de2889e8f0532f21d1b1209eb82ba9f726756f50d5,38.284573,5.960464477539062e-07,"[10,21,23,15,31,4,6,2]",ee252e98e56c502bcc74ee79e0e91a99cb59d37dbfe326263f5d52309c474a17,8,0,1.0,1.0,1.0,True,0.0016097379993880168,True,2.86102294921875e-06,1.7462298274040222e-09,2.2020544747647364e-06,3.026798367500305e-09,2.262297357447096e-06,True,2.444721758365631e-09,True,1.7462298274040222e-09,33.882266998291016,0.9961698651313782,46.38668441772461,0.9991801381111145,40.63408610695287,47.38917541503906,0.9997292757034302,48.29136139455468,0.002650090005772654,0.11942815780639648,0.6093387603759766,0.6135985883811372,40,40,40,True,0.004259828005160671
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,1,support_gauge_row,gauge,support_row,,32,48,479d193c345320d9718f1ac8f3f8eb6324c1b486aa186f01485f4277b27990bc,8ec969a9d985de6df16834de2889e8f0532f21d1b1209eb82ba9f726756f50d5,38.284573,5.960464477539062e-07,"[10,10,21,23,15,31,4,4]",f30142fc4d1bfeb80725eb3ed0736d073703357b6b9ca3c0601037f4e5501030,6,2,0.125,0.6,0.75,False,0.002047606998530682,True,2.86102294921875e-06,1.7462298274040222e-09,2.2020544747647364e-06,3.026798367500305e-09,2.262297357447096e-06,True,2.444721758365631e-09,True,1.7462298274040222e-09,34.18231201171875,0.9964276552200317,46.26015090942383,0.9991458058357239,40.68576180307489,52.78474426269531,0.9999021291732788,48.75113841740772,0.002704473001358565,0.12329411506652832,0.6300179958343506,0.6347700758342398,40,40,40,True,0.004752079999889247
