target,target_sha256,seed,arm,view,selector,alpha,canonical_count,gauge_count,canonical_field_sha256,gauge_field_sha256,pre_psnr,render_max_abs,action_groups,action_hash,unique_action_groups,repeated_action_count,projected_topk_order_agreement,projected_topk_multiset_jaccard,projected_topk_unique_jaccard,projected_topk_exact,score_seconds,scores_finite,denominator_max_abs,quotient_alpha1_max_abs,quotient_alpha1_max_rel,quotient_alpha0.7_max_abs,quotient_alpha0.7_max_rel,quotient_alpha0.7_action_match,alpha0.7_child_law_max_abs,quotient_alpha1_action_match,alpha1_child_law_max_abs,immediate_psnr,immediate_ms_ssim,post20_psnr,post20_ms_ssim,post20_auc,post100_psnr,post100_ms_ssim,post100_auc,action_seconds,fit20_seconds,fit100_seconds,total100_seconds,final_count,post20_count,post100_count,renders_finite,intervention_seconds
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,support_canonical,canonical,support_row,,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,0,23,10,25,31,8,15]",7009aaf27e5323c2d419dbd0b8c80f0ae60893d08035b08db3e20fe46cb0d6fa,8,0,1.0,1.0,1.0,True,0.0015345709980465472,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.7972412109375,0.9967284798622131,44.11415100097656,0.999505341053009,38.65600977445904,53.30216979980469,0.9999107718467712,49.26766439880988,0.0027591250036493875,0.11833500862121582,0.6108922958374023,0.6151859918390983,40,40,40,True,0.004293696001695935
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,support_gauge_row,gauge,support_row,,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,2,0,0,23,10,10,25]",3df21abc39f8719bc0463f19305012cc6d9e181564ffc8bf5ff9cd8eb38db30d,5,3,0.125,0.45454545454545453,0.625,False,0.0019955800016759895,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.31953430175781,0.996774435043335,42.53496170043945,0.999197244644165,38.534920140316615,49.17912292480469,0.9997302889823914,48.84426172815188,0.0027025269955629483,0.11773180961608887,0.5919687747955322,0.5966668817927712,40,40,40,True,0.004698106997238938
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,responsibility_alpha0.7_canonical,canonical,responsibility_row,0.7,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,0,10,23,31,8,25,15]",355bd3432b043adce945d7d302c1167e958f1bdecabb80f959b69a1173e2ab3b,8,0,1.0,1.0,1.0,True,0.002813724997395184,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.7972412109375,0.9967284798622131,44.12445831298828,0.9995061159133911,38.656041396291634,52.419212341308594,0.9998883008956909,49.06129216666174,0.00259556600212818,0.11923050880432129,0.6091325283050537,0.6145418193045771,40,40,40,True,0.005409290999523364
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,responsibility_alpha0.7_gauge_row,gauge,responsibility_row,0.7,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,2,0,0,10,10,23,31]",623c2319594b0936ca68522433455e81540d6105c75ef2c2c1bc48ee9a008cff,5,3,0.125,0.45454545454545453,0.625,False,0.0039497739999205805,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.28516387939453,0.9966694116592407,41.96674728393555,0.9992143511772156,38.4105917278089,51.552490234375,0.9998433589935303,48.88849150532424,0.002671868998731952,0.11803722381591797,0.6244556903839111,0.6310773333825637,40,40,40,True,0.006621642998652533
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,responsibility_alpha1_canonical,canonical,responsibility_row,1.0,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,0,10,23,25,31,6,8]",d7ed7baa09fe2148072e41b1a9e60b84057bde6a53007c0b9b279cd8d75f87c5,8,0,1.0,1.0,1.0,True,0.0029281160022947006,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.603187561035156,0.996690034866333,41.92768478393555,0.999224841594696,38.56289050453588,54.2808723449707,0.9999080300331116,48.917194385721224,0.002816460000758525,0.11990880966186523,0.5934677124023438,0.599212288405397,40,40,40,True,0.005744576003053226
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,responsibility_alpha1_gauge_row,gauge,responsibility_row,1.0,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,2,0,0,10,10,23,25]",9efcb1e1d150852ef2de0ff3c9865d8fe95898e7f8179d84ce13f8379080092a,5,3,0.125,0.45454545454545453,0.625,False,0.004544723000435624,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.31953430175781,0.996774435043335,42.53510284423828,0.9991959929466248,38.53490628694233,54.091285705566406,0.9999532699584961,48.322785733926175,0.0026199269996141084,0.11587119102478027,0.5892693996429443,0.5964340496429941,40,40,40,True,0.007164650000049733
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,quotient_alpha1_canonical,canonical,quotient_responsibility,1.0,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,0,10,23,25,31,6,8]",d7ed7baa09fe2148072e41b1a9e60b84057bde6a53007c0b9b279cd8d75f87c5,8,0,1.0,1.0,1.0,True,0.003289230997324921,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.603187561035156,0.996690034866333,41.92768478393555,0.999224841594696,38.56289050453588,54.2808723449707,0.9999080300331116,48.917194385721224,0.002816460000758525,0.11990880966186523,0.5934677124023438,0.5995734034004272,40,40,40,True,0.006105690998083446
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,0,quotient_alpha1_gauge,gauge,quotient_responsibility,1.0,32,48,edfee3e3f61a1003493d32212ae2aab6022d30f174a14f3e814db0453b43f82a,ef9e2c409ffd90d268175ddd7cfd061ad00e6a86d647beb09a69f293a00da0f0,37.732296,4.76837158203125e-07,"[2,0,10,23,25,31,6,8]",d7ed7baa09fe2148072e41b1a9e60b84057bde6a53007c0b9b279cd8d75f87c5,8,0,1.0,1.0,1.0,True,0.005331574997399002,True,2.384185791015625e-06,3.4924596548080444e-09,2.1109340195835102e-06,6.05359673500061e-09,2.1120749806868844e-06,True,4.6566128730773926e-09,True,3.4924596548080444e-09,33.603187561035156,0.996690034866333,41.92768478393555,0.999224841594696,38.56289050453588,54.2808723449707,0.9999080300331116,48.917194385721224,0.002816460000758525,0.11990880966186523,0.5934677124023438,0.6016157474005013,40,40,40,True,0.008148034998157527
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,1,support_canonical,canonical,support_row,,32,48,479d193c345320d9718f1ac8f3f8eb6324c1b486aa186f01485f4277b27990bc,8ec969a9d985de6df16834de2889e8f0532f21d1b1209eb82ba9f726756f50d5,38.284573,5.960464477539062e-07,"[10,21,23,15,31,4,6,2]",ee252e98e56c502bcc74ee79e0e91a99cb59d37dbfe326263f5d52309c474a17,8,0,1.0,1.0,1.0,True,0.0017083610000554472,True,2.86102294921875e-06,1.7462298274040222e-09,2.2020544747647364e-06,3.026798367500305e-09,2.262297357447096e-06,True,2.444721758365631e-09,True,1.7462298274040222e-09,33.882266998291016,0.9961698651313782,46.38668441772461,0.9991801381111145,40.63408610695287,47.38917541503906,0.9997292757034302,48.29136139455468,0.0027429269975982606,0.12343573570251465,0.6247098445892334,0.6291611325868871,40,40,40,True,0.004451287997653708
vertical_step,d2538abfe852d6b8ebc9fbd47f65dbb225eb615f1e7ae18b2af1b58aa030fc59,1,support_gauge_row,gauge,support_row,,32,48,479d193c345320d9718f1ac8f3f8eb6324c1b486aa186f01485f4277b27990bc,8ec969a9d985de6df16834de2889e8f0532f21d1b1209eb82ba9f726756f50d5,38.284573,5.960464477539062e-07,"[10,10,21,23,15,31,4,4]",f30142fc4d1bfeb80725eb3ed0736d073703357b6b9ca3c0601037f4e5501030,6,2,0.125,0.6,0.75,False,0.002410763998341281,True,2.86102294921875e-06,1.7462298274040222e-09,2.2020544747647364e-06,3.026798367500305e-09,2.262297357447096e-06,True,2.444721758365631e-09,True,1.7462298274040222e-09,34.18231201171875,0.9964276552200317,46.26015090942383,0.9991458058357239,40.68576180307489,52.78474426269531,0.9999021291732788,48.75113841740772,0.002698144999158103,0.1214895248413086,0.6086370944976807,0.61374600349518,40,40,40,True,0.005108908997499384
