method,method_label,track,pairs,paired_images,budget_matched,gain_psnr,ci_low_psnr,ci_high_psnr,pairs_psnr,gain_ms_ssim,ci_low_ms_ssim,ci_high_ms_ssim,pairs_ms_ssim,gain_auc_psnr,ci_low_auc_psnr,ci_high_auc_psnr,pairs_auc_psnr,gain_fit_seconds,ci_low_fit_seconds,ci_high_fit_seconds,pairs_fit_seconds,gain_total_seconds,ci_low_total_seconds,ci_high_total_seconds,pairs_total_seconds,gain_lpips,ci_low_lpips,ci_high_lpips,pairs_lpips,images_lpips,sample_relation,supported_relation_95ci
structsplat_best_gcr015,SS best + GCR 0.015,best-geometry-loss,8,4,True,0.18867731094360352,0.08533859252929688,0.31792640686035156,8,0.0008643418550491333,0.0001704096794128418,0.0015582740306854248,8,0.11319747776211209,0.10008658770330037,0.1312453757546006,8,-0.08879822492599487,-0.20831719040870667,0.10970285534858704,8,-0.08703374862670898,-0.20839649438858032,0.11523431539535522,8,0.004719579126685858,0.000270904041826725,0.010807956103235483,8,4,tradeoff,tradeoff
structsplat_best_gcr030,SS best + GCR 0.030,best-geometry-loss,8,4,True,0.16974687576293945,0.08327674865722656,0.32741260528564453,8,0.0007402747869491577,-2.171844244003296e-05,0.0021284744143486023,8,0.10932815934947593,0.09478514562388929,0.129551432892411,8,-0.08785027265548706,-0.2132815420627594,0.09588691592216492,8,-0.08514615893363953,-0.21273338794708252,0.10285452008247375,8,0.00637130718678236,0.0006543342024087906,0.015109359752386808,8,4,tradeoff,tradeoff
structsplat_best_gcr060,SS best + GCR 0.060,best-geometry-loss,8,4,True,0.10781288146972656,-0.017233610153198242,0.1887497901916504,8,0.0003058314323425293,-0.00021474063396453857,0.0009136199951171875,8,0.0897175658919771,0.03577061502154777,0.14366451676240644,8,-0.09873545169830322,-0.18301957845687866,0.060213565826416016,8,-0.09825596213340759,-0.18982994556427002,0.0674419105052948,8,0.004200561670586467,-0.0004363209009170532,0.010272817686200142,8,4,tradeoff,tradeoff
