scope,value,pairs,d_psnr_mean,d_psnr_median,d_psnr_min,d_psnr_max,psnr_wins,d_ms_ssim_mean,d_ms_ssim_median,d_ms_ssim_min,d_ms_ssim_max,ms_ssim_wins,d_edge_mae_mean,d_edge_mae_median,d_edge_mae_min,d_edge_mae_max,edge_mae_wins,d_auc_psnr_mean,d_auc_psnr_median,d_auc_psnr_min,d_auc_psnr_max,auc_psnr_wins,d_fit_seconds_mean,d_fit_seconds_median,d_fit_seconds_min,d_fit_seconds_max,fit_seconds_wins,d_total_seconds_mean,d_total_seconds_median,d_total_seconds_min,d_total_seconds_max,total_seconds_wins
all,all,16,0.006112500000000187,0.02435000000000187,-1.3504000000000005,1.447300000000002,10,-0.0006837499999999969,5.499999999997174e-05,-0.008620000000000072,0.00544,8,1.8249999999998953e-05,-6.700000000000109e-05,-0.001121000000000004,0.002117000000000001,10,-0.01071765269336078,-0.01148727498426716,-0.23372973021544396,0.2524286140355301,6,-0.04231773316860199,0.03055405616760254,-0.7366948127746582,0.46112561225891113,9,-0.10372224450111406,-0.03973257541656494,-1.4053058624267578,0.41262388229370117,7
budget,2000,8,0.016987499999999933,0.04045000000000165,-1.3504000000000005,1.447300000000002,5,-0.0008237499999999981,0.00010999999999999899,-0.008620000000000072,0.00544,4,0.00012337499999999762,0.00016000000000000042,-0.001121000000000004,0.002117000000000001,4,-0.028512951371827633,-0.03565902945357635,-0.23372973021544396,0.2524286140355301,4,-0.0325588583946228,0.034357666969299316,-0.7366948127746582,0.46112561225891113,5,-0.14541187882423412,-0.023790478706360307,-1.4053058624267578,0.41262388229370117,4
budget,5000,8,-0.004762499999999559,0.008150000000000546,-0.20060000000000144,0.11269999999999669,5,-0.0005437499999999956,5.499999999997174e-05,-0.00535999999999992,0.0010799999999999699,4,-8.687499999999971e-05,-0.0001549999999999989,-0.0004930000000000004,0.00039600000000000746,6,0.007077645985106074,-0.01148727498426716,-0.04225354388684721,0.0989316122145425,2,-0.05207660794258118,-0.007569074630737305,-0.31033897399902344,0.08565592765808105,4,-0.062032610177993996,-0.03973257541656494,-0.33954834938049316,0.16671538352966309,3
strategy,aniso_onedge,8,0.2660750000000003,0.07904999999999873,-0.060499999999997556,1.447300000000002,7,0.0012887500000000052,0.0006450000000000622,-0.0013199999999999878,0.00544,6,-0.00042787500000000247,-0.0002050000000000038,-0.001121000000000004,0.00012900000000000064,7,0.050665113272230666,0.042769631836872435,-0.07299117711164271,0.2524286140355301,5,-0.017277449369430542,0.043767333030700684,-0.7366948127746582,0.46112561225891113,5,-0.1005257070064548,0.04009532928466708,-1.4053058624267578,0.41262388229370117,5
strategy,quadtree_wse,8,-0.2538499999999999,-0.042349999999999,-1.3504000000000005,0.057800000000000296,3,-0.002656249999999999,-0.0021449999999999525,-0.008620000000000072,0.0015399999999999858,2,0.0004643750000000004,0.0003650000000000042,-0.0004930000000000004,0.002117000000000001,3,-0.07210041865895223,-0.038746824258165447,-0.23372973021544396,0.0016731182044900095,1,-0.06735801696777344,-0.04351985454559326,-0.3446516990661621,0.33891749382019043,4,-0.10691878199577332,-0.09483051300048828,-0.36913418769836426,0.30791211128234863,2
