image,budget,seed,strategy,psnr_tensor,ms_ssim_tensor,edge_mae_tensor,auc_psnr_tensor,fit_seconds_tensor,total_seconds_tensor,psnr_none,ms_ssim_none,edge_mae_none,auc_psnr_none,fit_seconds_none,total_seconds_none,d_psnr,d_ms_ssim,d_edge_mae,d_auc_psnr,d_fit_seconds,d_total_seconds
kodim01,2000,0,aniso_onedge,22.9515,0.86268,0.06084,23.14241926219958,4.672640085220337,4.920677185058594,22.9061,0.864,0.061961,23.215410439311224,5.409334897994995,6.325983047485352,0.04540000000000077,-0.0013199999999999878,-0.001121000000000004,-0.07299117711164271,-0.7366948127746582,-1.4053058624267578
kodim01,2000,0,quadtree_wse,23.0237,0.86605,0.061341,23.13248375783848,4.193432569503784,4.81255030632019,22.9882,0.86451,0.060741,23.228866233596648,4.538084268569946,5.181684494018555,0.03550000000000253,0.0015399999999999858,0.0005999999999999964,-0.09638247575816905,-0.3446516990661621,-0.36913418769836426
kodim01,5000,0,aniso_onedge,25.7348,0.93034,0.045797,25.50027932732641,4.719895601272583,5.589042663574219,25.6895,0.93005,0.045993,25.412414024638046,4.923987150192261,5.805763959884644,0.045300000000001006,0.00028999999999990145,-0.00019600000000000173,0.08786530268836401,-0.20409154891967773,-0.2167212963104257
kodim01,5000,0,quadtree_wse,25.7273,0.93062,0.045843,25.412202895522675,4.615745782852173,6.088273763656616,25.7242,0.92954,0.046033,25.44744300015216,4.530972719192505,6.053625822067261,0.0030999999999998806,0.0010799999999999699,-0.00018999999999999573,-0.03524010462948368,0.08477306365966797,0.03464794158935547
kodim07,2000,0,aniso_onedge,27.1203,0.9515,0.037045,27.760488091507614,4.94469952583313,5.224445819854736,25.673,0.94606,0.037059,27.508059477472084,4.721347093582153,5.006345510482788,1.447300000000002,0.00544,-1.4000000000000123e-05,0.2524286140355301,0.22335243225097656,0.21810030937194824
kodim07,2000,0,quadtree_wse,24.8737,0.92819,0.041967,26.8317983905978,4.586628675460815,5.22555947303772,25.3652,0.93681,0.03985,26.99643961440093,4.857863903045654,5.505469799041748,-0.49150000000000205,-0.008620000000000072,0.002117000000000001,-0.1646412238031303,-0.27123522758483887,-0.2799103260040283
kodim07,5000,0,aniso_onedge,34.2037,0.98829,0.018333,33.32989980508042,4.885988473892212,5.768155097961426,34.091,0.98791,0.018453,33.23096819286588,4.800332546234131,5.711452722549439,0.11269999999999669,0.00038000000000004697,-0.00012000000000000205,0.0989316122145425,0.08565592765808105,0.056702375411986417
kodim07,5000,0,quadtree_wse,34.0656,0.9877,0.018555,33.20599723991511,4.962203025817871,6.42376184463501,34.0747,0.98788,0.018562,33.20657309251598,4.911492109298706,6.443418264389038,-0.009099999999996555,-0.00017999999999995797,-7.000000000000062e-06,-0.0005758526008676768,0.05071091651916504,-0.01965641975402832
kodim13,2000,0,aniso_onedge,20.6971,0.80744,0.092773,20.384103862184777,5.361032485961914,5.603537082672119,20.5636,0.80424,0.093553,20.3236122163158,4.899906873703003,5.190913200378418,0.13349999999999795,0.0032000000000000917,-0.0007800000000000029,0.06049164586897504,0.46112561225891113,0.41262388229370117
kodim13,2000,0,quadtree_wse,20.4592,0.79312,0.094691,20.25832833982929,5.24465799331665,5.751894950866699,20.5348,0.79702,0.094357,20.2566552216248,4.90574049949646,5.443982839584351,-0.07560000000000144,-0.0038999999999999035,0.00033400000000000096,0.0016731182044900095,0.33891749382019043,0.30791211128234863
kodim13,5000,0,aniso_onedge,22.6755,0.88763,0.070699,22.28800267581545,5.378833293914795,6.391202688217163,22.6623,0.88672,0.070913,22.305323689201817,5.338869571685791,6.2244873046875,0.01320000000000121,0.0009100000000000774,-0.00021400000000000585,-0.017321013386368378,0.039963722229003906,0.16671538352966309
kodim13,5000,0,quadtree_wse,22.5045,0.88116,0.071008,22.26257412460663,5.000587224960327,6.214686632156372,22.7051,0.88652,0.070612,22.304827668493477,5.310926198959351,6.554234981536865,-0.20060000000000144,-0.00535999999999992,0.00039600000000000746,-0.04225354388684721,-0.31033897399902344,-0.33954834938049316
kodim19,2000,0,aniso_onedge,28.0813,0.9178,0.038208,27.220402667329974,5.644863605499268,5.921826124191284,27.6896,0.91531,0.039315,27.195355049525205,5.59729266166687,5.898337841033936,0.39170000000000016,0.0024899999999999922,-0.0011070000000000038,0.02504761780476983,0.04757094383239746,0.023488283157347745
kodim19,2000,0,quadtree_wse,26.6185,0.91153,0.039649,27.017769893063477,5.431535243988037,5.93364143371582,27.9689,0.91695,0.038691,27.25149962327892,5.410390853881836,6.004710674285889,-1.3504000000000005,-0.005420000000000091,0.0009579999999999936,-0.23372973021544396,0.021144390106201172,-0.07106924057006836
kodim19,5000,0,aniso_onedge,30.4295,0.95278,0.026315,29.786874092921487,6.3015429973602295,7.284451007843018,30.49,0.95386,0.026186,29.81600578885781,6.356644868850708,7.344259738922119,-0.060499999999997556,-0.001080000000000081,0.00012900000000000064,-0.02913169593632503,-0.055101871490478516,-0.05980873107910156
kodim19,5000,0,quadtree_wse,30.7936,0.95393,0.025844,30.030434900478493,6.109407663345337,7.363454580307007,30.7358,0.95432,0.026337,30.03608843706066,6.217591762542725,7.482046365737915,0.057800000000000296,-0.00039000000000000146,-0.0004930000000000004,-0.005653536582165941,-0.1081840991973877,-0.1185917854309082
