image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,loss,optimizer,lr_schedule,refine,pyramid,config_label,is_baseline,status,psnr,ssim,ms_ssim,lpips,auc_psnr,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,relocate_event_count
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms|pyramid=single,False,ok,20.517,0.55001,0.86318,,19.36108629582292,,{'28.0': None},,256,0.03509855270385742,1.034452199935913,1.0836400985717773,1,,,,,0
COCO_train2014_000000000025_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms|pyramid=single,False,ok,20.5148,0.55202,0.86405,,19.39303495116153,,{'28.0': None},,256,0.03766202926635742,1.0294103622436523,1.0791873931884766,1,,,,,0
COCO_train2014_000000000030_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,25.8384,0.8248,0.95525,,23.674660844317938,,{'28.0': None},,256,0.04598498344421387,1.115508794784546,1.1741929054260254,0,,,,,0
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,fp_duplicate,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=fp_duplicate|pyramid=single,False,ok,25.7748,0.82607,0.95288,,23.266306343725173,,{'28.0': None},,256,0.04102349281311035,1.236556053161621,1.2904820442199707,1,,,,,0
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,ranked_wave,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=ranked_wave|pyramid=single,False,ok,25.4069,0.81568,0.94968,,22.957772966158593,,{'28.0': None},,256,0.040998220443725586,1.257784128189087,1.3130178451538086,1,0.432344,0.042148,845.539307,186.314453,0
COCO_train2014_000000000030_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,relocate,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=relocate|pyramid=single,False,ok,25.5093,0.8188,0.95362,,23.429815049898828,,{'28.0': None},,256,0.04497075080871582,1.1854767799377441,1.2453522682189941,0,,,,,1
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms|pyramid=single,False,ok,25.5093,0.819,0.95228,,23.099669246350306,,{'28.0': None},,256,0.04154539108276367,1.2002203464508057,1.2569303512573242,1,,,,,0
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms|pyramid=single,False,ok,25.6612,0.82485,0.95404,,23.2191670789557,,{'28.0': None},,256,0.04467940330505371,1.2502574920654297,1.309361457824707,1,,,,,0
COCO_train2014_000000000034_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,19.1126,0.51437,0.84546,,17.834288516287078,,{'28.0': None},,256,0.04470252990722656,0.9967751502990723,1.0527980327606201,0,,,,,0
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,fp_duplicate,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=fp_duplicate|pyramid=single,False,ok,18.9938,0.50276,0.83832,,17.61736793841346,,{'28.0': None},,256,0.03670382499694824,0.9798619747161865,1.0278050899505615,1,,,,,0
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,ranked_wave,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=ranked_wave|pyramid=single,False,ok,18.8502,0.49682,0.83884,,17.525540545835334,,{'28.0': None},,256,0.0384974479675293,1.1060547828674316,1.156360149383545,1,0.653356,0.093396,720.197266,165.45401,0
COCO_train2014_000000000034_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,relocate,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=relocate|pyramid=single,False,ok,18.7991,0.50106,0.83971,,17.531785900309934,,{'28.0': None},,256,0.04188060760498047,1.0924298763275146,1.1466155052185059,0,,,,,1
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms|pyramid=single,False,ok,18.7343,0.48604,0.83394,,17.508502782401393,,{'28.0': None},,256,0.03730416297912598,0.9973807334899902,1.0468425750732422,1,,,,,0
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms|pyramid=single,False,ok,18.7304,0.48525,0.8337,,17.508596000024827,,{'28.0': None},,256,0.041610002517700195,0.9798808097839355,1.0325813293457031,1,,,,,0
