budget,image,seed,left,right,delta_psnr,delta_ms_ssim,left_psnr,right_psnr,left_ms_ssim,right_ms_ssim
2000,COCO_train2014_000000000034,1,aniso_flanking,aniso_onedge,-0.018299999999999983,-0.0017500000000000293,17.5444,17.5627,0.75602,0.75777
2000,kodim17,1,aniso_flanking,aniso_onedge,-0.011100000000002552,-0.0007400000000000739,29.5447,29.5558,0.95368,0.95442
2000,COCO_train2014_000000000034,0,aniso_flanking,aniso_onedge,-0.0032999999999994145,-0.0019500000000000073,17.5563,17.5596,0.75855,0.7605
2000,kodim14,0,aniso_flanking,aniso_onedge,0.01320000000000121,-0.003970000000000029,24.7249,24.7117,0.88479,0.88876
2000,kodim02,1,aniso_flanking,aniso_onedge,0.03879999999999839,0.0011200000000000099,31.1622,31.1234,0.93488,0.93376
2000,kodim06,1,aniso_flanking,aniso_onedge,0.07410000000000139,-0.0007700000000000484,25.1083,25.0342,0.87718,0.87795
2000,kodim09,0,aniso_flanking,aniso_onedge,0.0818000000000012,0.0008899999999999464,30.6154,30.5336,0.9638,0.96291
2000,kodim23,1,aniso_flanking,aniso_onedge,0.1267999999999958,0.00047000000000008146,33.9554,33.8286,0.97433,0.97386
2000,kodim20,1,aniso_flanking,aniso_onedge,0.13309999999999889,-0.00018999999999991246,29.6036,29.4705,0.95459,0.95478
2000,kodim07,1,aniso_flanking,aniso_onedge,0.1775999999999982,0.00019999999999997797,25.8495,25.6719,0.94147,0.94127
2000,kodim08,0,aniso_flanking,aniso_onedge,0.25349999999999895,0.0043799999999999395,20.6532,20.3997,0.87949,0.87511
2000,kodim05,0,aniso_flanking,aniso_onedge,0.3096999999999994,0.0023299999999999432,21.2404,20.9307,0.8402,0.83787
2000,kodim04,1,aniso_flanking,aniso_onedge,0.3318000000000012,0.0017399999999999638,30.1047,29.7729,0.93426,0.93252
2000,kodim12,1,aniso_flanking,aniso_onedge,0.8231999999999999,0.00034000000000000696,29.6613,28.8381,0.93253,0.93219
2000,kodim10,0,aniso_flanking,aniso_onedge,0.9726999999999997,0.0024199999999999777,31.6599,30.6872,0.96951,0.96709
2000,kodim03,1,aniso_flanking,aniso_onedge,1.8019999999999996,0.005699999999999927,31.7705,29.9685,0.963,0.9573
2000,kodim23,0,floyd_steinberg,aniso_onedge,-12.059399999999997,-0.0327599999999999,21.9337,33.9931,0.94205,0.97481
2000,kodim23,1,floyd_steinberg,aniso_onedge,-10.987000000000002,-0.025329999999999964,22.8416,33.8286,0.94853,0.97386
2000,kodim20,1,floyd_steinberg,aniso_onedge,-10.107700000000001,-0.01790999999999998,19.3628,29.4705,0.93687,0.95478
2000,kodim21,1,floyd_steinberg,aniso_onedge,-9.6837,-0.14405,14.9733,24.657,0.78338,0.92743
2000,kodim22,1,floyd_steinberg,aniso_onedge,-9.3583,-0.07289000000000001,18.1461,27.5044,0.83002,0.90291
2000,kodim11,1,floyd_steinberg,aniso_onedge,-9.075800000000001,-0.09604000000000001,18.0187,27.0945,0.82242,0.91846
2000,kodim07,0,floyd_steinberg,aniso_onedge,-8.626999999999999,-0.08839999999999992,18.4144,27.0414,0.86109,0.94949
2000,kodim19,0,floyd_steinberg,aniso_onedge,-7.156300000000002,-0.06523000000000001,20.4195,27.5758,0.85189,0.91712
2000,kodim03,0,floyd_steinberg,aniso_onedge,-6.380500000000001,-0.03326000000000007,25.3205,31.701,0.92907,0.96233
2000,kodim07,1,floyd_steinberg,aniso_onedge,-5.7712,-0.05861000000000005,19.9007,25.6719,0.88266,0.94127
2000,kodim21,0,floyd_steinberg,aniso_onedge,-5.7348000000000035,-0.06287999999999994,19.2477,24.9825,0.86441,0.92729
2000,kodim15,1,floyd_steinberg,aniso_onedge,-5.5258,-0.038510000000000044,24.8243,30.3501,0.9138,0.95231
2000,kodim19,1,floyd_steinberg,aniso_onedge,-4.8770000000000024,-0.05057999999999996,22.5525,27.4295,0.86684,0.91742
2000,kodim15,0,floyd_steinberg,aniso_onedge,-4.8308,-0.029759999999999898,25.3727,30.2035,0.92129,0.95105
2000,COCO_train2014_000000000025,1,floyd_steinberg,aniso_onedge,-4.113799999999998,-0.042589999999999906,15.5226,19.6364,0.79334,0.83593
2000,kodim24,1,floyd_steinberg,aniso_onedge,-3.7552999999999983,-0.03573000000000004,18.2955,22.0508,0.8215,0.85723
2000,kodim13,0,floyd_steinberg,aniso_onedge,-3.305399999999999,-0.04510999999999998,17.1474,20.4528,0.7568,0.80191
2000,COCO_train2014_000000000009,0,floyd_steinberg,aniso_onedge,-3.2754999999999974,-0.025700000000000056,21.6901,24.9656,0.9187,0.9444
2000,kodim08,0,floyd_steinberg,aniso_onedge,-3.252299999999998,-0.04580000000000006,17.1474,20.3997,0.82931,0.87511
2000,kodim24,0,floyd_steinberg,aniso_onedge,-2.9982000000000006,-0.038490000000000024,19.0506,22.0488,0.81952,0.85801
2000,kodim03,1,floyd_steinberg,aniso_onedge,-2.8202,-0.013690000000000091,27.1483,29.9685,0.94361,0.9573
2000,kodim05,0,floyd_steinberg,aniso_onedge,-2.7630000000000017,-0.05295000000000005,18.1677,20.9307,0.78492,0.83787
2000,COCO_train2014_000000000025,0,floyd_steinberg,aniso_onedge,-2.7454,-0.03141000000000005,16.7532,19.4986,0.79796,0.82937
2000,kodim05,1,floyd_steinberg,aniso_onedge,-2.356300000000001,-0.041790000000000105,19.0856,21.4419,0.8069,0.84869
2000,kodim16,1,floyd_steinberg,aniso_onedge,-2.166999999999998,-0.016469999999999985,27.0238,29.1908,0.90823,0.9247
2000,COCO_train2014_000000000030,0,floyd_steinberg,aniso_onedge,-2.030999999999999,-0.006680000000000019,28.5605,30.5915,0.97343,0.98011
2000,kodim08,1,floyd_steinberg,aniso_onedge,-1.9749000000000017,-0.032399999999999984,18.8952,20.8701,0.85293,0.88533
2000,kodim20,0,floyd_steinberg,aniso_onedge,-1.8303000000000011,0.0014499999999999513,27.4723,29.3026,0.95322,0.95177
2000,COCO_train2014_000000000009,1,floyd_steinberg,aniso_onedge,-1.8229000000000006,-0.015069999999999917,23.173,24.9959,0.92971,0.94478
2000,kodim13,1,floyd_steinberg,aniso_onedge,-1.7172000000000018,-0.02601000000000009,18.7581,20.4753,0.7766,0.80261
2000,kodim18,1,floyd_steinberg,aniso_onedge,-1.5024000000000015,-0.045399999999999996,22.8829,24.3853,0.83261,0.87801
2000,kodim22,0,floyd_steinberg,aniso_onedge,-1.4713999999999992,-0.015759999999999996,26.1451,27.6165,0.88833,0.90409
2000,kodim17,1,floyd_steinberg,aniso_onedge,-1.3352000000000004,-0.017290000000000028,28.2206,29.5558,0.93713,0.95442
2000,kodim18,0,floyd_steinberg,aniso_onedge,-1.1646999999999998,-0.035780000000000034,23.11,24.2747,0.83944,0.87522
2000,kodim17,0,floyd_steinberg,aniso_onedge,-1.1159,-0.011759999999999993,28.5599,29.6758,0.94275,0.95451
2000,kodim01,0,floyd_steinberg,aniso_onedge,-1.087600000000002,-0.012290000000000023,22.4366,23.5242,0.85846,0.87075
2000,COCO_train2014_000000000030,1,floyd_steinberg,aniso_onedge,-0.9887000000000015,-0.0049200000000000355,29.9717,30.9604,0.97666,0.98158
2000,kodim06,1,floyd_steinberg,aniso_onedge,-0.9843999999999973,-0.005700000000000038,24.0498,25.0342,0.87225,0.87795
2000,kodim14,0,floyd_steinberg,aniso_onedge,-0.8097999999999992,-0.02252999999999994,23.9019,24.7117,0.86623,0.88876
2000,kodim10,1,floyd_steinberg,aniso_onedge,-0.7655999999999992,-0.008790000000000076,30.9734,31.739,0.95929,0.96808
2000,kodim04,0,floyd_steinberg,aniso_onedge,-0.7613000000000021,-0.003950000000000009,29.5019,30.2632,0.93176,0.93571
2000,COCO_train2014_000000000034,0,floyd_steinberg,aniso_onedge,-0.46640000000000015,-0.023479999999999945,17.0932,17.5596,0.73702,0.7605
2000,kodim02,0,floyd_steinberg,aniso_onedge,-0.40700000000000003,-0.005560000000000009,30.9594,31.3664,0.93088,0.93644
2000,kodim14,1,floyd_steinberg,aniso_onedge,-0.3279999999999994,-0.020749999999999935,24.0804,24.4084,0.86594,0.88669
2000,kodim04,1,floyd_steinberg,aniso_onedge,-0.2804000000000002,-0.0014100000000000223,29.4925,29.7729,0.93111,0.93252
2000,kodim06,0,floyd_steinberg,aniso_onedge,-0.2792999999999992,-0.0032999999999999696,24.9283,25.2076,0.87612,0.87942
2000,kodim09,1,floyd_steinberg,aniso_onedge,-0.15490000000000137,0.0012199999999999989,30.854,31.0089,0.9657,0.96448
2000,kodim02,1,floyd_steinberg,aniso_onedge,-0.1097999999999999,-0.002690000000000081,31.0136,31.1234,0.93107,0.93376
2000,kodim16,0,floyd_steinberg,aniso_onedge,-0.10259999999999891,-0.005859999999999976,28.9332,29.0358,0.91689,0.92275
2000,kodim11,0,floyd_steinberg,aniso_onedge,-0.016500000000000625,-0.00544,26.8328,26.8493,0.90897,0.91441
2000,kodim01,1,floyd_steinberg,aniso_onedge,0.017099999999999227,0.00015999999999993797,23.4073,23.3902,0.87003,0.86987
2000,COCO_train2014_000000000034,1,floyd_steinberg,aniso_onedge,0.1366000000000014,-0.011070000000000024,17.6993,17.5627,0.7467,0.75777
2000,kodim10,0,floyd_steinberg,aniso_onedge,0.13840000000000074,-0.007290000000000019,30.8256,30.6872,0.9598,0.96709
2000,kodim09,0,floyd_steinberg,aniso_onedge,0.48160000000000025,0.0028599999999999737,31.0152,30.5336,0.96577,0.96291
2000,kodim12,1,floyd_steinberg,aniso_onedge,0.726700000000001,-0.005469999999999975,29.5648,28.8381,0.92672,0.93219
2000,kodim12,0,floyd_steinberg,aniso_onedge,0.9139000000000017,-0.0042799999999999505,30.1505,29.2366,0.92903,0.93331
2000,kodim19,0,iso_blue_noise,aniso_onedge,-2.275000000000002,-0.015070000000000028,25.3008,27.5758,0.90205,0.91712
2000,kodim01,0,iso_blue_noise,aniso_onedge,-1.6861999999999995,-0.027100000000000013,21.838,23.5242,0.84365,0.87075
2000,kodim03,0,iso_blue_noise,aniso_onedge,-1.6064000000000007,-0.004230000000000067,30.0946,31.701,0.9581,0.96233
2000,kodim14,0,iso_blue_noise,aniso_onedge,-1.4041999999999994,-0.019199999999999995,23.3075,24.7117,0.86956,0.88876
2000,kodim09,1,iso_blue_noise,aniso_onedge,-1.3661999999999992,-0.003650000000000042,29.6427,31.0089,0.96083,0.96448
2000,kodim16,1,iso_blue_noise,aniso_onedge,-1.3321000000000005,-0.018799999999999928,27.8587,29.1908,0.9059,0.9247
2000,kodim07,0,iso_blue_noise,aniso_onedge,-1.3122000000000007,-0.01091999999999993,25.7292,27.0414,0.93857,0.94949
2000,kodim19,1,iso_blue_noise,aniso_onedge,-1.2066000000000017,-0.007929999999999993,26.2229,27.4295,0.90949,0.91742
2000,kodim05,1,iso_blue_noise,aniso_onedge,-1.0471000000000004,-0.022030000000000105,20.3948,21.4419,0.82666,0.84869
2000,kodim06,0,iso_blue_noise,aniso_onedge,-1.011099999999999,-0.01966000000000001,24.1965,25.2076,0.85976,0.87942
2000,kodim02,0,iso_blue_noise,aniso_onedge,-0.9854999999999983,-0.007810000000000095,30.3809,31.3664,0.92863,0.93644
2000,kodim18,1,iso_blue_noise,aniso_onedge,-0.8918999999999997,-0.027579999999999938,23.4934,24.3853,0.85043,0.87801
2000,COCO_train2014_000000000009,0,iso_blue_noise,aniso_onedge,-0.6763999999999974,-0.0043800000000000505,24.2892,24.9656,0.94002,0.9444
2000,kodim08,1,iso_blue_noise,aniso_onedge,-0.6377000000000024,-0.006889999999999952,20.2324,20.8701,0.87844,0.88533
2000,COCO_train2014_000000000009,1,iso_blue_noise,aniso_onedge,-0.6157000000000004,-0.008159999999999945,24.3802,24.9959,0.93662,0.94478
2000,kodim10,1,iso_blue_noise,aniso_onedge,-0.6021000000000001,-0.004190000000000027,31.1369,31.739,0.96389,0.96808
2000,kodim01,1,iso_blue_noise,aniso_onedge,-0.5788000000000011,-0.006410000000000027,22.8114,23.3902,0.86346,0.86987
2000,kodim22,0,iso_blue_noise,aniso_onedge,-0.5435999999999979,-0.007499999999999951,27.0729,27.6165,0.89659,0.90409
2000,kodim21,0,iso_blue_noise,aniso_onedge,-0.5361000000000011,-0.0022299999999999542,24.4464,24.9825,0.92506,0.92729
2000,kodim14,1,iso_blue_noise,aniso_onedge,-0.5045999999999999,-0.00983999999999996,23.9038,24.4084,0.87685,0.88669
2000,kodim17,1,iso_blue_noise,aniso_onedge,-0.503300000000003,-0.005260000000000042,29.0525,29.5558,0.94916,0.95442
2000,kodim24,1,iso_blue_noise,aniso_onedge,-0.4908000000000001,-0.006250000000000089,21.56,22.0508,0.85098,0.85723
2000,kodim16,0,iso_blue_noise,aniso_onedge,-0.48359999999999914,-0.010109999999999952,28.5522,29.0358,0.91264,0.92275
2000,kodim06,1,iso_blue_noise,aniso_onedge,-0.47699999999999676,-0.015059999999999962,24.5572,25.0342,0.86289,0.87795
2000,kodim13,1,iso_blue_noise,aniso_onedge,-0.4754000000000005,-0.014900000000000024,19.9999,20.4753,0.78771,0.80261
2000,kodim20,1,iso_blue_noise,aniso_onedge,-0.4612000000000016,-0.0017499999999999183,29.0093,29.4705,0.95303,0.95478
2000,kodim11,1,iso_blue_noise,aniso_onedge,-0.4140000000000015,-0.008870000000000045,26.6805,27.0945,0.90959,0.91846
2000,kodim17,0,iso_blue_noise,aniso_onedge,-0.3952999999999989,-0.0029000000000000137,29.2805,29.6758,0.95161,0.95451
2000,kodim07,1,iso_blue_noise,aniso_onedge,-0.3862000000000023,-0.0036400000000000876,25.2857,25.6719,0.93763,0.94127
2000,COCO_train2014_000000000025,0,iso_blue_noise,aniso_onedge,-0.3739999999999988,-0.01039000000000001,19.1246,19.4986,0.81898,0.82937
2000,kodim13,0,iso_blue_noise,aniso_onedge,-0.37379999999999924,-0.013440000000000007,20.079,20.4528,0.78847,0.80191
2000,kodim11,0,iso_blue_noise,aniso_onedge,-0.35630000000000095,-0.006349999999999967,26.493,26.8493,0.90806,0.91441
2000,COCO_train2014_000000000030,0,iso_blue_noise,aniso_onedge,-0.32280000000000086,0.00017000000000000348,30.2687,30.5915,0.98028,0.98011
2000,kodim21,1,iso_blue_noise,aniso_onedge,-0.3191999999999986,-0.007319999999999993,24.3378,24.657,0.92011,0.92743
2000,kodim15,1,iso_blue_noise,aniso_onedge,-0.31590000000000273,-0.0019700000000000273,30.0342,30.3501,0.95034,0.95231
2000,kodim02,1,iso_blue_noise,aniso_onedge,-0.2776999999999994,-0.003369999999999984,30.8457,31.1234,0.93039,0.93376
2000,kodim24,0,iso_blue_noise,aniso_onedge,-0.26569999999999894,-0.0015000000000000568,21.7831,22.0488,0.85651,0.85801
2000,kodim22,1,iso_blue_noise,aniso_onedge,-0.2636000000000003,-0.004850000000000021,27.2408,27.5044,0.89806,0.90291
2000,COCO_train2014_000000000034,1,iso_blue_noise,aniso_onedge,-0.245000000000001,-0.00933000000000006,17.3177,17.5627,0.74844,0.75777
2000,kodim18,0,iso_blue_noise,aniso_onedge,-0.2339999999999982,-0.008460000000000023,24.0407,24.2747,0.86676,0.87522
2000,COCO_train2014_000000000025,1,iso_blue_noise,aniso_onedge,-0.2224999999999966,-0.007389999999999897,19.4139,19.6364,0.82854,0.83593
2000,COCO_train2014_000000000030,1,iso_blue_noise,aniso_onedge,-0.17539999999999978,-0.0006500000000000394,30.785,30.9604,0.98093,0.98158
2000,kodim23,0,iso_blue_noise,aniso_onedge,-0.12339999999999662,-0.0008399999999999519,33.8697,33.9931,0.97397,0.97481
2000,kodim15,0,iso_blue_noise,aniso_onedge,-0.10029999999999717,-0.0024899999999999922,30.1032,30.2035,0.94856,0.95105
2000,COCO_train2014_000000000034,0,iso_blue_noise,aniso_onedge,-0.09209999999999852,-0.007000000000000006,17.4675,17.5596,0.7535,0.7605
2000,kodim05,0,iso_blue_noise,aniso_onedge,-0.0876000000000019,-0.0022499999999999742,20.8431,20.9307,0.83562,0.83787
2000,kodim20,0,iso_blue_noise,aniso_onedge,-0.04980000000000118,0.0019700000000000273,29.2528,29.3026,0.95374,0.95177
2000,kodim03,1,iso_blue_noise,aniso_onedge,-0.04860000000000042,0.0007599999999999829,29.9199,29.9685,0.95806,0.9573
2000,kodim04,1,iso_blue_noise,aniso_onedge,-0.01770000000000138,-0.0015399999999999858,29.7552,29.7729,0.93098,0.93252
2000,kodim23,1,iso_blue_noise,aniso_onedge,-0.01729999999999876,-0.00032999999999994145,33.8113,33.8286,0.97353,0.97386
2000,kodim04,0,iso_blue_noise,aniso_onedge,-0.013400000000000745,-0.0019000000000000128,30.2498,30.2632,0.93381,0.93571
2000,kodim09,0,iso_blue_noise,aniso_onedge,0.19200000000000017,0.00013999999999991797,30.7256,30.5336,0.96305,0.96291
2000,kodim12,0,iso_blue_noise,aniso_onedge,0.308600000000002,-0.0007199999999999429,29.5452,29.2366,0.93259,0.93331
2000,kodim08,0,iso_blue_noise,aniso_onedge,0.4429000000000016,0.009099999999999997,20.8426,20.3997,0.88421,0.87511
2000,kodim10,0,iso_blue_noise,aniso_onedge,0.519400000000001,-0.003269999999999995,31.2066,30.6872,0.96382,0.96709
2000,kodim12,1,iso_blue_noise,aniso_onedge,1.3225999999999978,0.000160000000000049,30.1607,28.8381,0.93235,0.93219
2000,kodim09,1,quadtree_hybrid,aniso_onedge,-1.1853000000000016,-0.0034199999999999786,29.8236,31.0089,0.96106,0.96448
2000,kodim07,0,quadtree_hybrid,aniso_onedge,-1.1145999999999994,-0.005329999999999946,25.9268,27.0414,0.94416,0.94949
2000,kodim19,0,quadtree_hybrid,aniso_onedge,-0.884800000000002,-0.0008700000000000374,26.691,27.5758,0.91625,0.91712
2000,kodim19,1,quadtree_hybrid,aniso_onedge,-0.8755000000000024,-0.004730000000000012,26.554,27.4295,0.91269,0.91742
2000,kodim14,1,quadtree_hybrid,aniso_onedge,-0.816200000000002,-0.006900000000000017,23.5922,24.4084,0.87979,0.88669
2000,kodim20,1,quadtree_hybrid,aniso_onedge,-0.7315000000000005,-0.005979999999999985,28.739,29.4705,0.9488,0.95478
2000,kodim01,1,quadtree_hybrid,aniso_onedge,-0.718,-0.011079999999999979,22.6722,23.3902,0.85879,0.86987
2000,kodim24,1,quadtree_hybrid,aniso_onedge,-0.49569999999999936,0.0038799999999999946,21.5551,22.0508,0.86111,0.85723
2000,kodim10,1,quadtree_hybrid,aniso_onedge,-0.47109999999999985,-0.0013600000000000279,31.2679,31.739,0.96672,0.96808
2000,kodim18,0,quadtree_hybrid,aniso_onedge,-0.45289999999999964,-0.011140000000000039,23.8218,24.2747,0.86408,0.87522
2000,kodim08,1,quadtree_hybrid,aniso_onedge,-0.4430000000000014,-0.006189999999999918,20.4271,20.8701,0.87914,0.88533
2000,kodim17,0,quadtree_hybrid,aniso_onedge,-0.4109999999999978,-0.0022199999999999998,29.2648,29.6758,0.95229,0.95451
2000,kodim01,0,quadtree_hybrid,aniso_onedge,-0.3871000000000002,-0.0036000000000000476,23.1371,23.5242,0.86715,0.87075
2000,kodim20,0,quadtree_hybrid,aniso_onedge,-0.37020000000000053,-0.0010499999999999954,28.9324,29.3026,0.95072,0.95177
2000,kodim16,1,quadtree_hybrid,aniso_onedge,-0.366699999999998,-0.0043199999999999905,28.8241,29.1908,0.92038,0.9247
2000,kodim13,1,quadtree_hybrid,aniso_onedge,-0.35519999999999996,0.0004999999999999449,20.1201,20.4753,0.80311,0.80261
2000,kodim21,0,quadtree_hybrid,aniso_onedge,-0.3293000000000035,-0.0018199999999999328,24.6532,24.9825,0.92547,0.92729
2000,kodim15,1,quadtree_hybrid,aniso_onedge,-0.3291000000000004,-0.002809999999999979,30.021,30.3501,0.9495,0.95231
2000,kodim02,1,quadtree_hybrid,aniso_onedge,-0.31289999999999907,0.00031999999999998696,30.8105,31.1234,0.93408,0.93376
2000,kodim22,0,quadtree_hybrid,aniso_onedge,-0.2784999999999975,-0.004249999999999976,27.338,27.6165,0.89984,0.90409
2000,kodim17,1,quadtree_hybrid,aniso_onedge,-0.2599000000000018,-0.0015200000000000768,29.2959,29.5558,0.9529,0.95442
2000,kodim18,1,quadtree_hybrid,aniso_onedge,-0.24070000000000036,-0.007299999999999973,24.1446,24.3853,0.87071,0.87801
2000,kodim16,0,quadtree_hybrid,aniso_onedge,-0.23529999999999873,-0.0010000000000000009,28.8005,29.0358,0.92175,0.92275
2000,kodim11,1,quadtree_hybrid,aniso_onedge,-0.20690000000000097,-0.003410000000000024,26.8876,27.0945,0.91505,0.91846
2000,kodim02,0,quadtree_hybrid,aniso_onedge,-0.1875,-0.0016500000000000403,31.1789,31.3664,0.93479,0.93644
2000,kodim03,0,quadtree_hybrid,aniso_onedge,-0.18149999999999977,0.00017999999999995797,31.5195,31.701,0.96251,0.96233
2000,COCO_train2014_000000000030,1,quadtree_hybrid,aniso_onedge,-0.17190000000000083,-0.0005500000000000504,30.7885,30.9604,0.98103,0.98158
2000,COCO_train2014_000000000009,1,quadtree_hybrid,aniso_onedge,-0.16109999999999758,-0.0008999999999999009,24.8348,24.9959,0.94388,0.94478
2000,kodim08,0,quadtree_hybrid,aniso_onedge,-0.153299999999998,-0.002690000000000081,20.2464,20.3997,0.87242,0.87511
2000,kodim22,1,quadtree_hybrid,aniso_onedge,-0.1385000000000005,-0.003149999999999986,27.3659,27.5044,0.89976,0.90291
2000,COCO_train2014_000000000025,0,quadtree_hybrid,aniso_onedge,-0.134999999999998,-0.0011500000000000954,19.3636,19.4986,0.82822,0.82937
2000,kodim23,0,quadtree_hybrid,aniso_onedge,-0.12979999999999592,-0.0006099999999999994,33.8633,33.9931,0.9742,0.97481
2000,COCO_train2014_000000000034,1,quadtree_hybrid,aniso_onedge,-0.12199999999999989,0.00034999999999996145,17.4407,17.5627,0.75812,0.75777
2000,COCO_train2014_000000000025,1,quadtree_hybrid,aniso_onedge,-0.11319999999999908,-0.0010199999999999099,19.5232,19.6364,0.83491,0.83593
2000,COCO_train2014_000000000009,0,quadtree_hybrid,aniso_onedge,-0.11049999999999827,-0.0024500000000000632,24.8551,24.9656,0.94195,0.9444
2000,kodim15,0,quadtree_hybrid,aniso_onedge,-0.10909999999999798,0.0005700000000000705,30.0944,30.2035,0.95162,0.95105
