image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,color_solve_every,color_solve_lambda,color_solve_maxiter,early_exit,early_exit_window,early_exit_min_delta,early_exit_min_iters,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,aniso_flanking,aniso_flanking,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,30.4281,0.90188,0.98345,,28.841805121702755,observed,,5000,500,False,,0.9887256622314453,0.779015302658081
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,quadtree_aggregate,quadtree_aggregate,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.4705,0.90236,0.98399,,28.790967543760615,observed,,5000,500,False,,0.1011197566986084,0.8001818656921387
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,quadtree_hybrid,quadtree_hybrid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.6128,0.90622,0.98474,,29.000094887727727,observed,,5000,500,False,,0.8482508659362793,0.7838127613067627
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,quadtree_wse,quadtree_wse,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.5084,0.90421,0.98403,,28.92482836690838,observed,,5000,500,False,,1.3986256122589111,0.7895398139953613
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,30.3122,0.90052,0.98335,,28.71315962995938,observed,,5000,500,False,,0.10339879989624023,0.8030672073364258
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,density_random,iso_blue_noise,density_random,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.4033,0.90144,0.98393,,28.54862135350107,observed,,5000,500,False,,0.008251428604125977,0.7817096710205078
kodim01,results/datasets/abl004/kodak24/kodim01.png,256,384,384,random_relocate,random,wse,relocate,250,64,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,30.7867,0.91617,0.98788,,28.68123243328087,observed,,5000,500,False,,0.004701852798461914,0.8265583515167236
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,random,random,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.6277,0.87291,0.97302,,29.235436317199216,observed,,2000,500,False,,0.0005977153778076172,0.8198645114898682
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,grid,grid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.1299,0.8763,0.97444,,29.41778660202791,observed,,2000,500,False,,0.0009779930114746094,0.7604751586914062
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,iso_blue_noise,iso_blue_noise,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.942,0.87014,0.97131,,30.51621336927395,observed,,2000,500,False,,0.24837398529052734,0.788475751876831
