image,source_path,final_budget,seed,method,terminal_iter,selected_iter,terminal_n_gaussians,selected_n_gaussians,selected_from_checkpoint,terminal_psnr,selected_psnr,gain_psnr,terminal_ssim,selected_ssim,gain_ssim,terminal_ms_ssim,selected_ms_ssim,gain_ms_ssim,terminal_lpips,selected_lpips,gain_lpips
COCO_train2014_000000000009,tests/test_images/COCO_train2014_000000000009.jpg,640,0,structsplat_best_checkpoint,500,500,640,640,False,27.39400863647461,27.39400863647461,0.0,0.9012398719787598,0.9012398719787598,0.0,0.9822258949279785,0.9822258949279785,0.0,0.057932429015636444,0.057932429015636444,-0.0
COCO_train2014_000000000009,tests/test_images/COCO_train2014_000000000009.jpg,640,1,structsplat_best_checkpoint,500,500,640,640,False,27.11980628967285,27.11980628967285,0.0,0.8997285962104797,0.8997285962104797,0.0,0.9817415475845337,0.9817415475845337,0.0,0.06466230005025864,0.06466230005025864,-0.0
COCO_train2014_000000000025,tests/test_images/COCO_train2014_000000000025.jpg,640,0,structsplat_best_checkpoint,500,500,640,640,False,25.3398494720459,25.3398494720459,0.0,0.8271183371543884,0.8271183371543884,0.0,0.9669419527053833,0.9669419527053833,0.0,0.18618912994861603,0.18618912994861603,-0.0
COCO_train2014_000000000025,tests/test_images/COCO_train2014_000000000025.jpg,640,1,structsplat_best_checkpoint,500,500,640,640,False,25.309734344482422,25.309734344482422,0.0,0.8224509358406067,0.8224509358406067,0.0,0.9660475850105286,0.9660475850105286,0.0,0.2040071338415146,0.2040071338415146,-0.0
COCO_train2014_000000000030,tests/test_images/COCO_train2014_000000000030.jpg,640,0,structsplat_best_checkpoint,500,500,640,640,False,33.97090148925781,33.97090148925781,0.0,0.9522427320480347,0.9522427320480347,0.0,0.9911155104637146,0.9911155104637146,0.0,0.03291371092200279,0.03291371092200279,-0.0
COCO_train2014_000000000030,tests/test_images/COCO_train2014_000000000030.jpg,640,1,structsplat_best_checkpoint,500,500,640,640,False,33.660301208496094,33.660301208496094,0.0,0.9511956572532654,0.9511956572532654,0.0,0.9905276894569397,0.9905276894569397,0.0,0.03477439284324646,0.03477439284324646,-0.0
COCO_train2014_000000000034,tests/test_images/COCO_train2014_000000000034.jpg,640,0,structsplat_best_checkpoint,500,500,640,640,False,24.245189666748047,24.245189666748047,0.0,0.7639985084533691,0.7639985084533691,0.0,0.9437133073806763,0.9437133073806763,0.0,0.08918070048093796,0.08918070048093796,-0.0
COCO_train2014_000000000034,tests/test_images/COCO_train2014_000000000034.jpg,640,1,structsplat_best_checkpoint,500,476,640,640,True,24.099882125854492,24.152809143066406,0.05292701721191406,0.7557016611099243,0.7546809911727905,-0.001020669937133789,0.9426538348197937,0.9440286159515381,0.0013747811317443848,0.110195592045784,0.11796405911445618,-0.00776846706867218
