image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,color_solve_every,color_solve_lambda,color_solve_maxiter,early_exit,early_exit_window,early_exit_min_delta,early_exit_min_iters,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,31.1353,0.81277,0.93414,,31.009394403296046,observed,,2000,1500,False,,0.3856942653656006,6.067870140075684
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,31.1622,0.8138,0.93488,,30.98192946603888,observed,,2000,1500,False,,0.3151125907897949,5.375044584274292
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.3664,0.81389,0.93644,,31.024173281048043,observed,,2000,1500,False,,0.32538366317749023,5.594297647476196
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,31.1234,0.8141,0.93376,,30.973554278469784,observed,,2000,1500,False,,0.3264951705932617,5.38136887550354
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,30.9594,0.80196,0.93088,,30.453286963673413,observed,,2000,1500,False,,0.39075160026550293,5.582062482833862
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,31.0136,0.80176,0.93107,,30.517034343594787,observed,,2000,1500,False,,0.39388036727905273,5.537502288818359
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.3809,0.80681,0.92863,,30.71552142944234,observed,,2000,1500,False,,0.24643754959106445,5.442065715789795
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,30.8457,0.80804,0.93039,,30.69682692845238,observed,,2000,1500,False,,0.26422953605651855,5.278260946273804
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.1789,0.81427,0.93479,,30.930776401389988,observed,,2000,1500,False,,0.3124125003814697,5.4651288986206055
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,30.8105,0.8144,0.93408,,30.85037687096777,observed,,2000,1500,False,,0.3027944564819336,5.285276174545288
