image,budget,seed,strategy,psnr_arm,ms_ssim_arm,edge_mae_arm,auc_psnr_arm,fit_seconds_arm,total_seconds_arm,iterations_run_arm,init_seconds_arm,psnr_single,ms_ssim_single,edge_mae_single,auc_psnr_single,fit_seconds_single,total_seconds_single,iterations_run_single,init_seconds_single,d_psnr,d_ms_ssim,d_edge_mae,d_auc_psnr,d_fit_seconds,d_total_seconds,d_iterations_run,d_init_seconds,arm
kodim01,2000,0,aniso_onedge,23.7477,0.87546,0.063726,21.50808143552102,4.8677637577056885,5.214617729187012,1500,0.3468539714813232,23.7503,0.87658,0.06031,23.605956143741214,5.294164419174194,6.168208360671997,1500,0.3555405139923095,-0.002600000000001046,-0.0011200000000000099,0.0034160000000000024,-2.0978747082201927,-0.42640066146850586,-0.9535906314849854,0,-0.008686542510986328,pyramid_frac10_cosine
kodim01,2000,0,quadtree_wse,23.6205,0.87229,0.064926,21.140898615459825,4.901222467422485,5.603570938110352,1500,0.7023484706878662,23.5556,0.87046,0.060476,23.61961273195904,5.038330793380737,5.772238969802856,1500,0.7285842895507812,0.06490000000000151,0.0018299999999999983,0.004449999999999996,-2.4787141164992157,-0.13710832595825195,-0.168668031692504,0,-0.02623581886291504,pyramid_frac10_cosine
kodim01,5000,0,aniso_onedge,25.6919,0.93469,0.049586,23.011588083258307,4.869091987609863,5.717031240463257,1500,0.8479392528533936,25.5663,0.92724,0.046787,25.429016622246863,4.64297342300415,5.516396999359131,1500,0.8697187900543213,0.12560000000000215,0.007450000000000068,0.002798999999999996,-2.417428538988556,0.2261185646057129,0.20063424110412598,0,-0.021779537200927734,pyramid_frac10_cosine
kodim01,5000,0,quadtree_wse,25.5751,0.93275,0.050366,23.01804171123848,4.992748975753784,6.349848985671997,1500,1.357100009918213,25.4443,0.92602,0.047108,25.4952709154736,4.752824306488037,6.3940370082855225,1500,1.6373190879821775,0.1308000000000007,0.006730000000000014,0.003258000000000004,-2.477229204235119,0.23992466926574707,-0.04418802261352539,0,-0.2802190780639646,pyramid_frac10_cosine
kodim07,2000,0,aniso_onedge,28.6223,0.95781,0.040097,24.19530745869561,5.069267272949219,5.410562515258789,1500,0.3412952423095703,25.6996,0.9395,0.039506,27.554972610448186,4.873820781707764,5.180243253707886,1500,0.3026084899902344,2.922699999999999,0.01831000000000005,0.0005910000000000012,-3.3596651517525764,0.19544649124145508,0.23031926155090332,0,0.03868675231933594,pyramid_frac10_cosine
kodim07,2000,0,quadtree_wse,28.7152,0.95767,0.039842,24.222662064932123,5.241100549697876,5.965317010879517,1500,0.7242164611816406,25.4897,0.93821,0.039455,27.739478468179225,4.683631181716919,5.391913414001465,1500,0.7042114734649658,3.2255000000000003,0.019460000000000033,0.0003870000000000054,-3.516816403247102,0.557469367980957,0.5734035968780518,0,0.020004987716674805,pyramid_frac10_cosine
kodim07,5000,0,aniso_onedge,33.2507,0.98684,0.023013,27.675291460303168,5.461501359939575,6.447861671447754,1500,0.9863603115081788,32.6475,0.98555,0.019218,33.00327685358049,4.837054252624512,5.783649682998657,1500,0.9428839683532716,0.6032000000000011,0.0012900000000000134,0.0037949999999999998,-5.32798539327732,0.6244471073150635,0.6642119884490967,0,0.04347634315490723,pyramid_frac10_cosine
kodim07,5000,0,quadtree_wse,33.3921,0.98707,0.022796,27.70568918720573,5.30178427696228,6.72606086730957,1500,1.42427659034729,33.3024,0.98652,0.019556,33.19543841682012,4.933730363845825,6.480473279953003,1500,1.5417728424072266,0.08970000000000056,0.0005500000000000504,0.00324,-5.489749229614386,0.3680539131164551,0.24558758735656738,0,-0.11749625205993652,pyramid_frac10_cosine
kodim13,2000,0,aniso_onedge,20.5061,0.81286,0.096575,19.10952224502411,5.513711452484131,5.826722145080566,1500,0.3130106925964355,20.2951,0.79866,0.095207,20.46915054321289,5.258689880371094,5.549558877944946,1500,0.2858781814575195,0.21099999999999852,0.01419999999999999,0.0013679999999999942,-1.359628298188781,0.2550215721130371,0.2771632671356201,0,0.027132511138916016,pyramid_frac10_cosine
kodim13,2000,0,quadtree_wse,20.4093,0.81119,0.097885,19.057007024890986,5.5037877559661865,6.090566635131836,1500,0.5867788791656494,20.3094,0.79853,0.095377,20.4346803763137,4.99826979637146,5.582338333129883,1500,0.5792059898376465,0.09990000000000165,0.012660000000000005,0.0025079999999999963,-1.3776733514227146,0.5055179595947266,0.5082283020019531,0,0.00757288932800293,pyramid_frac10_cosine
