image,budget,seed,strategy,psnr_arm,ms_ssim_arm,edge_mae_arm,auc_psnr_arm,fit_seconds_arm,total_seconds_arm,iterations_run_arm,psnr_single,ms_ssim_single,edge_mae_single,auc_psnr_single,fit_seconds_single,total_seconds_single,iterations_run_single,psnr_pyramid_split_1500,ms_ssim_pyramid_split_1500,edge_mae_pyramid_split_1500,auc_psnr_pyramid_split_1500,fit_seconds_pyramid_split_1500,total_seconds_pyramid_split_1500,iterations_run_pyramid_split_1500,d_psnr_vs_single,d_psnr_vs_pyramid_split_1500,d_ms_ssim_vs_single,d_ms_ssim_vs_pyramid_split_1500,d_edge_mae_vs_single,d_edge_mae_vs_pyramid_split_1500,d_auc_psnr_vs_single,d_auc_psnr_vs_pyramid_split_1500,d_fit_seconds_vs_single,d_fit_seconds_vs_pyramid_split_1500,d_total_seconds_vs_single,d_total_seconds_vs_pyramid_split_1500,d_iterations_run_vs_single,d_iterations_run_vs_pyramid_split_1500,arm
kodim01,2000,0,aniso_onedge,23.9101,0.88684,0.060435,23.48845134376287,5.302514553070068,5.651482582092285,1500,23.7503,0.87658,0.06031,23.605956143741214,5.294164419174194,6.168208360671997,1500,24.1362,0.89063,0.060218,22.687066508261974,5.147613048553467,5.467252254486084,1500,0.1598000000000006,-0.22609999999999886,0.010259999999999936,-0.003790000000000071,0.0001250000000000001,0.00021700000000000191,-0.11750479997834518,0.8013848355008939,0.008350133895874023,0.15490150451660156,-0.5167257785797119,0.18423032760620117,0,0,pyramid_leveliters_150_1350
kodim01,2000,0,quadtree_wse,23.7351,0.88023,0.060732,23.330094855972096,5.1539294719696045,5.875890970230103,1500,23.5556,0.87046,0.060476,23.61961273195904,5.038330793380737,5.772238969802856,1500,23.7373,0.88002,0.061619,22.445425908990188,4.969363689422607,5.66556715965271,1500,0.17950000000000088,-0.002200000000001978,0.009769999999999945,0.00020999999999993246,0.0002559999999999993,-0.0008869999999999989,-0.28951787598694523,0.8846689469819076,0.11559867858886719,0.18456578254699707,0.10365200042724787,0.21032381057739347,0,0,pyramid_leveliters_150_1350
kodim01,5000,0,aniso_onedge,26.302,0.94419,0.045747,25.485806218300603,5.560667276382446,6.370119333267212,1500,25.5663,0.92724,0.046787,25.429016622246863,4.64297342300415,5.516396999359131,1500,26.293,0.94454,0.04583,24.468254164427897,5.119870185852051,5.970786094665527,1500,0.7357000000000014,0.009000000000000341,0.01695000000000002,-0.0003500000000000725,-0.0010399999999999993,-8.299999999999974e-05,0.0567895960537399,1.0175520538727056,0.9176938533782959,0.4407970905303955,0.853722333908081,0.39933323860168457,0,0,pyramid_leveliters_150_1350
kodim01,5000,0,quadtree_wse,26.2073,0.94302,0.045979,25.44626421861604,5.510696649551392,7.119144439697266,1500,25.4443,0.92602,0.047108,25.4952709154736,4.752824306488037,6.3940370082855225,1500,26.0797,0.9416,0.046198,24.409721141023745,5.1878955364227295,6.660300731658936,1500,0.7630000000000017,0.12760000000000105,0.017000000000000015,0.0014199999999999768,-0.001128999999999998,-0.00021900000000000391,-0.04900669685756043,1.0365430775922952,0.7578723430633545,0.3228011131286621,0.7251074314117432,0.4588437080383292,0,0,pyramid_leveliters_150_1350
kodim07,2000,0,aniso_onedge,27.7333,0.95943,0.039201,28.08983795987995,5.22599983215332,5.546000480651856,1500,25.6996,0.9395,0.039506,27.554972610448186,4.873820781707764,5.180243253707886,1500,27.7158,0.95996,0.037306,26.40125443316683,5.254045009613037,5.549288749694824,1500,2.0336999999999996,0.017499999999998295,0.019930000000000003,-0.0005300000000000304,-0.0003049999999999997,0.0018950000000000009,0.5348653494317652,1.6885835267131206,0.35217905044555664,-0.028045177459716797,0.3657572269439706,-0.003288269042967862,0,0,pyramid_leveliters_150_1350
kodim07,2000,0,quadtree_wse,28.4455,0.96352,0.035377,28.34836022324209,5.387488126754761,6.098232984542847,1500,25.4897,0.93821,0.039455,27.739478468179225,4.683631181716919,5.391913414001465,1500,29.8606,0.9709,0.03413,26.806940389840584,4.869863271713257,5.592299699783325,1500,2.9558,-1.4151000000000025,0.025310000000000055,-0.007379999999999942,-0.004077999999999998,0.0012469999999999981,0.608881755062864,1.5414198334015055,0.7038569450378418,0.5176248550415039,0.7063195705413818,0.5059332847595215,0,0,pyramid_leveliters_150_1350
kodim07,5000,0,aniso_onedge,35.041,0.99119,0.01822,33.18766636558976,5.5765767097473145,6.454383611679077,1500,32.6475,0.98555,0.019218,33.00327685358049,4.837054252624512,5.783649682998657,1500,34.0212,0.98974,0.020759,30.264150437551628,5.374202728271484,6.274491786956787,1500,2.393499999999996,1.0197999999999965,0.005639999999999978,0.0014500000000000624,-0.0009979999999999989,-0.0025389999999999996,0.18438951200927534,2.9235159280381353,0.7395224571228027,0.20237398147583008,0.6707339286804199,0.17989182472229004,0,0,pyramid_leveliters_150_1350
kodim07,5000,0,quadtree_wse,35.173,0.99129,0.018014,33.225459943062624,5.766650199890137,7.334004163742065,1500,33.3024,0.98652,0.019556,33.19543841682012,4.933730363845825,6.480473279953003,1500,34.5329,0.99033,0.019536,30.24234741572303,5.4842681884765625,7.052940607070923,1500,1.8706000000000031,0.6401000000000039,0.004770000000000052,0.0009599999999999609,-0.0015420000000000017,-0.0015220000000000025,0.03002152624250698,2.9831125273395926,0.8329198360443115,0.2823820114135742,0.8535308837890625,0.2810635566711426,0,0,pyramid_leveliters_150_1350
kodim13,2000,0,aniso_onedge,20.6176,0.81969,0.09517,20.266207059436518,5.70342230796814,6.031962156295776,1500,20.2951,0.79866,0.095207,20.46915054321289,5.258689880371094,5.549558877944946,1500,20.5919,0.81709,0.094991,19.721924434430285,5.346482038497925,5.639872074127197,1500,0.322499999999998,0.0257000000000005,0.021029999999999993,0.0026000000000000467,-3.699999999999537e-05,0.0001789999999999986,-0.20294348377637306,0.5442826250062325,0.4447324275970459,0.35694026947021484,0.4824032783508301,0.3920900821685791,0,0,pyramid_leveliters_150_1350
kodim13,2000,0,quadtree_wse,20.6409,0.82119,0.094741,20.250425836259005,6.1040003299713135,6.7105934619903564,1500,20.3094,0.79853,0.095377,20.4346803763137,4.99826979637146,5.582338333129883,1500,20.6606,0.81784,0.094436,19.73753641508992,5.552552700042725,6.127247095108032,1500,0.33149999999999835,-0.019700000000000273,0.022660000000000013,0.003349999999999964,-0.0006359999999999977,0.0003049999999999997,-0.18425454005469533,0.5128894211690849,1.1057305335998535,0.5514476299285889,1.1282551288604736,0.5833463668823242,0,0,pyramid_leveliters_150_1350
kodim13,5000,0,aniso_onedge,22.7288,0.89816,0.071993,22.09210760423229,6.107606649398804,7.007405519485474,1500,22.4098,0.88515,0.071843,22.306260532661625,5.054528474807739,5.920515537261963,1500,22.6886,0.89606,0.072652,21.223221249545396,5.255638599395752,6.075949907302856,1500,0.31899999999999906,0.04019999999999868,0.013009999999999966,0.0020999999999999908,0.00014999999999999736,-0.0006589999999999929,-0.21415292842933553,0.868886354686893,1.0530781745910645,0.8519680500030518,1.0868899822235107,0.9314556121826181,0,0,pyramid_leveliters_150_1350
kodim13,5000,0,quadtree_wse,22.6911,0.89653,0.072404,22.06075622718918,6.241914987564087,7.557553768157959,1500,22.5342,0.8817,0.071954,22.362625232134125,4.793936014175415,6.148894786834717,1500,22.6587,0.89507,0.072789,21.1808876994453,5.765066862106323,7.034983158111572,1500,0.15690000000000026,0.032399999999999096,0.01483000000000001,0.0014600000000000168,0.0004499999999999921,-0.00038500000000001033,-0.30186900494494395,0.8798685277438807,1.4479789733886719,0.47684812545776367,1.4086589813232422,0.5225706100463867,0,0,pyramid_leveliters_150_1350
kodim19,2000,0,aniso_onedge,28.0632,0.92706,0.040095,27.07955471176239,5.908025026321411,6.244471311569214,1500,26.3971,0.91357,0.042944,27.00616674887649,5.33757209777832,5.678576707839966,1500,27.8494,0.92646,0.04083,25.650596739531675,5.424733400344849,5.799237489700317,1500,1.6661000000000001,0.2137999999999991,0.013490000000000002,0.0006000000000000449,-0.0028490000000000043,-0.0007349999999999995,0.07338796288590288,1.428957972230716,0.5704529285430908,0.4832916259765625,0.565894603729248,0.4452338218688965,0,0,pyramid_leveliters_150_1350
kodim19,2000,0,quadtree_wse,28.1841,0.92701,0.040114,26.98927645527418,5.673535108566284,6.317094802856445,1500,27.3506,0.91544,0.040552,27.23501476532145,5.438495397567749,6.046844244003296,1500,27.7448,0.92427,0.041537,25.561646351423004,5.428826332092285,6.064196586608887,1500,0.8335000000000008,0.43929999999999936,0.01156999999999997,0.0027399999999999647,-0.0004380000000000009,-0.0014230000000000007,-0.24573831004726898,1.4276301038511754,0.23503971099853516,0.24470877647399902,0.2702505588531494,0.2528982162475586,0,0,pyramid_leveliters_150_1350
kodim19,5000,0,aniso_onedge,31.2547,0.96357,0.026064,29.99207442947194,6.722237348556519,7.584877490997314,1500,30.045,0.95238,0.027299,29.83786584537295,6.12729287147522,7.164724349975586,1500,31.2694,0.96402,0.026271,28.481836955176743,6.1327784061431885,7.107537269592285,1500,1.209699999999998,-0.014700000000001268,0.011190000000000033,-0.00044999999999995044,-0.001235,-0.00020699999999999885,0.15420858409899196,1.5102374742951987,0.5949444770812997,0.589458942413331,0.4201531410217276,0.4773402214050284,0,0,pyramid_leveliters_150_1350
kodim19,5000,0,quadtree_wse,31.3258,0.96316,0.025788,30.019452142111057,6.644978046417236,8.00330400466919,1500,30.2945,0.95355,0.026776,30.03922332422665,6.180785179138184,7.478650093078613,1500,31.252,0.96437,0.026279,28.387359114628463,5.93076491355896,7.214878559112549,1500,1.0313000000000017,0.07380000000000209,0.009610000000000007,-0.0012099999999999334,-0.0009880000000000028,-0.0004910000000000019,-0.019771182115594144,1.6320930274825933,0.46419286727905273,0.7142131328582764,0.5246539115905762,0.7884254455566406,0,0,pyramid_leveliters_150_1350
kodim01,2000,0,aniso_onedge,23.9705,0.88996,0.060762,23.40601036435688,5.840288639068604,6.737584114074707,1500,23.7503,0.87658,0.06031,23.605956143741214,5.294164419174194,6.168208360671997,1500,24.1362,0.89063,0.060218,22.687066508261974,5.147613048553467,5.467252254486084,1500,0.22020000000000195,-0.16569999999999752,0.013379999999999947,-0.0006700000000000594,0.0004519999999999941,0.0005439999999999959,-0.19994577938433267,0.7189438560949064,0.5461242198944101,0.6926755905151376,0.56937575340271,1.270331859588623,0,0,pyramid_leveliters_200_1300
kodim01,2000,0,quadtree_wse,23.6893,0.88272,0.061041,23.157751078284367,4.870802879333496,5.581457614898682,1500,23.5556,0.87046,0.060476,23.61961273195904,5.038330793380737,5.772238969802856,1500,23.7373,0.88002,0.061619,22.445425908990188,4.969363689422607,5.66556715965271,1500,0.13370000000000104,-0.04800000000000182,0.012259999999999938,0.0026999999999999247,0.0005649999999999961,-0.0005780000000000021,-0.46186165367467424,0.7123251692941786,-0.1675279140472412,-0.09856081008911133,-0.19078135490417392,-0.08410954475402832,0,0,pyramid_leveliters_200_1300
kodim01,5000,0,aniso_onedge,26.2269,0.94404,0.045868,25.375091242265352,5.044231176376343,5.809987306594849,1500,25.5663,0.92724,0.046787,25.429016622246863,4.64297342300415,5.516396999359131,1500,26.293,0.94454,0.04583,24.468254164427897,5.119870185852051,5.970786094665527,1500,0.6606000000000023,-0.06609999999999872,0.016800000000000037,-0.000500000000000056,-0.0009190000000000031,3.799999999999637e-05,-0.0539253799815107,0.906837077837455,0.4012577533721924,-0.07563900947570801,0.2935903072357178,-0.1607987880706787,0,0,pyramid_leveliters_200_1300
kodim01,5000,0,quadtree_wse,26.0463,0.94167,0.04606,25.290830554923986,4.990396499633789,6.564410924911499,1500,25.4443,0.92602,0.047108,25.4952709154736,4.752824306488037,6.3940370082855225,1500,26.0797,0.9416,0.046198,24.409721141023745,5.1878955364227295,6.660300731658936,1500,0.6020000000000003,-0.03340000000000032,0.015650000000000053,7.00000000000145e-05,-0.0010480000000000003,-0.00013800000000000617,-0.204440360549615,0.8811094139002407,0.23757219314575195,-0.19749903678894043,0.17037391662597656,-0.09588980674743741,0,0,pyramid_leveliters_200_1300
kodim07,2000,0,aniso_onedge,26.3028,0.95126,0.037624,27.641324762187853,5.393197298049927,5.709882974624634,1500,25.6996,0.9395,0.039506,27.554972610448186,4.873820781707764,5.180243253707886,1500,27.7158,0.95996,0.037306,26.40125443316683,5.254045009613037,5.549288749694824,1500,0.6032000000000011,-1.4130000000000003,0.011759999999999993,-0.008700000000000041,-0.0018820000000000017,0.00031799999999999884,0.0863521517396677,1.240070329021023,0.5193765163421631,0.13915228843688965,0.529639720916748,0.16059422492980957,0,0,pyramid_leveliters_200_1300
