arm,psnr,ms_ssim,edge_mae,auc_psnr,fit_seconds,total_seconds,iterations_run
pyramid_leveliters_150_1350,27.00334375,0.923505,0.049379625,26.20948722463516,5.786890164017677,6.619157567620277,1500.0
pyramid_split_1500,26.94325625,0.92330625,0.0497113125,24.85438558489104,5.3902478069067,6.206051826477051,1500.0
pyramid_leveliters_200_1300,26.900356249999998,0.92309875,0.049306,26.07644953478806,5.687908247113228,6.549562230706215,1500.0
pyramid_leveliters_375_1125,26.8901625,0.92244625,0.0492950625,25.695746406902863,5.55223822593689,6.382172271609306,1500.0
pyramid_leveliters_300_1200,26.8870625,0.922238125,0.0493600625,25.851720718561293,5.626731783151627,6.486402213573456,1500.0
pyramid_leveliters_500_1000,26.7889875,0.92155375,0.0497398125,25.383971495736514,5.442225739359856,6.267208218574524,1500.0
single_1500,25.9432125,0.90931625,0.050273,26.20837563316054,5.1403812021017075,6.016078993678093,1500.0
