arm,pairs,d_psnr_vs_single_mean,d_psnr_vs_single_median,d_psnr_vs_single_min,d_psnr_vs_single_max,psnr_wins_vs_single,d_ms_ssim_vs_single_mean,d_ms_ssim_vs_single_median,d_ms_ssim_vs_single_min,d_ms_ssim_vs_single_max,ms_ssim_wins_vs_single,d_edge_mae_vs_single_mean,d_edge_mae_vs_single_median,d_edge_mae_vs_single_min,d_edge_mae_vs_single_max,edge_mae_wins_vs_single,d_auc_psnr_vs_single_mean,d_auc_psnr_vs_single_median,d_auc_psnr_vs_single_min,d_auc_psnr_vs_single_max,auc_psnr_wins_vs_single,d_fit_seconds_vs_single_mean,d_fit_seconds_vs_single_median,d_fit_seconds_vs_single_min,d_fit_seconds_vs_single_max,fit_seconds_wins_vs_single,d_total_seconds_vs_single_mean,d_total_seconds_vs_single_median,d_total_seconds_vs_single_min,d_total_seconds_vs_single_max,total_seconds_wins_vs_single,d_iterations_run_vs_single_mean,d_iterations_run_vs_single_median,d_iterations_run_vs_single_min,d_iterations_run_vs_single_max,iterations_run_wins_vs_single,d_psnr_vs_pyramid_split_1500_mean,d_psnr_vs_pyramid_split_1500_median,d_psnr_vs_pyramid_split_1500_min,d_psnr_vs_pyramid_split_1500_max,psnr_wins_vs_pyramid_split_1500,d_ms_ssim_vs_pyramid_split_1500_mean,d_ms_ssim_vs_pyramid_split_1500_median,d_ms_ssim_vs_pyramid_split_1500_min,d_ms_ssim_vs_pyramid_split_1500_max,ms_ssim_wins_vs_pyramid_split_1500,d_edge_mae_vs_pyramid_split_1500_mean,d_edge_mae_vs_pyramid_split_1500_median,d_edge_mae_vs_pyramid_split_1500_min,d_edge_mae_vs_pyramid_split_1500_max,edge_mae_wins_vs_pyramid_split_1500,d_auc_psnr_vs_pyramid_split_1500_mean,d_auc_psnr_vs_pyramid_split_1500_median,d_auc_psnr_vs_pyramid_split_1500_min,d_auc_psnr_vs_pyramid_split_1500_max,auc_psnr_wins_vs_pyramid_split_1500,d_fit_seconds_vs_pyramid_split_1500_mean,d_fit_seconds_vs_pyramid_split_1500_median,d_fit_seconds_vs_pyramid_split_1500_min,d_fit_seconds_vs_pyramid_split_1500_max,fit_seconds_wins_vs_pyramid_split_1500,d_total_seconds_vs_pyramid_split_1500_mean,d_total_seconds_vs_pyramid_split_1500_median,d_total_seconds_vs_pyramid_split_1500_min,d_total_seconds_vs_pyramid_split_1500_max,total_seconds_wins_vs_pyramid_split_1500,d_iterations_run_vs_pyramid_split_1500_mean,d_iterations_run_vs_pyramid_split_1500_median,d_iterations_run_vs_pyramid_split_1500_min,d_iterations_run_vs_pyramid_split_1500_max,iterations_run_wins_vs_pyramid_split_1500
pyramid_leveliters_150_1350,16,1.06013125,0.7982500000000012,0.15690000000000026,2.9558,16,0.01418875,0.013249999999999984,0.004770000000000052,0.025310000000000055,16,-0.0008933750000000005,-0.0008120000000000002,-0.004077999999999998,0.0004499999999999921,12,0.0011115914746240296,-0.034388939486577286,-0.30186900494494395,0.608881755062864,7,0.6465089619159698,0.6494007110595708,0.008350133895874023,1.4479789733886719,16,0.6030785739421846,0.618314266204834,-0.5167257785797119,1.4086589813232422,15,0.0,0.0,0,0,0,0.06008749999999963,0.029049999999999798,-1.4151000000000025,1.0197999999999965,11,0.00019874999999999754,0.0007800000000000029,-0.007379999999999942,0.003349999999999964,10,-0.0003316875000000006,-0.0003020000000000071,-0.0025389999999999996,0.0018950000000000009,11,1.3551016397441207,1.2320865907217353,0.5128894211690849,2.9831125273395926,16,0.39664235711097723,0.3988686800003052,-0.028045177459716797,0.8519680500030518,15,0.4131057411432267,0.4222835302352905,-0.003288269042967862,0.9314556121826181,15,0.0,0.0,0,0,0
pyramid_leveliters_200_1300,16,0.9571437500000002,0.6106499999999997,0.13370000000000104,3.262900000000002,16,0.01378249999999999,0.012779999999999958,0.0047200000000000575,0.025939999999999963,16,-0.0009670000000000013,-0.0007775000000000004,-0.004258999999999999,0.0005649999999999961,12,-0.1319260983724755,-0.18215269498462128,-0.46186165367467424,0.521867955025229,2,0.5475270450115204,0.536674022674561,-0.1675279140472412,1.301928997039795,15,0.533483237028122,0.549507737159729,-0.19078135490417392,1.2599146366119385,15,0.0,0.0,0,0,0,-0.04290000000000016,0.0129999999999999,-1.4130000000000003,0.974499999999999,9,-0.00020750000000001323,0.00014999999999998348,-0.008700000000000041,0.005220000000000002,9,-0.0004053125000000014,-0.00035800000000000415,-0.002291999999999999,0.0010659999999999975,10,1.2220639498970212,1.073453703429239,0.49819666294354903,2.8089431968826375,16,0.29766044020652777,0.2667977809906006,-0.19749903678894043,0.7774062156677246,13,0.3435104042291641,0.2735474109649658,-0.1607987880706787,1.270331859588623,13,0.0,0.0,0,0,0
pyramid_leveliters_300_1200,16,0.9438500000000007,0.7131500000000006,-0.33289999999999864,2.592500000000001,15,0.012921874999999992,0.011649999999999994,0.0044999999999999485,0.02404000000000006,16,-0.0009129374999999997,-0.0008015000000000001,-0.004579,0.0014769999999999991,12,-0.35665491459924703,-0.3633518988804614,-0.6751608050131992,0.182551086227285,1,0.4863505810499193,0.4162895679473877,0.07986688613891602,1.1597633361816406,16,0.47032321989536285,0.4686397314071655,0.02821397781372159,1.1219568252563468,16,0.0,0.0,0,0,0,-0.0561937499999996,0.0007999999999999119,-1.7784000000000013,0.8087000000000018,8,-0.00106812500000001,-0.0006200000000000649,-0.008649999999999936,0.0016300000000000203,6,-0.0003512499999999998,-0.00019399999999999973,-0.002259999999999998,0.0007459999999999967,10,0.9973351336702496,0.8409039002406438,0.39487052329624817,2.3050592395764653,16,0.23648397624492662,0.24008190631866455,-0.21379518508911044,0.62481689453125,14,0.280350387096405,0.2522807121276851,-0.30806589126586914,1.328552007675171,14,0.0,0.0,0,0,0
pyramid_leveliters_375_1125,16,0.9469500000000008,0.6255000000000024,0.04930000000000234,2.4209999999999994,16,0.013129999999999982,0.011374999999999968,0.0043400000000000105,0.022909999999999986,16,-0.0009779375000000007,-0.0007394999999999971,-0.004112999999999999,0.0008159999999999973,12,-0.512629226257675,-0.49118908792435967,-1.0434569962586124,-0.06238401628002066,0,0.4118570238351822,0.34982752799987793,-0.09228134155273438,1.0823252201080322,14,0.36609327793121343,0.3687865734100342,-0.6694412231445312,1.0370543003082275,14,0.0,0.0,0,0,0,-0.053093749999999496,-0.0045000000000001705,-1.949900000000003,0.8153000000000006,7,-0.0008600000000000205,-0.0002849999999999797,-0.009780000000000011,0.0027399999999999647,7,-0.0004162500000000008,-0.00033250000000000293,-0.0021769999999999984,0.0012119999999999978,12,0.8413608220118216,0.640577335052285,0.33060171001350014,1.9871022903259146,16,0.16199041903018951,0.20606446266174316,-0.35294389724731445,0.3992912769317627,14,0.17612044513225555,0.19446301460266113,-0.40900301933288574,0.5499007701873788,15,0.0,0.0,0,0,0
pyramid_leveliters_500_1000,16,0.8457750000000008,0.6971000000000025,-0.39839999999999876,2.648600000000002,14,0.012237500000000005,0.01158999999999999,0.0019000000000000128,0.022990000000000066,16,-0.0005331875000000024,-0.0007520000000000009,-0.003827999999999998,0.0021619999999999973,12,-0.824404137424025,-0.7308787179836198,-1.669919907847909,-0.47604545837565126,0,0.3018445372581482,0.2572441101074219,-0.4011402130126953,0.9699451923370361,14,0.25112922489643097,0.3037450313568115,-0.9816281795501709,0.993643045425415,10,0.0,0.0,0,0,0,-0.1542687499999995,-0.006999999999999673,-1.7223000000000006,0.8881000000000014,7,-0.0017524999999999971,-0.0006399999999999739,-0.009699999999999931,0.004190000000000027,7,2.8499999999997494e-05,-0.00010600000000000886,-0.0021769999999999984,0.0014969999999999983,9,0.5295859108454717,0.37893056392351276,0.20249205799879277,1.486750355873852,16,0.05197793245315552,0.08988726139068604,-0.44269537925720215,0.4681673049926758,12,0.06115639209747309,0.10568618774414062,-0.4960291385650635,0.44515371322631925,11,0.0,0.0,0,0,0
