actual_support_overlap,cuda_event_ms,height,mode,n_gaussians,phase,repeat,requested_support_overlap,seed,support_aabb_visits,width,within_cell_measurement_order,work_scope
4.666259765625,0.8407040238380432,128,cuda,512,fit_backward,10,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.8455680012702942,128,cuda,512,fit_backward,11,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.9123839735984802,128,cuda,512,fit_backward,12,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.8642240166664124,128,cuda,512,fit_backward,13,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.8900480270385742,128,cuda,512,fit_backward,14,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.5242879986763,128,cuda,512,optimizer_update,0,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.4495680034160614,128,cuda,512,optimizer_update,1,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.43321600556373596,128,cuda,512,optimizer_update,2,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.427839994430542,128,cuda,512,optimizer_update,3,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.41471999883651733,128,cuda,512,optimizer_update,4,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.42188799381256104,128,cuda,512,optimizer_update,5,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.4136959910392761,128,cuda,512,optimizer_update,6,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.42291200160980225,128,cuda,512,optimizer_update,7,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.40755200386047363,128,cuda,512,optimizer_update,8,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.4126720130443573,128,cuda,512,optimizer_update,9,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
4.666259765625,0.4116480052471161,128,cuda,512,optimizer_update,10,4.0,0,76452,128,0,synthetic_microfit_cuda_event_device_timeline_only
