mode,fit_qat_mode,lambda_rate,n,mean_psnr,mean_bpp,mean_ms_ssim,mean_delta_psnr_vs_none,mean_delta_bpp_vs_none,mean_delta_ms_ssim_vs_none,rd_wins_vs_none
fit_qat,ste,0.0,16,22.470656250000005,0.38335624999999995,0.85926125,0.6222374999999996,0.0003187499999999961,0.024819375000000005,7
fit_qat,ste,0.001,16,22.471818749999997,0.3832562500000001,0.859083125,0.6233999999999993,0.00021874999999999326,0.02464125000000001,7
fit_qat,ste,0.01,16,22.502268750000002,0.38305,0.8587562500000002,0.65385,1.2499999999998623e-05,0.024314375000000006,6
none,off,0.0,16,21.84841875,0.38303750000000003,0.8344418750000001,0.0,0.0,0.0,0
qat,off,0.0,16,22.50644375,0.383175,0.8586187500000002,0.6580249999999999,0.00013749999999998833,0.024176875000000007,6
refine_noste,off,0.0,16,21.72044375,0.38201250000000003,0.8315093749999998,-0.12797500000000017,-0.001025000000000005,-0.0029324999999999907,7
