image,budget,seed,strategy,iters,qat_iters,zlib_level,fit_psnr,n_gaussians,fit_qat_mode,lambda_rate,qat_rate_bpp,rate_loss,adaptive_stop_reason,estimated_raw_bpp,mode,qat,bits,bpp,raw_bpp,bytes,psnr,ms_ssim
kodim07,512,0,quadtree_wse,600,100,9,23.8776,512,off,0.0,,,,1.3333,none,False,12/6/6/6,0.3464,0.3125,4256,22.6417,0.87615
kodim07,512,0,quadtree_wse,600,100,9,23.8776,512,off,0.0,,,,1.3333,qat,True,12/6/6/6,0.3489,0.3125,4287,22.9041,0.88288
kodim07,512,0,quadtree_wse,600,100,9,23.8776,512,off,0.0,,,,1.3333,refine_noste,False,12/6/6/6,0.3459,0.3125,4251,22.1774,0.86351
kodim07,512,0,quadtree_wse,600,100,9,23.689,512,ste,0.0,,,,1.3333,fit_qat,True,12/6/6/6,0.3492,0.3125,4291,22.9041,0.88167
kodim07,512,0,quadtree_wse,600,100,9,23.8035,512,ste,0.001,0.230545,0.000231,,1.3333,fit_qat,True,12/6/6/6,0.3487,0.3125,4285,22.7654,0.88267
kodim07,512,0,quadtree_wse,600,100,9,23.8911,512,ste,0.01,0.230103,0.002301,,1.3333,fit_qat,True,12/6/6/6,0.3483,0.3125,4280,23.103,0.88798
kodim07,512,0,quadtree_wse,600,100,9,23.8776,512,off,0.0,,,,1.3333,none,False,10/5/5/5,0.2988,0.2604,3672,20.3565,0.81078
kodim07,512,0,quadtree_wse,600,100,9,23.8776,512,off,0.0,,,,1.3333,qat,True,10/5/5/5,0.3056,0.2604,3755,21.6424,0.84631
kodim07,512,0,quadtree_wse,600,100,9,23.8776,512,off,0.0,,,,1.3333,refine_noste,False,10/5/5/5,0.298,0.2604,3662,20.2626,0.79955
kodim07,512,0,quadtree_wse,600,100,9,23.0243,512,ste,0.0,,,,1.3333,fit_qat,True,10/5/5/5,0.3066,0.2604,3767,21.2917,0.83939
kodim07,512,0,quadtree_wse,600,100,9,22.892,512,ste,0.001,0.184852,0.000185,,1.3333,fit_qat,True,10/5/5/5,0.3049,0.2604,3747,21.3115,0.8425
kodim07,512,0,quadtree_wse,600,100,9,23.0009,512,ste,0.01,0.184584,0.001846,,1.3333,fit_qat,True,10/5/5/5,0.3064,0.2604,3765,21.6057,0.84637
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,none,False,16/8/8/8,0.4626,0.4167,5684,21.1517,0.84419
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,qat,True,16/8/8/8,0.4619,0.4167,5676,20.7561,0.83959
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,refine_noste,False,16/8/8/8,0.4628,0.4167,5687,21.1618,0.84531
kodim13,512,0,quadtree_wse,600,100,9,20.8027,512,ste,0.0,,,,1.3333,fit_qat,True,16/8/8/8,0.4621,0.4167,5678,20.7862,0.84104
kodim13,512,0,quadtree_wse,600,100,9,20.8386,512,ste,0.001,0.340655,0.000341,,1.3333,fit_qat,True,16/8/8/8,0.4624,0.4167,5682,20.7809,0.84133
kodim13,512,0,quadtree_wse,600,100,9,20.8165,512,ste,0.01,0.340035,0.0034,,1.3333,fit_qat,True,16/8/8/8,0.4609,0.4167,5664,20.7855,0.84041
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,none,False,12/8/6/8,0.4158,0.3646,5109,20.3658,0.81595
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,qat,True,12/8/6/8,0.4138,0.3646,5085,20.4582,0.82778
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,refine_noste,False,12/8/6/8,0.4161,0.3646,5113,20.3409,0.81471
kodim13,512,0,quadtree_wse,600,100,9,20.5627,512,ste,0.0,,,,1.3333,fit_qat,True,12/8/6/8,0.4131,0.3646,5076,20.5105,0.82586
kodim13,512,0,quadtree_wse,600,100,9,20.5771,512,ste,0.001,0.288196,0.000288,,1.3333,fit_qat,True,12/8/6/8,0.4135,0.3646,5081,20.517,0.82815
kodim13,512,0,quadtree_wse,600,100,9,20.544,512,ste,0.01,0.286925,0.002869,,1.3333,fit_qat,True,12/8/6/8,0.4141,0.3646,5089,20.5652,0.82764
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,none,False,12/6/6/6,0.3596,0.3125,4419,20.1887,0.80395
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,qat,True,12/6/6/6,0.3587,0.3125,4408,20.3122,0.80882
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,refine_noste,False,12/6/6/6,0.3587,0.3125,4408,20.2091,0.802
kodim13,512,0,quadtree_wse,600,100,9,20.6529,512,ste,0.0,,,,1.3333,fit_qat,True,12/6/6/6,0.3582,0.3125,4401,20.2827,0.81168
kodim13,512,0,quadtree_wse,600,100,9,20.5772,512,ste,0.001,0.239914,0.00024,,1.3333,fit_qat,True,12/6/6/6,0.3588,0.3125,4409,20.243,0.81072
kodim13,512,0,quadtree_wse,600,100,9,20.7221,512,ste,0.01,0.239541,0.002395,,1.3333,fit_qat,True,12/6/6/6,0.3585,0.3125,4405,20.3809,0.81515
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,none,False,10/5/5/5,0.3091,0.2604,3798,19.0966,0.73912
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,qat,True,10/5/5/5,0.3127,0.2604,3843,19.6739,0.77762
kodim13,512,0,quadtree_wse,600,100,9,21.2738,512,off,0.0,,,,1.3333,refine_noste,False,10/5/5/5,0.3075,0.2604,3779,19.0342,0.73585
kodim13,512,0,quadtree_wse,600,100,9,20.2562,512,ste,0.0,,,,1.3333,fit_qat,True,10/5/5/5,0.3123,0.2604,3838,19.6146,0.78206
kodim13,512,0,quadtree_wse,600,100,9,20.2948,512,ste,0.001,0.192761,0.000193,,1.3333,fit_qat,True,10/5/5/5,0.3127,0.2604,3843,19.6958,0.77778
kodim13,512,0,quadtree_wse,600,100,9,20.2894,512,ste,0.01,0.191902,0.001919,,1.3333,fit_qat,True,10/5/5/5,0.313,0.2604,3846,19.7351,0.78035
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,none,False,16/8/8/8,0.459,0.4167,5640,25.6807,0.91965
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,qat,True,16/8/8/8,0.4569,0.4167,5614,25.369,0.91832
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,refine_noste,False,16/8/8/8,0.4569,0.4167,5614,25.7436,0.9203
kodim19,512,0,quadtree_wse,600,100,9,25.2519,512,ste,0.0,,,,1.3333,fit_qat,True,16/8/8/8,0.4578,0.4167,5626,25.3845,0.91779
kodim19,512,0,quadtree_wse,600,100,9,25.3287,512,ste,0.001,0.334755,0.000335,,1.3333,fit_qat,True,16/8/8/8,0.4569,0.4167,5615,25.4372,0.9188
kodim19,512,0,quadtree_wse,600,100,9,25.2554,512,ste,0.01,0.33349,0.003335,,1.3333,fit_qat,True,16/8/8/8,0.4577,0.4167,5624,25.4255,0.91872
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,none,False,12/8/6/8,0.4122,0.3646,5065,24.9975,0.90268
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,qat,True,12/8/6/8,0.408,0.3646,5013,25.1346,0.91144
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,refine_noste,False,12/8/6/8,0.411,0.3646,5050,25.0286,0.90515
kodim19,512,0,quadtree_wse,600,100,9,25.2867,512,ste,0.0,,,,1.3333,fit_qat,True,12/8/6/8,0.408,0.3646,5014,25.1202,0.91132
kodim19,512,0,quadtree_wse,600,100,9,25.3375,512,ste,0.001,0.281546,0.000282,,1.3333,fit_qat,True,12/8/6/8,0.408,0.3646,5013,25.1649,0.91189
kodim19,512,0,quadtree_wse,600,100,9,25.276,512,ste,0.01,0.280399,0.002804,,1.3333,fit_qat,True,12/8/6/8,0.4072,0.3646,5004,25.058,0.91125
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,none,False,12/6/6/6,0.3562,0.3125,4377,24.4738,0.88527
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,qat,True,12/6/6/6,0.3549,0.3125,4361,24.3608,0.8968
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,refine_noste,False,12/6/6/6,0.3544,0.3125,4355,24.5443,0.88806
kodim19,512,0,quadtree_wse,600,100,9,25.1517,512,ste,0.0,,,,1.3333,fit_qat,True,12/6/6/6,0.3561,0.3125,4376,24.547,0.8976
kodim19,512,0,quadtree_wse,600,100,9,25.2003,512,ste,0.001,0.234922,0.000235,,1.3333,fit_qat,True,12/6/6/6,0.3556,0.3125,4369,24.5064,0.89866
kodim19,512,0,quadtree_wse,600,100,9,25.0738,512,ste,0.01,0.234002,0.00234,,1.3333,fit_qat,True,12/6/6/6,0.3556,0.3125,4370,24.3686,0.89348
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,none,False,10/5/5/5,0.3057,0.2604,3757,21.9683,0.81602
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,qat,True,10/5/5/5,0.3096,0.2604,3804,23.2374,0.86781
kodim19,512,0,quadtree_wse,600,100,9,25.7975,512,off,0.0,,,,1.3333,refine_noste,False,10/5/5/5,0.3029,0.2604,3722,22.1094,0.82087
kodim19,512,0,quadtree_wse,600,100,9,24.3247,512,ste,0.0,,,,1.3333,fit_qat,True,10/5/5/5,0.3102,0.2604,3812,23.1103,0.87303
kodim19,512,0,quadtree_wse,600,100,9,24.269,512,ste,0.001,0.189422,0.000189,,1.3333,fit_qat,True,10/5/5/5,0.3105,0.2604,3815,22.5458,0.86636
kodim19,512,0,quadtree_wse,600,100,9,24.2802,512,ste,0.01,0.189002,0.00189,,1.3333,fit_qat,True,10/5/5/5,0.3082,0.2604,3787,22.9557,0.86547
