image,budget,seed,bits,mode,fit_qat_mode,lambda_rate,psnr,bpp,ms_ssim,delta_psnr_vs_none,delta_bpp_vs_none,delta_ms_ssim_vs_none,rd_win_vs_none
kodim07,512,0,12/6/6/6,refine_noste,off,0.0,22.1774,0.3459,0.86351,-0.4643000000000015,-0.0005000000000000004,-0.012639999999999985,False
kodim07,512,0,12/6/6/6,fit_qat,ste,0.0,22.9041,0.3492,0.88167,0.2623999999999995,0.0028000000000000247,0.005519999999999969,False
kodim07,512,0,12/6/6/6,fit_qat,ste,0.001,22.7654,0.3487,0.88267,0.12369999999999948,0.0023000000000000242,0.00651999999999997,False
kodim07,512,0,12/6/6/6,fit_qat,ste,0.01,23.103,0.3483,0.88798,0.4613000000000014,0.0019000000000000128,0.011830000000000007,False
kodim07,512,0,10/5/5/5,none,off,0.0,20.3565,0.2988,0.81078,0.0,0.0,0.0,False
kodim07,512,0,10/5/5/5,qat,off,0.0,21.6424,0.3056,0.84631,1.285899999999998,0.006799999999999973,0.03553000000000006,False
kodim07,512,0,10/5/5/5,refine_noste,off,0.0,20.2626,0.298,0.79955,-0.09390000000000143,-0.0008000000000000229,-0.011229999999999962,False
kodim07,512,0,10/5/5/5,fit_qat,ste,0.0,21.2917,0.3066,0.83939,0.9351999999999983,0.007799999999999974,0.028610000000000024,False
kodim07,512,0,10/5/5/5,fit_qat,ste,0.001,21.3115,0.3049,0.8425,0.9549999999999983,0.006099999999999994,0.03172000000000008,False
kodim07,512,0,10/5/5/5,fit_qat,ste,0.01,21.6057,0.3064,0.84637,1.2491999999999983,0.007599999999999996,0.03559000000000001,False
kodim13,512,0,16/8/8/8,none,off,0.0,21.1517,0.4626,0.84419,0.0,0.0,0.0,False
kodim13,512,0,16/8/8/8,qat,off,0.0,20.7561,0.4619,0.83959,-0.39560000000000173,-0.0007000000000000339,-0.0046000000000000485,False
kodim13,512,0,16/8/8/8,refine_noste,off,0.0,21.1618,0.4628,0.84531,0.010099999999997777,0.00019999999999997797,0.0011200000000000099,False
kodim13,512,0,16/8/8/8,fit_qat,ste,0.0,20.7862,0.4621,0.84104,-0.3655000000000008,-0.0005000000000000004,-0.003149999999999986,False
kodim13,512,0,16/8/8/8,fit_qat,ste,0.001,20.7809,0.4624,0.84133,-0.3708000000000027,-0.00020000000000003348,-0.0028599999999999737,False
kodim13,512,0,16/8/8/8,fit_qat,ste,0.01,20.7855,0.4609,0.84041,-0.36620000000000275,-0.0017000000000000348,-0.0037800000000000056,False
kodim13,512,0,12/8/6/8,none,off,0.0,20.3658,0.4158,0.81595,0.0,0.0,0.0,False
kodim13,512,0,12/8/6/8,qat,off,0.0,20.4582,0.4138,0.82778,0.09240000000000137,-0.0020000000000000018,0.011830000000000007,True
kodim13,512,0,12/8/6/8,refine_noste,off,0.0,20.3409,0.4161,0.81471,-0.024899999999998812,0.00030000000000002247,-0.0012399999999999078,False
kodim13,512,0,12/8/6/8,fit_qat,ste,0.0,20.5105,0.4131,0.82586,0.14470000000000027,-0.00269999999999998,0.009910000000000085,True
kodim13,512,0,12/8/6/8,fit_qat,ste,0.001,20.517,0.4135,0.82815,0.15119999999999933,-0.0023000000000000242,0.0122000000000001,True
kodim13,512,0,12/8/6/8,fit_qat,ste,0.01,20.5652,0.4141,0.82764,0.1994000000000007,-0.0016999999999999793,0.01169000000000009,True
kodim13,512,0,12/6/6/6,none,off,0.0,20.1887,0.3596,0.80395,0.0,0.0,0.0,False
kodim13,512,0,12/6/6/6,qat,off,0.0,20.3122,0.3587,0.80882,0.12349999999999994,-0.0008999999999999564,0.00486999999999993,True
kodim13,512,0,12/6/6/6,refine_noste,off,0.0,20.2091,0.3587,0.802,0.02039999999999864,-0.0008999999999999564,-0.0019500000000000073,True
kodim13,512,0,12/6/6/6,fit_qat,ste,0.0,20.2827,0.3582,0.81168,0.09399999999999764,-0.0013999999999999568,0.007729999999999904,True
kodim13,512,0,12/6/6/6,fit_qat,ste,0.001,20.243,0.3588,0.81072,0.054299999999997794,-0.0007999999999999674,0.006769999999999943,True
kodim13,512,0,12/6/6/6,fit_qat,ste,0.01,20.3809,0.3585,0.81515,0.1921999999999997,-0.0010999999999999899,0.011199999999999988,True
kodim13,512,0,10/5/5/5,none,off,0.0,19.0966,0.3091,0.73912,0.0,0.0,0.0,False
kodim13,512,0,10/5/5/5,qat,off,0.0,19.6739,0.3127,0.77762,0.577300000000001,0.003599999999999992,0.03849999999999998,False
kodim13,512,0,10/5/5/5,refine_noste,off,0.0,19.0342,0.3075,0.73585,-0.06240000000000023,-0.0015999999999999903,-0.003269999999999995,False
kodim13,512,0,10/5/5/5,fit_qat,ste,0.0,19.6146,0.3123,0.78206,0.5180000000000007,0.003200000000000036,0.04293999999999998,False
kodim13,512,0,10/5/5/5,fit_qat,ste,0.001,19.6958,0.3127,0.77778,0.5991999999999997,0.003599999999999992,0.03866000000000003,False
