image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,aa,color_basis,color_solve,loss,optimizer,lr_schedule,refine,pyramid,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,relocate_event_count,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp
kodim01,64,0,64,64,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,False,,,,ok,21.6863,0.63064,0.80897,,20.839680151505902,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,12,False,,0.025186777114868164,0.5864052772521973,1.1122853755950928,0,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,5.9535,,
kodim01,64,0,64,64,aniso_flanking,central,luma,variance,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=variance|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,False,False,,,,ok,21.5075,0.60766,0.78677,,20.657433769919656,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,12,False,,0.00995779037475586,0.021935224533081055,0.03396201133728027,0,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,5.9535,,
kodim01,64,0,64,64,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,constant,cuda,0.0,constant,none,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=constant|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,False,False,,,,ok,21.6883,0.63092,0.80914,,20.841029687361285,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,12,False,,0.008701324462890625,0.030873537063598633,0.04182934761047363,0,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,6.6977,,
kodim01,64,0,64,64,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,affine,none,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=affine|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,False,False,,,,ok,22.1302,0.66235,0.83425,,21.27057205546986,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,12,False,,0.008430004119873047,0.16535711288452148,0.17707300186157227,0,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,10.4186,,
kodim01,64,0,64,64,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,every10,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=every10|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,False,False,,,,ok,22.3932,0.64645,0.82651,,21.092237732627176,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,12,False,,0.009068012237548828,0.08296704292297363,0.09360003471374512,0,,,,,,,,,,,,10,0.0001,32,1,0.001199,0,False,0,0,,,5.9535,,
kodim01,64,0,64,64,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,charbonnier,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=charbonnier|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,False,False,,,,ok,21.6885,0.63079,0.80924,,20.84260845184326,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,12,False,,0.008760929107666016,0.020607471466064453,0.030398130416870117,0,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,5.9535,,
kodim01,64,0,64,64,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,cosine,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=cosine|refine=none|pyramid=single,False,False,,,,ok,21.138,0.56813,0.75744,,20.74160237745805,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,12,False,,0.007907390594482422,0.019884824752807617,0.029725313186645508,0,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,5.9535,,
kodim01,64,0,48,64,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,cuda,0.0,constant,none,l1,adam,none,moment_preserving,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=cuda|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine=moment_preserving|pyramid=single,False,False,,,,ok,20.8567,0.56184,0.74984,,19.86672947623513,observed,,"{'28.0': None, '30.0': None, '32.0': None}",,64,12,False,,0.006738185882568359,0.03460049629211426,0.043238162994384766,1,,,,,,,,,,,,,0.0001,32,0,,0,False,0,0,,,6.6977,,
